,Question,Answer
0,公司既然进军新能源汽车业，何不和相关车企签署合作意向，为其定制相关产品。,感谢您的建议。
1,公司 发起设立纽恩内聚新能源投资合伙企业 投资了哪些项目？取得了哪些收益？,公司参与成立产业基金，意在对中国境内外新能源领域企业的投资，产业基金一直在考察调研好的投资项目，暂未实际投资，谢谢关注！
2,公司未来有没有外延扩张并购重组的计划？如果有，标准是什么？,您好。公司未来不排除有资本外延的项目，重点是一方面继续深化橡胶轮胎行业上游产品的提升与研发，保证主营业务的持续稳定发展，另一方面进行产业链运作，积极考虑布局新能源、新材料等拓展板块。
3,公司是为企业提供软硬结合、管控一体的智能化整体解决方案，目前正在合作的项目有哪些,您好，公司主要业务是轮胎橡胶装备与系统的研发与制造，公司致力于工业智能化的发展，国内外中大型轮胎企业均是公司的合作客户。谢谢关注！
4,网报轮胎巨头涨价，对公司业绩是否有影响或者关联？公司产品会涨价吗？相对国外产品有何优势？,您好，暂时关联度不大。公司产品品种较多，涉及的装备、软件、服务及整体解决方案多为非标产品，定价方面有各自的体系，相对国际竞争对手，我们在产品链齐全、研发效率、信息化软件及全球服务布局等方面有更积极的准备和基础。谢谢关注。
5,做为青岛地区的上市公司，公司与当地政府和轮胎企业有哪些合作项目？,您好，青岛当地的轮胎企业均是我们的客户，谢谢关注！
6,您好!公司投资ecobalt公司什么时候能有结果？,您好，目前该项目仍在洽谈当中，未有签署正式协议。我们将积极推进相关工作，具体如有进展后及时披露。之前签订的仅为意向性协议，敬请注意投资风险。谢谢
7,公司今后在发展方面会着重哪些方面？,公司未来致力于成为轮胎橡胶企业提供整体解决方案的优秀供应商，借助国家橡胶与轮胎工程技术研究中心及轮胎先进装备与关键材料国家工程实验室等高端研发平台的优势，继续产业链运作模式拓展相关产业链和产品链，不断推出新产品并全面提升产品品质竞争力，重点研发制造方向为智能装备和智慧工厂。
8,您好!公司的“液体黄金”轮胎新材料项目什么时候投产？,您好，短期未有明确的整体投建计划，如有进展我们会及时公告。
9,公司预计2018年的海外业务市场会是什么情况,近几年公司重点布局了海外市场及研发业务，在欧洲、美国、印度以及其他地区等建立了分公司，经过努力，我们已经在东南亚、欧洲、美洲区域有了较好的突破，未来几年预计在订单方面相对会有逐步的提升。谢谢关注。
10,钴矿尽职调查和谈判为何进展如此缓慢？,您好。较多细节需沟通和确认，之前仅为意向性协议，敬请注意投资风险。我们在积极推进相关工作。
11,请问中美贸易冲突对橡机有影响吗？,您好，暂时影响较小，未来持续关注对橡胶轮胎行业大的针对条款好规则的变动。
12,董家口轮胎橡胶新材料项目建设下半年能开工吗,暂时未有明确大的投建计划。具体详见5号问题
13,贵公司在物联网方面有哪些投入？,公司在智慧工厂及RFID智能轮胎的应用等项目有相关方面的研发和投入，具体项目可参见2016年募集资金项目预案的说明。谢谢
14,公司今年已签署的大订单有哪些，利润如何？,您好，公司整体订单稳定，重大合同公司会根据相关法律法规进行披露，请您关注！
15,能否解释一下，软控加工制造供应商圈 的概念？,您好，公司内部成立了制造中心，统筹整个集团的加工制造资源，致力于打造加工制造供应商圈，对内服务于软控各产品事业部，对外服务于全社会，这也是软控首次将内部宝贵的加工资源向社会公开。目前制造中心已与中车集团、史密斯、思高特等企业建立了合作关系。
16,在青岛环保局网站上找到益凯新材料的环评报告，其中提到建设13.3万吨的eve胶，请问目前益凯新材料的eve橡胶项目进展到什么程度，是否需要追加投资，项目投资资金从何而来，是否会使用募集资金。,您好，益凯项目的情况详见5号问题。暂时未有使用募集资金的计划。
17,工业机器人项目取消的原因是否能说明一下 是否是公司发展规划发生变化 谢谢,您好，公司短期内战略性放弃机器人物流项目，原因及对公公司的影响在公告中有说明。目前公司正深化组织变革，精简组织结构，聚焦自身优势产业板块，开拓海外市场；同时抓住智能制造机遇，积极为构建智慧工厂提供解决方案，提升主营业务业绩；另外积极考虑布局新能源、新材料等拓展板块。
18,公司目前的股票市值偏低，做为橡胶轮胎行业龙头。个人认为低估，公司为何不适时回购公司股份？或者设立员工持股计划，激励公司管理层及员工，做大做强。,感谢您的建议，谢谢！
19,现股份价格有反映估值？,您好，股价系二级市场表现多个层次的原因，公司致力于橡胶轮胎行业的装备系统及智慧制造整体解决方案的研发与生产制造，旨在全面提升客户生产效率、保证产品品质，同时能够提升公司自身产品竞争力和市场份额。谢谢关注。
20,公司的RFID芯片是否拥有自主知识产权？,是的，有多个专利。
