,Question,Answer
0,请问公司的分配预案达到承诺的分红比例吗？,您好，公司章程规定如无重大投资计划或重大现金支出发生，公司应当采取现金方式分配股利，以现金方式分配的利润不少于当年实现的可分配利润的20%。公司2016年度现金分红比例占公司当年可分配利润（合并口径）的99.96%。谢谢！
1,"请问董事长,关于公司最新项目进展如何？达到预期了吗？",募投项目进展良好，预计下半年可试产。
2,新三板的扩容，带来了新的投资机会，你们公司在这方面有什么打算吗？,有关注，谢谢！
3,请问公司目前的研发机构有哪些？公司未来产品的研发与创新将如何进行？,您好，目前公司的研发机构有广东省环保涂镀工程技术研究中心、广州市环保涂镀工程技术研究开发中心、广州市企业技术中心、广州市博士后创新实践基地等。未来，针对涂镀添加剂方面，在已有环保产品的基础上，公司将通过技术攻关开发出更多的环保涂镀添加剂，推进涂镀行业由重污染向清洁环保方向发展；在重视涂镀添加剂重装饰性能的同时，进一步加强对重功能性涂镀添加剂的研究开发，通过攻克环保产品功能性的技术难关，普及功能性表面处理产品的使用，提高产品的耐蚀、耐磨等性能，为节能环保做出贡献。针对涂镀中间体方面，在单一产品的基础上，公司以二氧化碳为原料进一步开发出不同分子量和不同官能团数量的聚碳酸亚酯多元醇，将已有产品系列化。同时加强聚碳酸亚酯多元醇在水性涂料、环保粘合剂等不同应用领域的开发，开拓产品多样化的应用范围，在为客户提供优质技术服务的基础上，拓展公司的业务领域和产业链。谢谢！
4,请问独立董事，您的履职情况如何，是否能真正保护了中小股东利益？,您好，本人作为达志科技的独立董事，2016年度准时出席了全部董事会会议并列席了全部股东大会。本人依照《公司章程》及《董事会议事规则》的规定和要求，认真审议议案，积极参与各议题的讨论并提出合理建议，为董事会正确决策发挥了积极的作用，维护了公司的整体利益和中小股东的利益。2017年度，本人将继续本着诚信与勤勉的精神，按照法律法规、《公司章程》的规定和要求，行使独立董事的权利，履行独立董事的义务，切实维护公司整体利益和股东尤其是中小股东的利益。谢谢!
5,请问公司会进入新的细分领域吗？这一领域与公司现有业务的相关性？,公司坚持走专业化道路，专业人做专业事。
6,请问公司以后每年会用什么形式回馈股东？,您好，公司重视对投资者的投资回报，根据自身的财务结构、盈利能力和未来的投资、融资发展规划实施积极的利润分配政策，保持利润分配政策的持续性和稳定性。未来，公司将采取现金、股票或者现金与股票相结合等法律法规允许的方式分配股利，回馈股东。谢谢！
7,公司在税收方面有没有相关的优惠政策？具体税率是多少？,你好，目前公司属于国家高新技术企业，享受减按15%税率征收企业所得税的优惠。谢谢！
8,请问2017年全年预计销售目标是多少？实现净利润的目标是多少？,您好，关于公司2017全年业绩情况请留意公司相关业绩预告及年度报告。谢谢！
9,公司有没有股权激励计划？,公司将适时推出股权激励计划
10,蔡叔叔好，介绍一下公司的主营业务和上市时间,您好，公司自成立以来一直致力于新型环保表面工程化学品的研发、生产及销售。经过多年发展，已形成功能种类齐全、配套完善的产品体系。公司所提供的新型环保、高效率的表面工程化学品，能够有效促进表面工程行业内生产加工企业生产过程清洁化、生产流程高效化、产品品质环保化。公司于2016年8月9日在深圳证券交易所创业板上市。谢谢！
11,林叔叔好，公司的名字是怎么来的，介绍一下，我喜欢你,谢谢！
12,请问：公司产品的技术含量如何？专利多吗？行业垄断地位如何？ 那些项目能给公司带来利润增长点？预计是否能保持3年的增长？,"您好，公司提供的新型环保表面工程化学品，能够有效促进下游企业生产过程清洁化、生产流程高效化、产品品质环保化。目前公司拥有23项与主营业务相关的发明专利及多项非专利技术，在细分行业中处于领先地位。
公司业绩成长性一方面来自于公司将巩固并扩大在国内涂镀添加剂市场占有率，逐步实现进口替代；另一方面来自于公司将大力推广利用核心专利生产的新型环保涂镀中间体，开拓产品多样化的应用范围，在为客户提供优质技术服务的基础上，拓展公司的业务领域和产业链。
目前，募投项目惠州大亚湾达志精细化工有限公司的厂房建设及设备安装已接近完成，预计2017年下半年可以试生产，公司将利用募投项目所生产的新材料拓展下游广阔的应用领域。随着募投项目逐步达产，公司的综合生产能力将显著提高，盈利能力将持续得到增强。谢谢！"
