,Question,Answer
0,请问电梯的技术研发投入2016年大约是多少？占总收入比例是？今年是否加大研发？,2016年度，公司研发投入4821万，占营业收入的3.89%，同比上升0.25%。主要用于卓悦系列小机房产品以及跨越系列扶梯产品完善和升级，绕组曳引机开发，新型门机及层门装置开发，自主驱动控制一体机研发，新型无机房产品研发。
1,您好，请问公司的机器人研发实力如何？,公司旗下智能高科机器人瞄准行业发展机遇，凭借技术、资本优势，引进国外技术团队和高端技术人才，为产品研发及产品稳定提供了先进、科学、有力的保障。可以为客户、销售人员和安装调试人员提供专业、直观的技术培训，为提升公司产品安装和售后服务质量提供了保障。沈阳远大智能高科机器人有限公司现取得发明专利1项，实用新型专利3项。谢谢！
2,请问远大智能电梯的海外市场发展情况如何？,公司全球拥有140多个销售服务技术中心，分别在秘鲁、蒙古、新加坡、澳大利亚、阿尔及利亚、巴布亚新几内亚等销售业务量较大的国家设立7家全资子公司、1家参股子公司，并在印度等国建立海外工厂。公司参与海外相关投资项目，2016年度公司在印度合资子公司正式投产，主要开展电梯设计、生产、安装、维保及零部件销售等业务。抓住国家“一带一路”发展战略的契机，辐射非洲、中东、东南亚地区。2017年公司计划在东南亚布局海外项目，拓展国际市场，增强企业的综合竞争力，为公司转型提供强有力支持。谢谢！
3,公司的市值管理，未来有何具体目标,公司主要责任是经营好业务，市值与二级市场环境等很多因素相关，公司希望公司市值能更好的反映公司主营业务的经营成果。谢谢！
4,4.请问公司对机器人等智能制造行业的怎么看？ 公司在智能制造方面主要会拓展哪些方面？,您好，随着中国经济结构调整、“十三五规划”及“中国制造2025”战略的持续推进，智能制造机器人行业在未来五到十年中，受政策层面的大力推动，其行业发展将面临历史重大机遇期。公司旗下全资子公司智能高科紧扣关键工序智能化、关键岗位机器人替代、生产过程智能优化控制、供应链优化，建设重点领域智能工厂/数字化车间的政策导向，积极拓展航空、航天、航海及轨道交通领域。谢谢！
5,汇率风险对公司的利润影响有多少？,您好，若人民币兑美元汇率变动2%-8%，对税前利润的影响315.87至1263.47万元；若人民币兑澳元汇率变动2%-8% 14.52至58.08万元。
6,请问今年公司对主营的电梯业务发展有什么计划？,"第一，巩固现有市场,同时在地铁、高铁、机场等公建市场发力，努力取得主营业绩突破；第二，借助和发扬远大的国际市场网络优势，加大海外分子公司的建设力度，尤其是经济发展较快的印度、东南亚、拉美等新兴市场；第三，提高产品和服务,以“非标产品标准化”为目标，发现并细化客户需求，通过模块化、参数化、自动化、智能化等技术，以标准化的成本提供给客户个性化、定制化产品。组织各地通过标志性项目的建设，带动技术和产品的升级，提高公司产品的品牌定位；第四，整合集团在机械工程、电子信息工程领域的多年积累，完成电梯核心零配件的自动化，提高产品的信息化率，增大产品的附加值，并提高产品的维保市场份额。并将附加值高的配件产品推向市场，参与市场竞争。谢谢！"
7,叔叔好，博林特这个名字不错，要是这样还不如使用博林特这个名字,已回复，感谢您对公司的关注，谢谢您。
8,小涛叔叔好，强烈要求公司改回博林特,"公司将继续秉承“建世界一流工厂，创国际名牌产品”, “科技引领市场，服务创造价值”的经营目标，不断完善国内、国外布局的同时，加大对安装、维保业务的投入和新产品的研发推广工作；在资本市场上公司将加强对资本运作的重视，借助资本市场平台为公司腾飞提供助力，完成向高端智能装备制造转型，最终实现跻身行业内全球领先企业的远大目标。公司名称体现的是公司战略方向，感谢您的关注，谢谢。"
9,你好，请问贵司目前产品的行业趋势如何？,"电梯行业受宏观经济调控，房地产市场去库存，投资及出口乏力等影响，行业整体短期内增速放缓。但从长期来看，我国城镇化、工业化的进程仍将持续，国内保障房和廉租房等住宅的建设规模仍然较大，工厂、基础设施及商业地产的固定资产投资需求较大，电梯未来发展空间广阔。
智能制造行业伴随中国经济结构调整及“中国制造2025”战略持续深化，公司旗下全资子公司智能高科紧扣关键工序智能化、关键岗位机器人替代、生产过程智能优化控制、供应链优化，建设重点领域智能工厂/数字化车间的政策导向，积极拓展航空、航天、航海及轨道交通领域。随着“十三五规划”的持续推进，智能制造机器人行业在未来五到十年中，受政策层面的大力推动，其行业发展将面临历史重大机遇期。"
10,近几年的固定资产，技术改造的投资效果如何，是否达到了预期的目标，不考虑市场因素，简单考虑毛利情况是否合理？,企业的投资计划是紧密依据公司经营战略而定的，任何投资在开始前都需要经过谨慎的收益的分析和风险的考量。固定资产投资和技术改造对于毛利的影响是需要从一个长期的时间跨度上进行考虑。近几年固定资产和技术改造的投资的效果都在战略和风控范围之内。
11,公司有没有哪些技术创新？,"2016年公司继续保持企业创新的步伐，向着国际最先进的电梯曳引技术迈进，投资开发了TPU包塑钢丝绳曳引系统。该技术颠覆了传统电梯产品的设计理念，将建筑空间对电梯的制约降到最低，最大程度的节省曳引系统的占用空间，也节省了大量的材料资源。同时，公司的跨越Ⅱ型扶梯、4:1结构大吨位无机房载货电梯、锐智小机房观光电梯、无齿轮集中绕组永磁同步曳引机等多个开发项目列入辽宁省企业创新重点项目。
公司智能磨削机器人运动控制及感知技术和机器人空间3D视觉技术的突破，可以通过摄像头对工件进行扫描，自动拟合出三维模型，进行实现智能磨削机器人高精度力控系统和视觉引导系统对复杂曲面的精确加工。该技术处于行业领先地位，尤其在大型工件磨削加工领域，有着极为广泛的应用。"
12,公司目前有哪些在建工程？进度如何？,有哈尔滨厂区厂房在建项目，喷粉线在建项目和全球营销平台软件等，基本都已进入收尾阶段，详情请参见公司2016年年度报告。谢谢
