,Question,Answer
0,"去年有机构投资者去公司做调研吗,都是哪些？我们这些中小投资者在哪里能看到机构投资者的调研情况？",您好！请关注深交所互动易平台。谢谢！
1,一直指望公司会推出高送转方案，不知道今年是否有希望，什么时候能出预告？,"您好！公司2016年度利润分配预案为：以股份总数739,757,400股为基数，向全体股东每10股派发现金红利0.1元（含税），合计派发现金红利7,397,574.00元。谢谢！"
2,请问董事长目前市场上公司主要的竞争对手都有哪些公司？在细分行业公司处于行业处于什么排名？谢谢,您好！公司主营业务聚焦铁路、图书和零售业物联网应用领域，主要竞争对手为国内外相关行业市场的设备和产品供应商，包括哈尔滨威克、上海阿法迪和Impinj、Avery Dennison等公司。远望谷是领先的RFID解决方案供应商，铁路应用国内领先，图书应用亚太区第一，零售物联网是公司主营业务聚焦的行业市场之一，公司密切关注“零售3.0”、积极寻找与主营业务和战略布局的契合点，把握时代机遇，做大做强相关业务。感谢您的关注！
3,希望公司在本专业领域专注于做强做大做实，提升公司的行业地位，给投资者以回报！,您好！感谢您的建议！公司管理层会勤勉尽责，以良好的经营业绩回馈广大投资者。
4,建议公司在做好业绩的同时也要积极邀请各家机构前来调研，让更多人关注。,您好！感谢您的建议！
5,公司管理层怎么看待去年的业绩，满意么？能说下今年有什么目标吗？,公司的战略定位是成为世界一流的以RFID技术为核心的物联网行业解决方案、产品供应商。公司坚持“内生式与外延式发展相结合”的战略发展模式，主营业务方面战略聚焦智能交通、服装零售等行业市场，并为图书馆、纺织品洗涤、智慧旅游、烟酒防伪等行业/领域客户提供基于RFID技术的物联网系统解决方案和产品；在外延式发展战略方面，公司稳步推进“金谷计划”，持续提升国内外投资管理平台的运作、管理能力。2017年，公司将以实现卓越经营、有效增长和提升盈利能力为全年经营目标。
6,请问，今年会否考虑请问，今年会否考虑收购一些公司或者扩展新的领域?收购一些公司或者扩展新的领域?,您好！公司始终坚持“内生式与外延式”发展相结合的经营发展模式，聚焦铁路、图书、零售等主要行业市场，密切关注物联网技术在新行业的应用和拓展，竭力打造公司在物联网行业市场的竞争力，力争实现股东利益最大化。感谢您的关注！
7,我对贵公司是长期投资的，请问预计今年一季度会盈利多少？,"您好！公司2017年1季报已披露，今年一季度归属于上市公司股东的净利润为-15,428,169.23元，详情请参阅2017年1季报。谢谢！"
8,2017年有重组计划吗？,您好！请关注公司信息披露公告。谢谢！
9,请问公司如何看待市值管理的？近期管理层新出的增发新规对公司以后资本运作有何影响？,作为一家上市公司，管理层会勤勉尽责，争取良好的经营业绩，公司市值是建立在经营业绩的基础上，管理层将不断进取，尽快完成转型，以良好的经营业绩回馈广大投资者。关于公司2016年度非公开发行A股股票预案请查阅公司公告。谢谢！
10,公司是否会进军新的细分市场和领域，以及扩大市场占有率？如果会，请问新的领域现在占公司营业收入比重是多少？未来打算提升到多少？多长时间能实现？,您好！公司坚持“内生式与外延式”发展相结合的经营发展模式。公司聚焦铁路、图书、零售等主要行业市场，积极与行业上下游保持良好协作，拓展共赢的发展思路，努力打造公司在行业市场的竞争力和综合实力，以实现股东利益最大化。感谢您的关注！
11,行业有没有周期性？,"您好！物联网从体系架构角度来看，可分为感知层、传输层和应用层三个层面。RFID、二维码、传感器等处于物联网感知层。公司主营业务集中在物联网感知层和应用层，为多个行业提供基于RFID技术的系统解决方案、产品和服务。
RFID技术作为物联网感知层的核心关键技术之一，以其广泛的应用领域而备受关注。近年来，随着传感技术、网络传输技术的不断进步， RFID芯片等硬件成本不断下降，以及基于互联网、物联网的集成应用解决方案不断成熟，RFID技术在智能化管理等众多领域得到了更广泛的应用。中国RFID市场规模自2010年开始进入高速增长阶段，随着基于RFID技术的物联网应用更不断丰富，与移动互联网的结合不断深入，应用领域不断广泛，RFID市场规模将继续保持高速增长趋势。
"
12,能介绍一下公司现在各大区域的销售和占有率等基本情况吗?,您好！公司2016年年度报告第四节第二部分对相关情况进行了详细的分析，详情请参阅。谢谢！
13,请问公司公司的核心竞争力是什么？,您好！公司的核心竞争力主要体现在技术与创新、品牌、市场先入等方面，详细分析请参阅公司2016年年度报告第三节第三部分。谢谢！
14,公司今年有没有新产品和新业务拓展？对城镇一体化带来大发展机遇，公司有没有具体的发展计划？,"您好！公司坚持“内生式与外延式发展“相结合的经营发展模式。公司聚焦铁路、图书等主要行业市场，积极拓展零售服装业务与RFID技术相结合，把握零售行业快速发展机遇，积极打造“新零售”3.0；公司还积极跟进纺织品洗涤行业、车联网、仓储物流、工业自动化制造管理等行业，在这些行业拓展方面，公司加大研发投入，积极储备新技术 、新产品，为公司市场开拓提供整体解决方案。
随着物联网技术的发展，会给城镇人民生活带来具大的变化，智慧城市建设覆盖了许多方面，公司也在积极参与相关项目的跟进。感谢您的关注！"
15,做为高管你对公司的股价有何看法？股价的上扬能体现上市公司的潜质和气魄！希望管理层关心一下自己公司的股价！以提振二级市场的股东对公司的信心！！！谢谢,您好！二级市场股价波动受多种因素综合影响，是参与交易各方博弈的表现。公司管理层将稳健经营、持续做大做强主营业务，回报广大投资者的信任。
16,请介绍一下公司所处行业和主要产品？,您好! 公司主营业务集中在物联网感知层和应用层，为多个行业提供基于RFID技术的系统解决方案、产品和服务。公司主营业务聚焦智能交通、零售服装等行业市场，并为图书馆、纺织品租赁和洗涤、烟酒防伪、智慧旅游、物流等多个行业提供基于RFID技术的行业应用解决方案。公司主要产品包括系统集成方案、RFID读写装置、电子标签、天线以及软件等。感谢您的关注！
17,公司生产经营的季节性如何?哪个季节是旺季?,您好！公司有些细分市场有一定的季节性，例：三、四季度为铁路和图书市场的相对旺季。 谢谢！
18,公司今年有没有新产品和新业务拓展？,您好！公司坚持“内生式与外延式发展“相结合的经营发展模式。公司聚焦铁路、图书等主要行业市场，积极拓展零售服装业务与RFID技术相结合，把握零售行业快速发展机遇，积极打造“新零售”3.0；公司还积极跟进纺织品洗涤行业、车联网、仓储物流、工业自动化制造管理等行业，在这些行业拓展方面，公司加大研发投入，积极储备新技术 、新产品，为公司市场开拓提供整体解决方案。感谢您的关注！
19,做大、做好市值管理是每个公司成长的必然追求，公司是如何进行市值管理的？,作为一家上市公司，管理层会勤勉尽责，争取良好的经营业绩，公司市值是建立在经营业绩的基础上，管理层将不断进取，尽快完成转型，以良好的经营业绩回馈广大投资者。
20,去年的市场行情并不好，物价又涨，今年公司在市场开拓方面有什么计划？能否详细谈谈？,在铁路业务方面，2017年继续巩固市场优势地位，同时在中国轨道交通信息化建设中挖掘新的机会，开拓新的细分市场；服装零售业务方面，继续推进落实“建队伍、搭平台，创模式”的发展思路，积极把握市场发展机遇，扩大市场份额，同时加强与SML的协同，进一步激发产业链协同效应；国际业务方面，进一步提升市场份额和业务规模，构建全球技术支持与售后服务体系，整合产品、研发和客户资源；图书业务方面，完善售后服务、支持体系，推出更贴近客户需求的产品，在市场竞争中保持领先地位；继续发展纺织品洗涤、智慧旅游和烟酒防伪等业务，培育新的收入利润增长点。
21,去年监管层要求现金分红，各交易所也发布了现金分红指引，公司怎么看，有这个打算吗？,"公司2016年度利润分配预案为：以股份总数739,757,400股为基数，向全体股东每10股派发现金红利0.1元（含税），合计派发现金红利7,397,574.00元。"
22,今年如何分红，是否高送转，有计划吗？,"公司2016年度利润分配预案为：以股份总数739,757,400股为基数，向全体股东每10股派发现金红利0.1元（含税），合计派发现金红利7,397,574.00元。"
23,请问公司里是否有专人负责回答全景网投资者关系互动平台里股民的问题？股民的问题是否会传到公司的高层？,您好！公司有专人负责答复投资者的问题。
24,公司未来发展前景如何?对目前这个行业的前途看好吗？,您好！公司处于物联网行业的感知层和应用层，物联网已成为各国构建经济社会发展新模式和重塑国家长期竞争力的先导领域，公司坚定看好本行业的前景。
25,今年公司人力成本的大幅度上升？对公司产品价格影响有多大？,您好！根据公司经营发展需要，公司引进了管理、技术、市场等相关人才。后续，公司会不断吸纳更多的优秀人才加盟。谢谢！
26,我是公司的一名小股东，请问我想现场参加股东大会，不知道应该怎么做？需要什么样的程序？,您好！可联系公司证券部0755-26711735
27,请介绍一下公司的行业地位？,公司聚焦三大行业的物联网建设，铁路行业保持领先，图书行业亚太市场第一，新零售国内市场处于开拓期。
