,Question,Answer
0,您好，公司的主营业务是什么？什么时候上市的？,公司于2008年5月28日在深交所挂牌上市，公司的主营业务为化妆品塑料包装业务，谢谢
1,"国家要求实行经济节约型政策,公司具体是怎么做的?",尊敬的投资者，您好！公司坚决响应国家号召。
2,请问：公司产品的技术含量如何？专利多吗？行业垄断地位如何？ 那些项目能给公司带来利润增长点？预计是否能保持3年的增长？,尊敬的投资者，您好！公司及下属全资子公司均为国家高新技术企业，控股公司京信通及参股公司丽德富也是国家高新技术企业，公司产品技术涵盖产品设计、模具设计、材料改性研发、工艺设计及材料和产品检测、设备关键技术等，2016年度，公司共计申请专利28项（其中发明15项），共计获得专利29项（其中发明12项）。截至目前共计申请专利447项（其中发明115项），共计获得专利387项（其中发明62项）。主要产品包括软管、注塑件、吹瓶、标签、模具，是公司营业收入的主要来源。
3,请问到今天为止，股东人数是多少？,尊敬的投资者，您好，根据相关规定，公司可以查阅月中和月末两个时点的股东人数，暂未知截至今天的股东人数，谢谢。
4,"公司采取了具体怎样的应对措施,在同业中不断做大做强?",您好！公司将继续利用现有资源，完善行业产业链公共服务平台，提升公司行业服务能力；整合八六三等研发资源，研发引领行业的先进技术和产品，持续提升公司研发创新能力；引进先进管理方法和现代技术手段，提升生产效能，降低生产成本，全面提升公司经营能力，持续提升公司核心竞争力，保持行业龙头地位。
5,自从微博出现后，对于舆情的关注和扩散在一定程度上都有所放大，关于舆情的监控，公司有些什么样的手段？而在应对负面舆情的时候，又有什么样的应急措施？,尊敬的投资者，您好！公司实时关注舆情并真实准确完整披露应披露的信息。
6,请问独立董事，公司高管的薪酬是如何决策的？,公司董事、高级管理人员的收入与公司的经济业绩挂钩；董事会薪酬与考核委员会根据经营目标，制定年度董事、高级管理人员薪酬方案；年度结束，董事会薪酬与考核委员会根据董事、高级管理人员的工作能力、履职情况、责任完成情况等进行年终考评，制定薪酬实施方案，并报董事会审议。董事、监事的薪酬经董、监事会审议后、交股东大会审议。
7,公司有无实质提高业绩的计划，别天天空谈误国,您好！针对2017年的经营计划，公司已有具体的行动方案，详细内容见公司2016年度报告。
8,"同行业内有哪些主要竞争对手？公司采取了什么样的应对措施,在保持稳定增长的前提下不断做大做强?",尊敬的投资者，您好！公司所在行业是充分竞争行业，竞争对手云集。为取得竞争优势，公司加强新产品研发、提高产品质量、为客户提供产品优质服务，在保持稳定增长的前提下不断做大做强，回报股东。
9,希望公司高管别在高位减持自己股票，如果你们自己都不看好公司就别在公司瞎混，害人,尊敬的投资者，您好！通产丽星高管减持公司股票严格遵守《公司法》、《证券法》及证监会、深交所监管规则关于上市公司董事、监事及高级管理人员持有及买卖本公司股票的规定。
10,公司募集资金投向项目进展如何，是否顺利?预计多久可以收回投资?,公司报告期内无募集资金使用情况。谢谢
