,Question,Answer
0,公司的矿产品主要是什么？有没有继续努力去开拓该项目以提升为公司的主业？？,您好，公司子公司通裕矿业拥有的是探矿权，已委托专业的勘查机构对这些探矿权进行勘探，目前尚未有确定的勘探结果。谢谢！
1,公司的价值最直接的反应就是股价 股价节节下跌不休 不是没有信心 而是看不到希望 所以只顾企业业绩不顾股价形象？？？,您好！股价涨跌受多种因素的影响，我们一直坚持立足主业，坚持可持续发展，我们认为只有踏实做好产业才能实现与股东的共同收益和共同成长，持久盈利才是最好的市值管理。谢谢！
2,公司业绩连续四年增长股价连续四年下跌 公司只顾企业业绩也要顾及下股票的形象吧？？？难道说公司就价值这个价？？希望正面回答谢谢,您好，我们一直坚持立足主业，坚持可持续发展，我们认为只有踏实做好产业才能实现与股东的共享收益和共同成长，持久盈利才是最好的市值管理。谢谢！
3,请问司董事长！今年的年报里说公司的主要领导带队开发了不少的新客户，不知道您老人家有没有亲自带队出马去洽谈无人机项目？无人机项目有没有时间表，线路图？？,您好！无人机产业正向着智能化、专业化的方向发展，是技术密集型的产业。目前公司的无人机业务正在整合中，如有进展我们会及时进行信息披露。
4,您好！董事长：“山东高新投”去年11月计划再减持1.96亿股（持股只有2.78亿股），表明其准备退出第一大流通股股东的位置，建议：目前股价这么低，考虑引进战略投资者通过大宗交易接盘，避免对股价的进一步冲击。,您好！第一，核废料处理行业作为公司在清洁能源布局的重要一环，我们看好未来的市场前景。第二，无人机项目我们正在整合过程中，如有进展我们会及时进行披露。第三，山东高新投减持公司股票是因其业务发展需要，对于我们来说，坚持做好主业是第一位的，只有做好主业才能实现以产业发展带动业绩增长，以此来回馈广大投资者。谢谢！
5,请问业绩说明会完了吗？？？,您好，业绩说明会于17:00结束。谢谢
6,为什么没有回答呢 公司人呢 ？？？,您好，我们正在回复。谢谢。
7,公司有计划进军互联网吗 谢谢,您好！公司目前的立足点是做好主业，尚没有这方面的计划。谢谢。
8,公司的业务条线众多，看似很广，哪些方面是未来几年内有可能形成快速增长的领域？,您好，公司以“致力于开创人类绿色未来”为己任，以“打造国际一流的清洁能源装备及服务供应商”为发展愿景，未来公司将积极在清洁能源装备研发制造、清洁能源项目运营、发展资源节约型的生产方式等方面继续努力，以良好的业绩回馈广大股东。谢谢！
9,风力发电的市场前景如何？公司在风电设备市场的占有率怎样？,您好，我们看好风电市场的发展前景，在风电主轴细分市场，我们是行业内龙头企业。同时，公司依托于前期积累的市场资源，风电轮毂、机架、轴承座等产品的经营业绩也在逐年增长。谢谢！
10,目前公司风电铸件订单量是多少？,您好，具体产品的业务情况请您关注公司定期报告，谢谢！
11,公司目前大股东有没有大规模减持和增持计划？主要是出于什么原因呢？,您好，公司第二大股东山东高新投目前有正在实施的减持计划，其因业务发展需要减持公司股票，除此之外，其他持股5%以上的股东尚没有增持或减持计划，谢谢！
12,公司在与股民互动提问不是不回答 就是 不正面回答查这找那的 从各个方面表现看 对公司的信心实在是不足,我们一直坚持立足主业，坚持可持续发展，公司主营业绩已经连续四年增长幅度超过30%，我们对公司的发展充满信心。谢谢！
13,请问，公司大资金涉足核废料处理，今年核电业务反而下滑百分之四五十，核电这块什么时能有很好的回报？无人机项目整合，是要取缔吗？除了高新投，还有国寿也都减持公司股票，这真得不让我们投资者担心，大股东减持的真正原因,您好！第一，核废料处理行业作为公司在清洁能源布局的重要一环，我们看好未来的市场前景。第二，无人机项目我们正在整合过程中，如有进展我们会及时进行披露。第三，山东高新投减持公司股票是因其业务发展需要，对于我们来说，坚持做好主业是第一位的，只有做好主业才能实现以产业发展带动业绩增长，以此来回馈广大投资者。谢谢！
14,公司业绩这么好 公司股价如此 没有股份回购的想法吗 谢谢,您好！上市公司的股价受多重因素的影响，我们能做的就是做好主业和可持续发展，公司主营业绩已经连续四年增长幅度超过30%，我对公司的发展充满信心。谢谢！
15,您好！近期公司业绩不错，但股价超跌严重，本人计划建仓买股，但心中没底，希望去贵公司考察一下，是否接受投资者到公司考察了解情况？谢谢！,您好，我们非常欢迎投资者到公司现场调研、交流，具体请您联系公司证券部进行预约。感谢您的关注。
16,去年毛利率水平略有下滑，公司的毛利率在行业中是什么样的位置？将来还能否止跌回升？,您好，2017年公司主营业务产品的毛利率是增长的，我们将会继续做好降本增效的各项工作，谢谢！
17,按照投资逻辑，只有好股票在好价格时买进才能有不错的收益。目前，股价超跌严重，是否可以建仓？,您好，感谢您对公司的关注，根据《证券法》的规定，股票依法发行后，投资者自主判断公司的投资价值，自主作出投资决策，自行承担因公司股票价格变动引致的投资收益（风险），祝您能在证券市场上获得好的收益。
18,核废料处理方面的业务布局如何？这部分未来有可能占主营收入比例多少？,您好，公司核废料处理业务主要是核三废智能处理设备研发制造，我们看好这项业务的市场前景。谢谢！
19,近年来，公司股价和业绩倒挂，投资者和你本人资产不断缩水，如何提振投资者信心？如何吸引投资者底部买进股票？,您好！上市公司的股价受多重因素的影响，我们能做的就是做好主业和可持续发展，公司主营业绩已经连续四年增长幅度超过30%，我们对公司的发展充满信心。谢谢！
20,公司是否考虑剥离风电主轴业务？公司采取哪些措施？,您好，风电主轴业务是公司收入和利润的重要组成部分，公司会继续做好风电类相关产品的生产和市场开拓，保障公司的可持续发展。谢谢！
21,公司募投项目现在有效益发吗？效益如何？,您好，公司募投项目的效益在2017年度报告中已经披露，请您查阅。谢谢！
22,佛干死现在主要业务还是风电主轴吗？,您好，风电主轴业务是公司收入和利润的重要组成部分，具体情况详见2017年年度报告。谢谢！
23,你好 请问第一季度公司业绩如何谢谢,您好，今年第一季度业绩预告已经公告，预计归属于上市公司股东的净利润同比增长10%至30%。谢谢！
24,从近三年公司实现的净利润来看，公司发展还是不错的，但从近期的股价来看，属于创业板市场最便宜的股票。让普通投资者感觉公司好像出现了大问题，股票跌跌不休。请问公司如何应对股价进一步下跌？,您好！上市公司的股价受多重因素的影响，我们能做的就是做好主业和可持续发展，公司主营业绩已经连续四年增长幅度超过30%，我们对公司的发展充满信心。谢谢！
25,你好 公司业绩年年增长 股价为何年年下跌 公司是认为股价现在是合理吗？？ 谢谢,您好！上市公司的股价受多重因素的影响，我们能做的就是做好主业和可持续发展，公司主营业绩已经连续四年增长幅度超过30%，我们对公司的发展充满信心。谢谢！
26,"公司2017年净利润2.14亿元,同比增长28.46%，主要原因是什么？公司在新的一年里有什么生产经营方面的战略布局和规划？",您好，2017年净利润增长的主要原因是公司主营业务利润的增长。今年公司会继续调整产品结构，加大市场开拓的力度，积极应对市场挑战。谢谢！
