,Question,Answer
0,公司的目前业务实力在全国同行业排名如何？公司的优势是什么？公司的劣势又是什么？弥补劣势有何措施？,经过多年的发展，公司在电机定转子冲片和铁芯生产的冲压、叠装、铸铝、绕嵌线等技术环节中，均保持行业的领先地位。公司优势包含市场营销优势、技术研发优势、质量管理优势、全方位的配套能力。近年来受到宏观经济结构转型冲击面临发展瓶颈，未来公司将深耕细作，围绕“三化”工程，同时将通过技术整合、渠道拓展等多种方式积极打造新的增长点，努力将公司由传统制造业打造为高科技企业。
1,能否介绍下贵公司发展和长远布局？,未来公司将上下一心，采取“固本开源”战略，努力将公司由传统制造业打造为高科技企业： (1)通过管理机制和产品结构调整，执行“国际化”、“信息化”、“自动化”三大战略，提升传统主业定转子的市场竞争力和盈利能力； (2)通过技术整合、渠道拓展等多种方式积极打造新的增长点。感谢您的关注！
2,魏老板，你们是不是故意打压价格，为了多增发股份资产注入？不是为了打压，那为什么之前说的增持不多于2%怎么还没有动静？,股票价格的上下波动受到诸多因素的影响，公司提醒投资者充分关注资本市场的波动风险，以便做出合理投资决策。天津鑫达拟在2018年1月4日-2019年1月3日期间按照中国证监会和深圳证券交易所的相关规定继续增持公司股份，如通过深圳证券交易所交易系统继续增持公司股份，则累计增持比例不超过公司已发行总股本的 2%；如通过其他方式增持公司股份，将严格按照《上市公司收购管理办法》等法律法规的规定履行相应的程序及信息披露义务，详细信息敬请关注公司公告。
3,请问公司产品的技术含量如何？专利多吗？行业垄断地位如何？,"公司产品技术含量高，其中产品主要技术点在于产品的结构设计、工艺研发和生产设备上，并对相应的技术进行了大量的专利保护和布局，其中铸铝转子、汽车电机等产品均获得了市级科技进步二等奖，超高效电机的设计和制造技术获得国家教育部科学技术进行二等奖。
公司目前拥有172件有效专利。经过多年发展，公司在电机定转子冲片和铁芯生产的冲压、叠装、铸铝、绕嵌线等技术环节中，均保持行业的领先地位。感谢您的关注！"
4,半个小时过去了，能否先发点有噱头的信息出来。,感谢关注，公司后续发展情况敬请关注公司公告，谢谢
5,魏总，通过控股天津鑫达瑞间接控股通达动力，是否有进一步增持的计划？股东大换血，以后能不能给小股东多分红？,"基于对公司未来发展前景的信心以及对公司价值的认可，同时为巩固控制权，以达到和通达动力共同成长的目的，天津鑫达于 2018 年 1月 4 日在二级市场通过竞价交易方式增持公司股份 30,000 股，使其持有公司股份数量占公司总股本的比例由 29.98%增加为 30.00%。
天津鑫达拟在2018年1月4日-2019年1月3日期间按照中国证监会和深圳证券交易所的相关规定继续增持公司股份，如通过深圳证券交易所交易系统继续增持公司股份，则累计增持比例不超过公司已发行总股本的 2%；如通过其他方式增持公司股份，将严格按照《上市公司收购管理办法》等法律法规的规定履行相应的程序及信息披露义务，详细信息敬请关注公司公告。公司分红将根据未来业务发展需要进行安排，感谢关注！"
6,请介绍下公司主要客户情况，目前主要客户收入占公司营收比例是多少？,目前公司主要客户集中在华东、华北地区，2017年公司对前五名客户销售额合计为4.8亿元，占公司全年销售额的44.3%，详见公司2017年年报，谢谢关注！
7,请问董秘，现在楼市和股市那个泡沫更大？,此问题仁者见仁，智者见智，感谢您的关注，谢谢。
8,公司之前的市盈率好几千，现在不到一百，怎么回事？,您好，市盈率是股票市值与股票的每股税后收益的比率，具体数据详见公司于2018年4月24日披露的2017年度报告，谢谢！
9,一个上市公司如果20亿市值都稳不住，那么他的未来发展如何去看好。希望不要用模板语言回复。谢谢。,股票价格的上下波动受到诸多因素的影响，如宏观政策、市场资金供需状况、投资者心理预期、上市公司盈利水平和发展前景等。从企业角度，我们一直在努力促进企业发展，实现公司持续健康发展和长远布局，以给广大投资者满意的答复。
