,Question,Answer
0,贵公司去年色母粒销售量大增主要是什么原因？,您好，公司去年色母粒销售量增加的原因:公司加强产品质量管控，使产品质量稳定，加大研发力度，积极推出新品。谢谢！
1,请问目前公司扩建新建项目情况？,您好！目前IPO募投项目进展顺利，高性能热塑性弹性体（TPV）扩建项目已开始设备安装，预计5月分左右开始试生产。改性塑料扩建部分生产线已正常生产，陆续新增生产线；万吨级热塑性医用溴化丁基橡胶（TPIIR）产业化项目产房已经完成，项目建设正在进行中；企业技术中心建设项目已完成立项，目前正在对设备布局和外观进行规划。谢谢 
2,公司有在生产或研制电池隔膜用聚乙烯或聚丙烯材料吗？,您好！公司目前没有生产或研制相关的产品，但公司会跟踪相关产品的材料应用技术。谢谢！
3,请问公司TPV产能在什么水平？技术研发团队有多少人？,您好！公司TPV产品规模国内第一，全球第三。5项热塑性弹性体技术被鉴定为“国际先进水平”。产品主要竞争对手为埃克森美孚、三井等国外企业，是替代进口产品。目前研发团队有105人，在北京、青岛和烟台有研发基地。
4,请问公司TPV产品在市场中占有的份额大概在什么水平？公司TPV产品已与哪些公司开展合作？,您好！目前公司TPV产品占国内整个行业的20%，在汽车密封件领域占50%以上市场份额。公司TPV产品已与通用、大众、福特、丰田、日产、上汽、比亚迪、长城、吉利等国内主流车企进行合作。谢谢！
5,请问募投的高性能热塑性弹性体（TPV）扩建项目有完工吗？,您好！公司TPV募投项目，部分建成完工，预计5月左右投产。
6,公司研发和生产保险杠的改性塑料材料，都与哪些汽车企业有合作？,您好！公司保险杆改性料，主要和吉利、众泰和奇瑞等企业合作。谢谢！
7,请问国内化工产品涨价对公司影响有多大？,你好！化工产品范围较大，公司原材料涨价，对公司会产生一定不利影响。公司产品涨价，对公司形成利好。谢谢！
8,请问医用溴化丁基橡胶的专利技术是否已投产？,您好！公司已取得医用溴化丁基橡胶的专利技术，通过了FDA（美国联邦食品药品监督管理局）的DMF（药物主控文档）备案编号TYPE III No.28207，目前还未进行量产。谢谢
9,请问改性塑料毛利率下降较快是什么原因？,您好，改性塑料毛利率下降的原因是原材料价格上涨引起的，谢谢！
10,请问大韩道恩今年业绩情况如何，是否扭亏为盈？,您好，公司积极开发新的客户和产品，加强公司内部管理，努力降低经营成本，力争在本年内扭亏。谢谢！
11,随着市场行情的变化，公司今年会对产品结构进行怎样的调整呢？,投资者您好！市场行情瞬息万变，公司紧盯市场变化，积极调整产品结构，加强技术研发，生产盈利能力好的产品。着重加强热塑弹性体产品研发、生产和市场拓展。加强改性塑料差异化、高毛利的产品。谢谢！
12,上游原材料价格持续上涨，对公司的生产经营会造成什么影响？公司如何控制生产成本呢？,您好，公司预计原材料不会持续上涨，目前是阶段性上涨；公司紧盯市场采购价格，采取套期保值等方式，努力降低采购成本，降低原材料价格上涨对公司经营产生影响，谢谢。
13,请问公司的热塑性弹性体在高铁建设方面是否有应用？,您好！公司热塑性弹性体产品在高铁建设方面有实验应用，并且公司取的了相应专利技术，高铁建设方面的热塑性弹性体产品持续、大规模应用，需要使用方相应较长周期（6-8年）评估后确定使用。谢谢！
14,公司是否进军高速全新的护栏——旋转防撞桶这类产品？,您好！公司技术研发实力，具备生产旋转防撞桶类产品，目前没有量产。谢谢！
15,请问公司及各子公司目前生产如何？是否满产？,您好，公司的产品TPV、色母粒基本满产，谢谢。
16,公司上市已有一年多，请问IPO募投项目有哪些？目前进展怎么样？,您好！IPO募投项目进展顺利，高性能热塑性弹性体（TPV）扩建项目土建工程部分已完成，项目试生产主要设备已经签订完成；改性塑料扩建项目土建部分已经完成，部分生产线已正常生产，陆续新增生产线；万吨级热塑性医用溴化丁基橡胶（TPIIR）产业化项目土建部分已经完成，项目建设正在进行中；企业技术中心建设项目已完成立项，目前正在对设备布局和外观进行规划。谢谢
17,请问天然橡胶和公司的产品有关系吗？,您好！天然橡胶和公司的产品无直接关系，公司产品使用工业橡胶做原料，但资本市场存在天然橡胶和工业橡胶的联动的现象。谢谢
18,请问公司今年的利润增长点是什么，原油价格涨价对公司影响表现在哪些地方，公司如何化解?公司流动性堪忧，成交很清淡，董秘咋看这个交易情况,您好！公司今年部分募投项目将投产及对产品线工艺改造是公司新增利润点。原油价格上涨对公司原材料采购产生不利影响，公司紧盯市场采购价格，采取套期保值等方式，努力降低采购成本。股价成交影响因素很多，公司努力做好生产经营，回报投资者。谢谢
19,请问公司产品能应用于共享单车吗？,你好！TPV产品可以用来生产共享单车的链条（小黄车中已有应用）；TPES产品可以应用于共享单车手把。谢谢！
20,请问贵公司的员工持股计划有没有受资管规定新规影响？,您好！公司员工持股计划未受到资管新规影响，公司已于2018年1月30日通过信托产品完成员工持股购买。谢谢！
21,请问，近期投资的特种氢化丁腈和募资项目的氢化丁腈项目有何关系和不同？,您好，公司近期投资建设的氢化丁腈项目由全资子公司山东道恩特种弹性体材料有限公司筹资建设；募投项目为医用溴化丁基，两者产品不同，用途不同；氢化丁腈主要用于军工、航天领域；医用溴化丁基主要应用于医用胶塞，感谢您的关注。
22,商务部对美国等国的卤化丁基橡胶进行反倾销调查，贵公司是否受益？,你好！商务部对美国等国的卤化丁基橡胶进行反倾销调查，对公司收益不产生影响。谢谢！
23,目前公司产销供求关系如何？是否满负荷生产？,您好，目前公司产销平衡，热塑性弹性体满负荷生产，谢谢。
24,公司在改性塑料方面部分产品的主要竞争对手有哪些？,您好！公司改性塑料产品主要竞争对手有金发科技、沃特股份、会通新材料等公司。公司改性塑料主要应用汽车、家电领域。谢谢
