,Question,Answer
0,请问控制股东是否有增持公司股份的计划以体现对公司发展的信心，现在的控股比例太低了。,谢谢您的建议。
1,"首先我非常欣常新管理团队的努力，令重庆钢铁焕发出了勃勃生机.
但是投资者最关心都是贵公司的股份价格，贵公司现在的市值二百多亿，只依赖管理改善恐怕不能支撑贵公司这市值.会否有资产注入的行动？
另外我注意到四源合基金的理念是‘实现钢铁核心业务增值，最终通过上市、出售等方式退出以实现收益。’
我可理解成贵公司将会出售钢铁核心业务，而注入其他资产方式退出以实现收益？",感谢您的支持！管理团队将围绕“满产满销、低成本、高效率”的生产经营方针，结合区域市场需求，对产品结构、产线配置、工艺流程进行优化，提升资产及资本效率；以向市场提供高品质钢铁产品为导向，持续推动企业生产经营步入良性循环。四源合基金作为基金最终有可能会通过长寿钢铁的平台退出，具体方式路径目前尚不清楚，但有一点很确定未来的方案一定是有利于重庆钢铁的良性可持续发展。
2,四源合主导的长寿钢铁成为公司大股东后，会引入哪些企业文化？,您好！重庆钢铁使用的企业文化就是先进制造业必须使用的效率优先、流程驱动、工序服从等管理理念，特别值得指出的是重庆钢铁确立了公司与企业员工共同发展的愿景，树立了以人为本的管理理念，明确了分级授权、全员参入的管理方式，制定了全体员工参入利润分享的分配计划。
3,季报新见一大股东是中船集团公司，是否新购进？还是债转股而来？如是新购进，公司是否会侧重船板生产？,中船工业成套物流有限公司是债转股股东，公司当前结合西南区域市场需求特点主要以高层建筑用钢、桥梁用钢等中厚板产品为主，后期结合造船行业需求情况变化会适度考虑结构调整。
4,"H股股价大幅度的低于A股股价,成交量极低,贵公司有私有化H股的计划吗?","公司目前没有相关计划。谢谢！
"
5,"公司重整计划中债转股的转股价格为 3.68 元/股,目前公司A股的股价是2.3元，H股的股价是1.5港币。如果公司股价长期大幅度低于3.68元，而员工持股奖励照常进行，是不是对全体股东的二次伤害？所以是不是可以考虑在股价3.68以下不发放股票奖励，盈利部分回购公司股票注销。等股价上到3.68以上，开始奖励。",您好！谢谢您的建议，每一种措施都是利弊相依，公司应该综合考量。
6,作为散户，我可以参加股东大会吗？如果可以，需要按什么程序去参加？直接去就可以吗？,"您好！当然可以！请您关注我们在四大证券报上刊登的股东大会通知，如果直接去，您需要带上身份证和股东账户卡。
"
7,重庆钢铁目前职工有多少，人力资源成本是多少？,截止1季度末，公司在岗职工6546人，每月人工成本约7900万元，谢谢。
8,"四源合投资&quot;通过完善公司治理、优化资产结构以及强化团队激励等方式，实现钢铁核心业务增值，最终通过上市、出售等方式退出以实现收益。&quot;
那四源合投资有退出的时间表吗?",您好！暂时没有确定计划，感谢您的关注！
9,提议员工持股价格全部按照3.68元执行。1.防止为50%的市场价格，故意出利空打压股价。2.表明管理层对公司的信心。,您好！谢谢您的建议，每一种措施都是利弊相依，公司应该综合考量。
10,股东注意到：四源合的一大股东是中航集团，而重庆市由乌克兰购进航空发动机厂，两者有无关系？,没有关系。四源合是宝武集团联合WL罗斯公司、中美绿色基金、招商局集团三家具有丰富行业重组经验、全球资源配置能力的合作伙伴，共同组建的中国第一支市场化运作的钢铁产业结构调整基金。四源合投资四方出资股东是华宝投资（中国宝武钢铁集团全资子公司）、美国WL Ross公司、中美绿色东方投资管理有限公司和深圳市招商平安资产管理有限责任公司（招商局集团为其控股股东）。
11,请问近期钢铁行业的价格走势，对贵公司有什么样的影响？,近段时期以来，钢铁价格的大幅波动对公司的盈利水平产生了一定的影响，公司也在采取各方面的措施积极应对钢铁市场价格波动的变化。
12,董秘，李总，您好！关于一季度的产品出口数据报告里面没有说明，请问，出口量大概占到销售总量的多少？,一季度公司产品没有出口。
13,"李总，您好！
公司产品主要销售区域在西南地区（川、云、贵、渝），请问有考虑布局其它地区市场吗？",目前，整个西南市场的产品需求结构与重钢的产品结构高度符合，所以目前重钢立足深耕川渝市场，适度辐射云贵市场，打造区域市场的竞争力。
14,董秘，李总，您好！ 对于一季度的同比大增，从产量数据来看，是热卷产销占了近60%，中厚板占比不足20%，两者产品价格方面增幅5%， 那是不是说明一季度的热卷利润和市场需求都要高于中厚板，才是业绩有个大幅度的提高？ 谢谢！,一季度公司积极推进产品盈利能力管理，以用户需求和产品盈利能力为导向指导产品结构优化，合理、高效安排产品资源。产品结构的不断优化，进一步提升了公司盈利水平。
15,请问公司是否有计划整合重庆本地的优质钢铁资产（如永航钢铁等）。,您好！如果有适当机会，公司愿意在西南区域市场实施有限度的企业整合。
16,员工持股计划涉及的职工有多少？,"谢谢您的问题！员工持股计划的持有人为对公司经营业绩及中长期发展具有重要影响的公司核心骨干。参加员工持股计划的人员范围为：公司执行董事、高级管理人员、核心管理、业务、技术骨干。首期员工持股计划确定的参与人数不超过 120 人。各期员工持股计划具体参与对象名单及其分配比例由董事会确定。

"
