,Question,Answer
0,公司目前面临的最大问题是什么？,谢谢您的关注。要做百年企业，人才梯队的建设至关重要。随着公司规模的不断扩大，公司的人才储备不足是一个困扰着公司发展的重要问题。为此，公司也通过公司企业文化建设，员工内部培训等多手段提高员工素质，但需要做的工作仍有很多，我们也在继续努力。
1,曾总，您好，公司2016年低聚果糖业务增长30%，主要增量是新增客户还是老客户的用量提升？目前益生元行业的生产企业数量大概有多少家，集中度如何？环保问题在益生元行业中是否比较重要，是否有中小企业强制退出？您认为目前行业原料方向的毛利率适中还是整体比较偏低？非常感谢！,您好！业绩增长来自多方面。益生元生产企业不少，既有国外的也有国内的。环保问题在当今中国是一个非常重要的问题，但在益生元行业较容易处理。至于毛利率我们认为还可以，当然希望更好。
2,曾董您好：尚华医药老总惠欣的父亲惠永正是前国家科技部副部长和中科院上海有机化学所所长，也是糖化学领域的国际权威专家，量子高科作为全球益生元行业的领导者，请问您个人是否与惠永正老先生认识？股东们建议能否聘任惠老做量子的科学顾问呢？,感谢您对公司的关注。也谢谢您的建议。
3,曾董您好：请问此次收购睿智化学是量子公司自己选择的重组标的，还是通过量子磁系或巧乐健康基金运作？成立很久的量子磁系和巧乐健康并购基金何时开始运作项目？,谢谢您的问题，产业基金正在积极物色行业内的优质投资标的。本次上市公司为收购睿智化学的实施主体。
4,公司选择与尚华医药（睿智化学）进行资本合作，能否与公司现有益生元业务发挥协同效用？公司计划进入全新的医药领域，量子现有的幸福企业文化能否适应未来的新情况？,睿智化学作为国际化的医药研发平台，其严格的质量管理体系及高素质技术人才队伍将为公司在医疗和健康领域实现技术储备和管理升级，这将对现有益生元产品的生产、研发和应用有促进作用。企业并购后的整合包括企业文化的融合，这是企业并购完成后都需要思考和重点开展的工作。
5,叔叔好，2014年1月，中国股市报告对公司进行了报道，请问公司是否关注了相关信息？,您好，公司一直有关注公司在资本市场上的动态。
6,曾总您好：公司下一步能否采取强有力的措施迅速改变终端产品销售不畅的局面？一季度马上就要过去了，引进新的合作方后，二季度能否完成模式转变并开始贡献利润？,您好。我们正和新的合作方布局终端产品的销售和品牌运营，希望取得较好的成绩。
7,你好，透露点本次重组的消息吧，给股东朋友们一个彩蛋！,您好，请关注本次重组事项的进展公告。
8,公司原材料中白砂糖和乳糖的占比是怎样的？您如何看待17年的白砂糖的价格？,谢谢您的关注！公司原材料占到成本约60%。2017年白砂糖价格高位运行，对我们来说成本压力较大。
9,曾总，我们的阿力果产品是否可以做成粉剂或者颗粒状。咖啡店、烘培店、奶茶店目前规模很大，这块市场阿力果也可以试着去做做，本条不用回复。,谢谢您的宝贵建议。
10,2016年公司业绩中，二胎的贡献是否已经出现，如果有，贡献率有多少?您认为2017年我们现有业务的发展态势会如何？,您好！我们没法具体测算到2016年公司业绩中二胎具体的贡献是多少，但我相信中国放开二孩政策，对益生元市场是巨大的利好。2017年业务的发展态势我们十分看好并全力开拓市场。
11,曾董您好：公司未来是否会考虑医疗机构、养老服务等方面的并购标的？,感谢您的提问。公司将审慎在大健康产业范围内寻求并购机会。
