,Question,Answer
0,在给用户提供增值服务方面，公司做了哪些工作以增强对原有客户的锁定、新客户的拓展？,"尊敬的投资者，您好，感谢您对公司的关注和支持。公司一直以来高度重视为客户提供增值服务工作，并不断投入大量人力物力和财力进行技术研发与投入，不断为客户提供高质量、智能化及数据化等增值服务，并为客户提供薄膜无人工厂建设方案，提供智能化大数据平台进行售后服务工作，增强客户粘性。目前，公司在环保、节能、智能领域的新产品不断涌出，旨在为客户提供高效节能装备。
未来，公司将以更加优质的服务态度和产品质量为客户提供增量服务，并不断加强与国内外有关技术、市场的合作，加大市场宣传工作，有目的参加各项展会工作，建立全球化销售网络等工作，以求进一步打开新兴市场和新客户。
"
1,如何看待企业采用OA办公系统,尊敬的投资者朋友，您好！企业使用自动化、信息化管理系统有助于提高工作效率。目前，公司内部已建立生产经营的信息化管理平台，从产品设计贯穿到产品交货全过程均使用内部设计的信息化管理平台进行生产管理，大大提高产品生产效率，减少产品生产周期，有效控制各项资源浪费。谢谢！
2,公司未来3年发展前景如何?,"尊敬的投资者朋友，您好！
未来，公司将坚定推进“智慧金明”发展战略，积极把握行业发展的良好机遇，以非公开发行股票募投项目的建设为契机，充分发挥公司技术优势、市场优势，打造“智慧金明”。加快大数据、云计算、物联网的应用，以新技术新业态新模式，推动传统产业生产、管理和营销模式变革，把发展智能制造作为主攻方向。公司不断突破软件技术、自动控制、数据平台在智能机械装备上的应用瓶颈，用智能型的机械设备实现高科技含量薄膜产品的生产，助力金明以高品质产品占领更广市场，并形成全套智慧工厂解决方案，以“智能装备+智慧工厂+产业生态圈”的形式点面结合延伸到国内外电子行业、食品行业、药品行业、新能源行业等行业的包装无人工厂建设，推进“智慧金明”发展战略，最终实现公司打造“全球包装行业智慧工厂方案解决商”的愿景。
同时，公司积极响应“健康中国”国家战略，推进“健康金明”发展战略，将深化与清华大学的合作，并坚持利用公司上市公司技术、资本及资源等平台，以点带面逐步实现康复机器人专业化、信息化、产业化、市场化及规模化发展，逐步推进“健康金明”战略，最终实现公司打造“中国综合康复治疗方案解决商”的愿景，为我国康复事业贡献力量。
感谢您对公司的支持与关注，谢谢！
"
3,这几年社会道德滑坡，不讲诚信，为了个人利益突破道德底线的行为屡屡发生，你作为企业高管如何看待？,尊敬的投资者朋友，您好！作为一家上市公司，公司将会借助上市公司的治理规则、诚信公约、内控制度，提醒董、监、高管人员约束经营行为，遵纪守法，规范运作，肩负企业社会责任。谢谢！
4,公司募集资金投向项目进展如何，是否顺利?预计多久可以收回投资?,尊敬的投资者，您好，感谢您对公司关注和支持。公司募投项目部分已经开始规划建设中，进展顺利。具体建设项目的建设周期烦请查看公司募投项目规划中的建设周期，谢谢。
5,"同行业内有哪些主要竞争对手？公司采取了什么样的应对措施,在保持稳定增长的前提下不断做大做强?",尊敬的投资者朋友，您好！公司是国内同行业中最具优势的企业之一。公司一直致力于薄膜吹塑设备和中空成型设备的研发、设计、生产和销售，经过近三十年的精耕细作，已发展成为掌握了塑料机械制造领域最先进、最核心技术的专业塑机供应商。公司的核心竞争优势集中体现为行业领先的技术创新优势、先进的制造加工能力优势、全球化的品牌及市场优势、专业人才队伍优势和客户优势等，同时，公司拥有行业大数据智能管理平台、高端特种多功能薄膜智慧工厂（行业高端薄膜无人工厂样板工程），目前，公司有条不紊地推进“智慧金明”与“健康金明”发展战略，为将公司打造成为“全球包装行业智慧工厂方案解决商”和“中国综合康复治疗方案解决商”而努力。谢谢！
6,董秘回答问题的态度很好，给你一个世林赞,尊敬的投资者朋友，您好！很高兴与您进行愉快的沟通，谢谢！
7,"公司采取了具体怎样的应对措施,在同业中不断做大做强?",尊敬的投资者朋友，您好！公司是国内同行业中最具优势的企业之一。公司一直致力于薄膜吹塑设备和中空成型设备的研发、设计、生产和销售，经过近三十年的精耕细作，已发展成为掌握了塑料机械制造领域最先进、最核心技术的专业塑机供应商。公司的核心竞争优势集中体现为行业领先的技术创新优势、先进的制造加工能力优势、全球化的品牌及市场优势、专业人才队伍优势和客户优势等，同时，公司拥有行业大数据智能管理平台、高端特种多功能薄膜智慧工厂（行业高端薄膜无人工厂样板工程），目前，公司有条不紊地推进“智慧金明”与“健康金明”发展战略，为将公司打造成为“全球包装行业智慧工厂方案解决商”和“中国综合康复治疗方案解决商”而努力。谢谢！
8,请问董事长的梦想是什么？,尊敬的投资者，您好！我的梦想就是致力于将企业做大做强，为 “智慧金明”和“健康金明”的发展战略不断努力奋斗，争取早日实现金明的伟大战略规划，用优异的成绩回报投资者。谢谢！
9,"这几年社会道德严重滑坡,不讲诚信，为了个人利益突破道德底线的行为屡屡发生，你作为企业高管如何看待？",尊敬的投资者您好，作为一家上市公司，将会借助上市公司的治理规则、诚信公约、内控制度，提醒董、监、高管人员约束经营行为，遵纪守法，规范运作，肩负企业社会责任。谢谢！
