,Question,Answer
0,张叔叔好，公司是什么时候上市的？,"您好：
      公司于2012年上市。谢谢！"
1,叔叔好，介绍一下公司的主营业务,"您好：
       年度报告中已有详细介绍，请您查看。谢谢！"
2,公司今年有没有新产品和新业务拓展？对城镇一体化带来大发展机遇，公司有没有具体的发展计划？,"您好：
       有关公司新产品和新业务的拓展公司会及时披露，请您及时关注公司公告。谢谢！"
3,请问谢总，不同分公司中有关联的客户资源是否共享？公司有部门在协调吗？,"您好：
       公司在动保产品、兽用制剂、动物疫苗、兽用添加剂方面存在共同的客户资源，公司内部保持有有效的协调以共同服务客户。谢谢！"
4,做大、做好市值管理是每个公司成长的必然追求，公司是如何进行市值管理的？,"您好：
       感谢您的关注。公司会及时加强与投资者的沟通，积极做好投资者关系管理。谢谢！"
5,去年公司经营遇到的最大困难是什么?今年有望改善吗？,"您好：
       公司的经营会受到国内外养殖行业发展的影响，公司始终关注养殖行业的发展趋势及时调整经营策略。谢谢！"
6,公司是否会进军新的细分市场和领域，以及扩大市场占有率？如果会，请问新的领域现在占公司营业收入比重是多少？未来打算提升到多少？多长时间能实现？,"您好：
       感谢您对公司的关注。公司各业务的比例及实现的目标，公司已在年度报告中进行披露，具体内容请您查看公告。谢谢！"
7,"同行业内有哪些主要竞争对手？公司采取了什么样的应对措施,在保持稳定增长的前提下不断做大做强?","您好：
       国内现有多家金霉素产品生产企业，公司做为金霉素最大的生产企业，将不断保持现有优势同时积极拓展其他业务以实现做大做强的目标。谢谢！"
8,公司是否已经收到玉米深加工补贴款项？,"你好：
       公司目前尚未收到相关补贴款项。谢谢！"
9,请问：公司产品的技术含量如何？专利多吗？行业垄断地位如何？ 那些项目能给公司带来利润增长点？预计是否能保持3年的增长？,"您好：
      公司及多个子公司均是高新技术产业公司，拥有多项发明专利。未来项目及发展请您及时关注公司相关公告。谢谢！"
10,公司募集资金投向项目进展如何，是否顺利?预计多久可以收回投资?,"你好：
       请阅读公司年报和与年报同时发布的募集资金永久补充流动资金的公告。谢谢！"
11,今年是否考虑金霉素提价策略？,"您好：
      公司金霉素产品现价格已比上年底有所提高，未来将根据市场变化情况来确定价格走势。谢谢！"
12,相对于三季度末每股净资产下降了0.09元，原因是什么？,"你好：
        请阅读年报中资本公积部分的相关内容。谢谢！"
13,公司现阶段发展过程中有何不足？面临的最大挑战是什么？如果新客户在磨合期放弃与公司合作，公司有无应对措施？,"您好：
        公司在战略推进的过程中有可能面临着人才、技术、产品储备不足的可能，但公司有信心努力解决问题以保证战略目标的实现。谢谢！"
14,"公司采取了具体怎样的应对措施,在同业中不断做大做强?","您好：
        公司坚定不移的推进公司战略规划，不断做大做强，以回馈投资者。谢谢！"
15,"公司的持续良性发展是投资者投资信心的有力保证,愿公司的发展能为投资者带来良好的回报!请问公司领导对今年有信心吗？","你好：
       我们有信心实现今年的预定目标。谢谢！
        "
16,去年的市场行情并不好，物价又涨，今年公司在市场开拓方面有什么计划？能否详细谈谈？,"您好：
       公司始终积极努力做好各重点产品的市场开拓以创造良好的业绩回馈投资者。谢谢！"
17,自从微博出现后，对于舆情的关注和扩散在一定程度上都有所放大，关于舆情的监控，公司有些什么样的手段？而在应对负面舆情的时候，又有什么样的应急措施？,"您好：
      公司时刻关注有关公司的各方面报道并及时回应，以避免负面舆情的产生。谢谢！"
18,做为高管你对公司的股价有何看法？股价的上扬能体现上市公司的潜质和气魄！希望管理层关心一下自己公司的股价！以提振二级市场的股东对公司的信心！！！谢谢,"您好：
       公司将努力实现做大做强的目标，以良好的业绩回馈投资者。谢谢！"
19,杭州佑本收购进展如何，最后33%的股权如果不能完全收购将对整体布局有何影响，对前期调研是否追责？,"您好：
       公司正在积极协调杭州佑本原股东并通过必要的法律手段督促其尽快解决其问题，以保证股权的顺利过户。谢谢！"
20,今年人工费用是否还会出现阶段性上涨？,你好。公司整体人力资源支出较为稳定，不存在剧烈调整情形。随着公司战略布局进展及生产经营形势的变化，人力资源支出会有相应的变化。谢谢
21,在给用户提供增值服务方面，公司做了哪些工作以增强对原有客户的锁定、新客户的拓展？,"您好：
     公司在积极开发新的产品及新的剂型以满足新老客户的需求。谢谢！"
22,请问公司在财务结构上有什么不足，打算采取哪些举措。,你好，公司目前财务结构较合理，随着公司经营环境的变化，我们会适时做出相应的调整和应对。谢谢
23,请问公司上一季生产经营状况如何？与去年同期相比如何呢？,"您好：
       请关注即将在4月26日发布的公司2017年一季度公告。谢谢！"
24,你如何看待同行业其他公司的经营情况？在同行业竞争中，公司排名第几？你认为公司业绩增长的主要优势或障碍在哪里？,"您好：
      公司主要产品金霉素仍保持着行业第一的位置。公司将全力以赴按照已制定的战略规划做大做强，回报投资者。谢谢！"
25,"去年有机构投资者去公司做调研吗,都是哪些？我们这些中小投资者在哪里能看到机构投资者的调研情况？","您好：
        公司投资者机构调研情况已于巨潮资讯网公告，具体内容请您查看相关公告。谢谢！"
26,希望公司在适当的时侯推出激励计划来聚集和挽留人才，保持公司的竞争力！,"您好：
        公司会在适当的时候考虑推出激励计划，感谢您对公司的关注。谢谢！"
27,股价升等于做免费广告，有助于公司产品销量升、业绩升，形成良性循环。建议公司配合将股价做上去。,"您好：
       感谢您对公司的关注。谢谢！"
28,公司如何规避各种风险，如产品质量、资金、管理等，减少各种负面事件？,"您好：
       感谢您对公司的关注。公司会始终注重各项风险防控工作。谢谢！"
29,一直指望公司会推出高送转方案，不知道今年是否有希望，什么时候能出预告？,"您好：
      公司2015年已实施每10股转增15股的方案，目前暂无股本转增方案。谢谢！"
