,Question,Answer
0,自公司上市来，江总从未减持过公司股份，江总确实是一位干事业的人，请问江总分享一下对金达威发展目标的期许？以及对中小投资者的建议？,您好！谢谢您的关注。公司的发展战略在2016年度报告相关章节中体现，请阅，欢迎提出建议和意见，谢谢！
1,金乐心产品推广销售是公司否达到预期目标？,您好！公司推出金乐心辅酶Q10，该产品不是传统的保健品，是近几年新出现功能性保健产品，市场认知和开发尚需一个过程。谢谢！
2,公司目前有哪些在建项目？建设进度如何？还需要多少资金？,您好，在2015年6月30日，公司做了《关于投资年产800吨维生素A油和年产200吨维生素D3油项目的公告》，该项目立项已通过审批，公司有充裕资金保证该项目实施，关于项目详细信息请查阅上述公告，谢谢！
3,今年金砖会议在厦门举办，作为厦门本地公司，建议不妨利用这次机会加强宣传，扩大公司知名度。,您好！谢谢您的建议和关注！
4,目前的公司股价低于去年的增发价，建议管理层采取一些具体措施（比如高管增持）增强投资者的持股信心。,您好！谢谢您的建议。
5,公司领导怎么看现在公司的股价，对我们这些看好公司的小散有什么忠告。谢谢,您好！请坚定对资本市场和公司发展的信心，谢谢！
6,请问截至到目前公司的营销有没有什么新进展，有看点吗？,您好！请关注公司2016年度报告的介绍，谢谢！
7,江叔叔好，公司的主营业务和上市时间,您好！公司的主营业务请关注公司2016年度报告的介绍。公司于2011年10月28日上市。谢谢！
8,公司去年财务费用和管理费用怎样？同财务费用相比呢？今年有没有折旧？请问管理费用今年会能稳定吗？,"您好，公司2016年度财务费用2,141,501.44元，管理费用214,608,966.21元，与2015年度相比均有下降。公司严格按照会计准则的要求编制财务报表，包括对固定资产的折旧。对于2017年的财务情况，请持续关注公司定期报告的披露，谢谢！"
9,陈叔叔好，为什么公司被315晚会曝光？,您好！您的信息是错误的，公司并没有被315曝光。不过，还是谢谢您的关注，谢谢！
10,请问具体联系证券代表的电话是多少？,您好！公司证券部门的联系方式，在每年的定期报告等中均有披露，欢迎来电！谢谢！
11,投资者担心的心情更多，请问贵公司对此怎样给予更好的鼓励，加油,您好！公司理解投资人的心情，公司会做大做强，争取给投资者更好的回报。谢谢！
12,请问公司今年营收的增长能超过行业增速20%吗？,您好，对于公司经营业绩的情况，请持续关注公司定期报告的披露，谢谢！
13,我对贵公司是长期投资的，请问预计今年上半年会盈利多少？,您好，对于公司的经营业绩情况，请持续关注公司的定期报告披露，谢谢！
14,公司历次新增产能均能及时消化，公司一直保持了较高的产能利用率与产销率   这是过去，将来还会是这样吗？,您好，降本增效是保证公司竞争力的法宝，金达威公司一直致力于通过技术改进和创新来提高生产效率和产能利用率。因为持续在技术领域的投入，公司于2016年度被认定为国家企业技术中心，这既是对我们过去投入的嘉奖，也是将来发展中持续关注的方向，谢谢！
15,请问贵司今后有新增多少产能？下游客户能吸收的完吗？,您好！公司目前的产销率保持在一个良好的、合理的水平，谢谢！
16,请问公司股票上市时期价格多少，现在多少，还具有投资价值吗？,您好！上市以来，公司市值已经获得大幅度的增长。从公司的角度来说，未来的投资价值，主要取决于公司发展战略的实现。我们对此充满信心，谢谢！
17,公司主要采取什么措施应对公司主要产品价格的波动？,您好，产品价格因供求关系波动是市场经济的一般规律，面对价格波动，金达威公司积极降本增效，通过成本降低来减少价格波动对公司业绩的影响；同时，公司也积极开拓新的销售渠道和客户，来平衡对总体销售收入的影响。谢谢！
18,目前是否有其他跨境电商收购对象？,您好！该行业与公司部分产品的销售密切相关，我们持续关注该行业的发展，谢谢！
19,请问公司明年净利润能做到多少？,您好，对于公司的经营情况，请持续关注公司的公告，谢谢！
20,公司对新疆、内蒙、宁夏等西部同行竞争对手怎样的考量？你们的成本、管理、市场等优势体现在哪些方面？,您好，竞争是市场经济的普遍规律，面对竞争，金达威公司历来积极主动，打铁还需自身硬，在练好内功的同时灵活应对市场变化，把主业做大做强。金达威公司在辅酶10、维生素A等产品中均有十余年的行业经验，拥有成熟的管理体系、技术团队和客户资源，在成本控制上处于行业领先地位。
21,请问公司如何看待中牧减持对公司股价影响？,您好！公司尊重每一个股东的选择，公司立足于长远，争取不断提高对投资者的回报。谢谢！
22,董事长，您好！作为股民，我支持公司尽量在不扩大股本的情况下做大做强！,您好！谢谢您的建议！
23,您认为目前公司面临的最大问题是什么？,您好！请参见前面的回复，谢谢！
24,公司有没有股权激励计划？,您好！目前没有讨论该计划，谢谢！
25,请问公司今年是否有对外扩张的打算？在环渤海地区是否有意向？今年公司在市场开拓方面有什么计划？能否详细谈谈？谢谢,您好！公司会根据发展战略，择机进行内生和外延的扩展。公司2017年市场的开拓重点请关注公司2016年度报告相关章节的介绍，谢谢！
26,"请问董事长,关于公司最新项目今年或以后有什么战略规划吗,如果有今年能进展到什么程度?",您好！谢谢您的关心，请关注公司2016年度报告相关章节的介绍。
27,对公司未来有前景吗？,您好！我们对公司的发展前景充满信心并为此而努力，谢谢！
28,在做项目之前是否对项目进行严谨的可行性研究？,您好！公司对拟投资的项目，会根据项目的性质、类别、规模进行慎重的考虑和严谨的调查研究，形成投资方案后，履行相应的程序，谢谢！
29,公司目前面临的最大问题是什么？,您好！公司发展面临的最大问题是人才的问题。我们欢迎所有有识之士加盟我们，共同发展，谢谢！
30,请问公司目前产能多少？,您好！公司产品的产销库存等信息，请关注公司2016年度报告的相关章节，谢谢！
31,公司现在负债总额是多少？每年负债的利息是多少？谢谢。,"您好，公司截止2016年12月31日总负债为920,929,861.46元，2016年度利息支出共计20,194,836.87元，谢谢！"
32,请问公司以后每年都会用现金分红的形式回馈股东吗？,您好！公司上市以来，每年都进行现金分红，今后也会朝着这个方向努力，谢谢！
33,截至目前公司的同比销售额有增长吗？,您好，2016年度销售收入相比2015年度增长38.12%，2017年1季度财务结果请关注4月29日的第一季度财务报告的披露，谢谢！
34,请问净利润的增长率和销售收入增长同步吗？,本年度销售收入与上年相比增长38.12%，归属母公司净利润增长166.29%
35,请问今年的营销额，公司给的任务是多少？去年的有没有完成？,您好！请关注公司2016年度报告的相关章节，谢谢！
36,一季度业绩怎么样？有没有机构来调查？,您好！请关注公司4月29日一季报的披露信息。对于特定投资者的调研情况，巨潮资讯网互动易和公司网站及时披露，谢谢！
37,公司新项目何时能对公司贡献利润？预计每年可实现净利润多少？,请问，您指的是什么项目？谢谢！
38,将来公司下属会有上市公司吗?,您好！目前尚不能确定，谢谢！
39,公司每次投资项目的可行性报告是否有详细说明公告？,您好！公司会根据相关的法律法规等要求进行披露，会提交相应的备查文件给交易所备案，谢谢！
40,请问公司有无通过发行公司债券等形式进行募资的计划？有无设立并购基金收购标的的计划？,您好！目前公司尚未进行该计划的讨论，谢谢！
