,Question,Answer
0,铁汉生态2017年净利润7.57亿元，同比增长45.02%， 公司利润率提升的主要原因？公司在新的一年里有什么生产经营方面的战略布局和规划？,2017年公司努力开拓市场，保持公司主营业务的快速发展。2018年公司计划实现净利润同比增长50%。谢谢。
1,谢谢刘董、陈总 及各位的认真回复，祝公司发展顺利。,谢谢。
2,请问公司与新客户签订合同后多长时间后能充分供应产品？,公司签订合同后按照合同约定的工期计划施工。谢谢。
3,目前公司在手订单量是多少？,请查阅公司的相关公告。谢谢。
4,请问公司上市后的发展计划是否会更激进，利用上市的机会迅速整合并购？,公司上市后积极通过并购方式实施公司业务发展。谢谢。
5,公司并购的星河园林、广州环发、铁汉建设运营情况如何？,运营情况良好。谢谢。
6,请介绍公司2018年的客户开拓情况以及产能供应情况。,公司2018年计划完成项目中标金额500亿元以上。具体情况请查阅《公司2018年度预算报告》及《公司2017年年度报告》，谢谢
7,请问公司同业竞争对手都有哪些？公司现在有没有新的利润增长点？或新的盈利模式来增加收益呢？,公司同业的上市公司有东方园林、棕榈股份、蒙草生态、岭南园林等。公司经营及业务情况请查阅《公司2017年年度报告》内容。谢谢。
8,预计今年公司PPP业务拓展情况如何？营收是多少？,请留意公司的公告。谢谢。
9,公司生态旅游和设计维护业务运营拓展情况如何？,公司目前主营收入以工程施工为主。未来公司将不断加大生态旅游、设计运营等业务的拓展。谢谢。
10,公司对外延扩张的计划？公司外延考虑独立研发还是购买团队？,公司积极通过外延发展方式实现公司主业的发展。谢谢。
11,公司获得过哪些重要的奖励和技术专利吗？近期公司有什么技术突破，将给公司带来什么影响？,请留意公司年度报告中有关研发情况的相关内容。谢谢。
12,贵公司的施工速度是不是有点慢，等工程结束政府领导都换届了，看不到成绩了。不过贵公司精品工程倒是很多，能不能保证质量的前提下，加快施工，毕竟手里都400多亿的订单呢！,工程施工进度受多种因素（设计施工图纸、征地拆迁、天气情况等）影响。公司将努力加快项目施工进度。谢谢。
13,今年预计签订500亿的订单，有压力吗？,公司将努力完成年度订单计划。谢谢。
14,目前公司有哪些并购项目？进展情况如何？,请留意公司公告。谢谢。
15,最近岭南股份连中几个大标，铁汉生态怎么最近没动静？,公司按照有关规定公告重大项目中标情况。谢谢。
16,2018年公司中标项目有哪些？进展情况如何？,请查阅公司公告，谢谢。
17,请问刘董，公司在 多个业务方面的 管理结构是什么样的？ 各业务中间有无很大的依赖协作？,您好，公司主营业务涵盖生态环保、生态景观、生态旅游、生态农业四大方向。已形成了集策划、规划、设计、研发、融资、建设、生产、资源循环利用及运营等为一体的完整产业链，能够为客户提供一揽子生态环境建设与运营的整体解决方案。在管理上，公司强化区域的管理作用，各业务专业线条高度协同。谢谢。
18,公司如何建立自己推广销售网络？每年公司的公关和广告费用大概是多少？,公司近年不断完善全国市场布局，目前业务覆盖20多个省份，目前已形成华东、华南、西南、华中、西北、北京、云南、新疆八大市场区域中心，实现八大区域协同发展。根据公司2017年年度报告，公司2017年销售费用中的广告宣传费约为300万元。谢谢！
19,请问刘董，公司在 旅游 上的布局，在与其他竞争对手相比较，最大的特点各是什么？或者说 公司最强的优势 是把 哪类 地区做成 好的旅游点？,您好，公司在前几年就开始布局旅游运营，招聘培养了很多旅游管理专业人才。在特色小镇、美丽乡村等领域的运营渐形成较强的实力，这两年建设、运营的不少项目得到社会较好评价，如公司建设运营项目滨州西纸坊黄河古村。自2017年五一假期开业以来接待游客80余万人次，并被CCTV-1、CCTV-13《朝闻天下》栏目和中国旅游报头版报道。谢谢。
