,Question,Answer
0,只有以前的乐视给公司大的订单，其他手机品牌有订单量过亿的合同吗？小米6和oppo单季度订单会达到一个亿以上吗？,您好，感谢您对公司的关注!单季度的订单量要视未来兴科电子新产品的爬坡进展程度以及小米等手机终端品牌客户的销售情况而定。
1,普通投资者投资一只股票不是来亏钱的，公司有能力、有条件推出高送转、适当派现，就应该公开、透明的发公告。,您好，实现上市公司与投资者的共赢，是我们的共同心愿，谢谢您的建议！
2,小米和oppo单季度的订单额超过一个亿了吗？乐视手机4月有新品发行，贵公司都没有取得乐视的新品订单吗,"尊敬的投资者：
    感谢您对公司和兴科电子的关注！
   小米和oppo系2017年新开发产品，一季度的订单额尚未到一个亿。乐视新产品兴科已研发好，只欠东风。"
3,公司二季度业绩相对去年一季度会有好转吗,您好，感谢您对公司及兴科电子的关注，从目前情况来推测看，兴科电子预计二季度营业收入要好于一季度。  
4,公司今年有没有新产品和新业务拓展？对城镇一体化带来大发展机遇，公司有没有具体的发展计划？,您好，感谢您对公司的关注！在整个改性塑料行业不景气的背景下，银禧科技依然能够保持营业收入的稳步增长，正是由于不断推出新产品新业务为我们提供了强劲的增长动力。面对城镇一体化的大趋势，公司将积极打造面向全国的销售网络，更加贴近市场，满足对不同客户需求的快速响应，以期在城镇一体化过程中实现公司的快速增长。
5,"公司采取了具体怎样的应对措施,在同业中不断做大做强?",您好，感谢您对公司的关注，公司将坚定执行“内延式发展外延式并购”的战略，努力做好生产经营的同时借助资本市场做大做强。
6,兴科电子2016年四季度开始做战略调整，多元化产品转型，前期投入的研发费用较多，且一季度兴科大多数产品处于爬坡阶段。转型从短期看，对当期的净利润必然会造成一定的影响，但是从长远来看更有利于公司的长远发展。 -------------------公司在各种互动平台都是这么说，由于转型有阵痛，由于产品在爬坡店址业绩亏损下降，但我们中小投资者想问下，公司的业绩要等到多久才能恢复增长呢？二季度应该可以了吗？不能再说还在爬坡了吧？,您好，感谢您对公司及兴科电子的关注，从目前情况来推测看，兴科电子预计二季度营业收入要好于一季度。  
7,关键是那个奖励的钱是银喜出的呀，因为现在开始兴科是公司的合资子公司了。16年完成的利润又不算全部是银喜的，那是不是有损股民的利益呢,"尊敬的投资者：
    感谢您对公司和兴科电子的关注！
  超额业绩奖励是由兴科电子出，实际上也是银禧科技出。 2016年的净利润归最终属于兴科电子股东，实际上也是银禧科技，但是根据会计准则不反映在报表上。"
8,请问林总?照公司目前的经营状况，兴科电子能否完成它所承诺的2017年净利润不少干2亿4仟万.r,您好，感谢您对公司和兴科电子的关注！ 用我们兴科电子胡总的话来说，他个人对完成业绩承诺是有信心的。 
9,2017年业绩承诺有信心完成吗？,"尊敬的投资者：
    感谢您对公司和兴科电子的关注！
   用我们兴科电子胡总的话来说，他个人对完成业绩承诺是有信心的。"
