,Question,Answer
0,一季度研发投入了多少？,您好，因一季度报告尚未披露，该数据不便答复，谢谢！
1,公司今后发展重点放在哪里？,"您好！1、在市场方面，实现两个突破，一是实现重大客户突破，其中传统动力产品进入日系、德系客户配套体系，新能源产品进入国内外主流客户配套平台。二是实现原有客户重大新项目突破。2、在研发方面，实施技术引领战略，制定产品与技术战略规划实施路径。构建全球化的研发构架、体系及流程，建立完善的研究系统、开发系统及试验验证系统并策划提升各平台样件试制能力。加快新能源汽车领域热管理产品及系统开发（包括PTC水加热器、电子水阀、电子水泵、电池冷却总成、电池水冷板等、前端模块等）、传统乘用车领域节能降耗产品的开发（包括汽油机EGR总成、水空中冷器、前端模块等）、商用车和工程机械领域模块化产品的开发（包括大型冷却模块、机滤模块、国五国六EGR总成、国六后处理系统等）。谢谢！
"
2,新能源热管理方面布局的如何了？,您好！公司高度重视新能源热管理业务的拓展。目前在新能源热管理研发方面，内部以天台研究总院、上海研究分院、北美研究分院为主、外部联合高校资源，构建全球化的研发构架、体系及流程，建立完善的研究系统、开发系统及试验验证系统并策划提升各平台样件试制能力。加快新能源汽车领域热管理产品及系统开发（包括PTC水加热器、电子水阀、电子水泵、电池冷却总成、电池水冷板等、前端模块等）。谢谢！
3,原材料波动和汇兑损益是否会对公司业绩带来比较大的影响呢？,您好，原材料、汇率的波动，长期以来一直存在，公司已经通过内部降本等措施减少其对公司业绩的影响，谢谢！
4,公司在国际是市场上是否有份额？,您好，2017年公司直接出口加代理出口约占总收入30%左右，谢谢！
5,近期大股东是否有减持意向？,您好，目前未收到大股东减持意向通知，如有会依据相关规定在指定媒体披露相关减持计划公告，谢谢！
6,公司目前在市场开拓方面进展如何？,"您好！市场开拓实现两个突破，一是实现重大客户突破，其中传统动力产品进入日系、德系客户配套体系，新能源产品进入国内外主流客户配套平台。二是实现原有客户重大新项目突破。
产品研发方面，构建全球化的研发构架、体系及流程，建立完善的研究系统、开发系统及试验验证系统并策划提升各平台样件试制能力。加快新能源汽车领域热管理产品及系统开发（包括PTC水加热器、电子水阀、电子水泵、电池冷却总成、电池水冷板等、前端模块等）、传统乘用车领域节能降耗产品的开发（包括汽油机EGR总成、水空中冷器、前端模块等）、商用车和工程机械领域模块化产品的开发（包括大型冷却模块、机滤模块、国五国六EGR总成、国六后处理系统等）。谢谢！
"
7,你好，我想请问下，公司之前的SCR产品主要是面向重卡，客户是潍柴，现在公司要将SCR业务从重卡拓展到轻卡，目前已经发展的客户有哪些？谢谢,你好，公司目前的SCR产品主要配套的是重卡和工程机械领域，轻卡配套的比较少，主要集中在扬柴等几个客户。谢谢。
8,工程类重卡和工程机械在今年是否会有很大的增长点？,您好！公司在重卡和工程机械行业，未来主要增长点为冷却模块、EGR总成、后处理系统等。谢谢！
9,您好，我想请问下公司目前的竞争对手主要有哪些，目前在热管理类所处行业龙头，在其他领域竞争情况如何，谢谢！,你好，公司目前存在竞争关系的同行主要集中在国外，我们也与其中一些国际一流同行建立了资产合作关系。除了保持热交换领域的优势，公司目前还在集中资源着力于后处理等领域的发展。
10,公司去年重卡销量大幅下降是什么造成的呢？今年预计会怎么样？,您好！2017年国内重卡销量比2016年增幅较大，公司配套业务同比也有较大增幅！谢谢！
11,想请问下贵公司在尾气处理板块，未来会侧重于乘用车还是商用车，侧重于EGR、DPF还是SCR，有没有考虑尾气处理模块化，这部分未来会成为公司的增长点吗？,您好！目前， 国内高度重视大气污染治理，尾气处理业务有很大发展空间，公司持续加强相关产品的发展。谢谢！
12,想了解下公司高管持股详细情况？,您好，截止2017年12月31日，高管持股情况详见2017年度报告第八节，谢谢！
13,您好，我想请问下公司尾气处理板块的毛利率为多少？谢谢,您好，2017年公司尾气处理板块的毛利率约20%左右，谢谢！
14,公司主要产品的目前毛利率状况如何？,您好！2017年热交换器毛利率26.46%，车用空调毛利率26.79%。谢谢！
15,您好，我想请问下贵公司乘用车、商用车、新能源和工程机械各板块的占比情况如何？未来会有哪些变化？谢谢！,您好，目前公司各业务板块中，乘用车（包括新能源）约占30%，商用车约占50%，工程机械约占20%；未来重点发展乘用车（包括新能源）。谢谢！
16,预计今年商用车业务能否有望维持稳健增长？,您好！商用车行业，配套产品总成化、模块化趋势明显，公司具有与商用车整车同步研发能力，公司总成、模块产品配套比例在持续提升。谢谢！
17,目前公司业绩受哪方面影响较大？,您好，目前公司业绩主要受原材料（铝、不锈钢、铜）价格波动影响，谢谢。
18,您好，请问中美贸易战是否会对公司业务出口有影响？谢谢,您好！目前中美贸易争端未对公司出口业务造成影响。公司在美国作了前瞻性布局，2016年收购了美国热动力，已经拥有在美国本土生产、研发、销售的能力。美国政府鼓励制造业回归、对部分进口产品加征关税等政策，总体上对公司进一步拓展美国市场是有利的，美国子公司业务发展会进一步加快。感谢关注！谢谢！
19,公司现在共有多少技术专利？那一个是最牛呢？,你好，公司目前经获得的专利授权是201个，其中发明专利为34个。谢谢。
20,目前公司的产品模块化进展如何，如冷却模块目前的市占率如何，谢谢,您好，目前公司产品模块化在逐步推进，模块化产品份额逐步提升，销售收入稳定增长。目前无市场占有率统计数据。谢谢！
21,您好，目前公司在自主整车的配套上有哪些布局，能否大致说下相关客户？谢谢,您好！公司配套的自主整车主要有：商用车的北汽福田、中国重汽、一汽解放、东风商用车、陕汽等，乘用车行业的吉利、广汽传褀、长安、长城、比亚迪、奇瑞等。谢谢！
22,您好，我想请问下公司EGR产品的市占率大约是多少，有传言是30%左右，但是隆盛科技的IPO说明书中的EGR市占率没有贵公司，想请问下两个公司EGR产品的区别，谢谢,您好！公司在EGR产品研发、制造、品质方面具有比较强的竞争力，目前分别应用于商用车与乘用车，商用车EGR主要作用为废气再循环，配套主要客户有美国康明斯，那威斯达，江铃，潍柴，福田等，目前是国内主流配套供应商。乘用车EGR产品，主要作用是节油，国内刚开始应用，国内主流整车厂将陆续推出搭配EGR的车型，公司面临主要竞争对手是国外供应商。据了解隆盛科技主要配套EGR阀，谢谢！
23,新能源汽车和尾气处理销量在今年一季度是否达到了预期？,您好，公司一季度各板块业务均保持稳定增长，谢谢！
24,您好，请问公司2018年对几大业务的侧重点如何？未来新能源部分有何布局，谢谢,公司目前的业务主要配套乘用车（包含新能源）、商用车、工程机械、发动机等几大领域，产品包含了热交换系统、后处理系统等。根据公司的战略布局，上海银轮热交换系统有限公司将在未来重点发展乘用车领域配套产品，其中包含了公司重点发展的新能源相关产品。谢谢。
25,公司今年业绩能否增长？,根据2017年年报：2018年预计营业收入：48-52亿元：预计实现归属上市股东净利润：3.7-4.2亿元。公司2018年经营目标是根据目前公司所处的现状，并对未来合理判断后审慎做出的。上述经营目标并不代表公司对2018年度的盈利预测，存在不确定性，请投资者注意投资风险。谢谢！
26,公司面临的市场风险是什么？,您好！公司为国内最大的汽车热管理零部件供应商，目前面临巨大的发展机遇。一方面是进口替代空间巨大，二是自主品牌整车强势掘起，三是零部件市场行业整合趋势明显，市场集中度会进一步提高。同时也受到市场竞争加剧、人民币升值、国际贸易争端不断激化等不利因素影响。公司将着力于加强市场开拓、产品研发、优化内部管理，同时以主业为核心，适时推进横向整合，继续提高市场份额，抓住机遇，实现董事会制定的战略目标。
27,公司近期是否有签订重大项目？,如有签订重大项目，公司将根据证监会、深交所相关规定，在指定媒体及时披露，谢谢。
28,目前公司乘用车最大的客户事长安福特吗？,乘用车最大的客户是福特全球。
29,去年公司财务费用上升明显是因为什么？,主要系人民币兑美元升值，汇兑损失增加、汇兑收益减少所致。
