,Question,Answer
0,公司如何进行投资者关系管理，如何规划进行投资者回报的？,在遵循公开信息披露原则的前提下，公平、平等对待所有投资者，充分保障投资者知情权等合法权益，努力提高沟通效果。我们希望通过努力做好公司业绩，以此回报广大投资者，谢谢！
1,请问公司如何看待上市公司的并购和市值管理？,公司会发挥已搭建的产业基金平台的作用，积极寻找合适的项目标的，培养有潜力的产业，不排除进行收购与兼并，从而增厚公司利润，推动业务转型。
2,如果公司进行定增，那大股东及高管们会考虑参与、进行增持吗？,感谢您的关注，具体事项请参见公司发布的临时公告。
3,贵公司的工具类产品相比其他同类公司有何竞争力？,公司的工具类产品竞争优势主要是产品技术领先，匠心制造过程保证了产品质量，完善的服务平台提供了强有力的保障。
4,虽然说公司的股价由二级市场决定，但股价是公司经营的一个表象，请问管理层对回报投资者持有怎样的态度？,感谢您的关注，公司管理层能为投资者做的，是齐心协力致力于公司的主营业务发展，致力于公司的健康、稳定、持续发展。我们希望通过努力做好公司业绩，以此回报广大投资者，谢谢！
5,公司现在的股价和公司的业绩匹配吗？未来公司将有何具体措施来保证我们中小投资者的利益？,感谢您的关注，影响二级市场股价的因素太多，除公司自身经营业绩等因素外，还有经济环境、行业情况等更错综复杂的综合因素，公司高管层所能为投资者做的，是齐心协力致力于公司的主营业务发展，致力于公司的健康、稳定、持续发展。我们希望通过努力做好公司业绩，以此回报广大投资者，谢谢！
6,公司目前有哪些在建项目？建设进度如何？还需要多少资金？,目前公司主要的在建项目已经完工投入使用，后续资金需求较少。
7,公司领导怎么看现在公司的股价，对我们小散有什么忠告？谢谢,感谢您的关注，影响二级市场股价的因素太多，除公司自身经营业绩等因素外，还有经济环境、行业情况等更错综复杂的综合因素，公司时刻关注二级市场股价波动，但无法直接影响二级市场股价，投资者需要理性判断公司股价波动的具体因素，做出合理的投资判断，谢谢！
8,能介绍一下公司现在各大区域的销售和占有率等基本情况吗?,2016年度主营业务销售从区域来看，国内占比约21%，国外占比约79%，谢谢关注！
9,公司是否在考虑开拓新的领域？取得初步进展没有？,公司整体发展战略始终紧紧围绕 “专注于高等级专业电动工具产品的研发、生产和销售”、“走自有品牌道路”这两个核心要素，并坚持通过研发、自主创新，确立产品的技术和品质领先优势。同时，抓住国家产业升级的有利时机和“中国制造2025”的国家制造业蓝图，进一步完善产业布局，加快在工业机器人等工业智能化、信息化领域的拓展，并且公司已经在前期进行了一些试探性的布局。
10,公司有没有哪些项目创新模式？,公司正在推进精细化及智能化生产系统改进与完善工作，尝试在智能制造及智能装配方面的应用和优化。
11,公司2016年度的业务经营情况符合公司预期吗？,公司2016年度的业绩经营情况基本符合预期。
12,公司的前三大客户是哪些公司？,公司的前三大客户因为涉及商业机密，故未在年报中予以披露，谢谢关注。
13,请问公司以后每年会用什么形式回馈股东？,感谢您的关注，在符合公司实际经营的情况下，公司会严格按照公司章程和相关利润分配制度回馈广大投资者。
14,目前公司享有的国家优惠政策有哪些？,目前公司主要享受高新技术企业所得税优惠政策以及产品出口增值税出口退税政策。
15,请问今年公司有哪些业务布局,感谢您的关注，公司2017年业务布局详见2017年4月22日披露的定期报告中的2017年度经营计划，谢谢！
16,近几年的固定资产，技术改造的投资效果如何，是否达到了预期的目标，不考虑市场因素，简单考虑毛利情况是否合理？,公司固定资产、技术改造的投资效果简单从产品毛利率来看，技术改造的投入还是合理的。谢谢！
17,贵司目前有哪些销售渠道？是否存在大客户依赖？,公司目前自主品牌主要通过经销商、分销商渠道销售产品，目前不存在明显的大客户依赖。
18,公司在2017年有哪些经营目标？,感谢您的关注，公司2017年度经营计划详见2017年4月22日披露的定期报告，谢谢！
19,贵公司是否会考虑实施股票期权等规范股权激励方式，惠及更多员工？,感谢您的关注，公司目前正在实施限制性股票激励计划，以后也会考虑在适当的时机继续推出其他股权激励计划。
20,公司在经营活动中主要对哪些环节进行质量控制？,公司在经营活动中进行了全过程、所有环节的质量控制，谢谢关注。
21,公司每次投资项目的可行性报告是否有详细说明公告？,公司投资项目均严格按照相关规定进行信息披露。
22,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？,公司将持续加大品牌投入，提升研发能力和自主创新能力，拓展销售渠道，公司产品的销售趋势良好。
23,公司所处行业有没有周期性？,公司行业没有明显的周期性，谢谢关注！
24,雄安新区的设立，对公司存在哪些机遇？,公司专业级电动工具主要应用于金属、石材、木材等的切割、磨削、锤钻、紧固等工序中，其国内用户主要集中在建筑建造、工业制造领域中，雄安新区的建设和发展，可能会带动城市的基础设施建设，应该会对公司产品带来一定的机遇。
25,公司2017年一季度经营业绩如何？,公司2017年一季度经营业绩详见2017年4月22日披露的定期报告，谢谢！
26,公司现在负债总额是多少？每年负债的利息是多少？谢谢。,公司目前负债总额为26096万，全部为无息负债，没有利息费用。
27,现在行业间的并购都比较频繁，你们今年有没有兼并收购计划？,有关公司的兼并收购计划涉及信息披露范畴，因此公司会严格按照信息披露的相关规则进行公告，谢谢您的关注。
28,今年以来，原材料都迎来涨价潮，对公司会有什么影响？,今年原材料是有一定幅度价格的上涨，公司年初已相应的进行了产品销售价格的调整，谢谢关注！
29,公司产品国外收入比较高，请问与国外一线品牌比较，还存在哪些不足？,公司产品国外收入由自主品牌收入和ODM收入两部分组成，公司ODM业务是公司根据国外一线品牌公司的规格和要求，为他们设计和生产产品，公司会逐步扩大自主品牌产品在国际上的品牌影响力。
30,公司电动工具在国内的市场占有率有多少？,感谢您的关注，市场占有率目前没有权威的数据统计，但公司希望能够不断扩大自身的市场占有率。谢谢!
