,Question,Answer
0,比克下游为不算太大的整车厂，公司回款周期目前是多长时间？比克经营性现金流情况如何？2016年具体金额是多少？,已经回答过。
1,请问，比克下游整车厂规模都不算大，销售回款周期有多久？经营性现金流与利润比在多少？,汇款周期三个月左右，经营性现金流与利润是配比的。
2,预案上，比克17，18，19年利润7亿，12亿，12，5亿，为什么第三年增幅这么低？第三应该有更大发展？,因为原来是从2016年开始承诺的，第四年即2019年就是这样计划的。另外按照估值和评估，这样的预测能够达到目前的评估值了。当然，我们会尽最大努力做好公司业务，不会因为承诺增速下来了，努力也会下来。
3,公司在储能电池上近期有无重大规划,暂时没有具体规划。
4,目前钴价对三元电池影响了近7%，下游整车厂今年又压价了近10-15%，整个三元电池行业的利润率快速下降，很多厂家已在盈亏边缘，请问比克的利润率受影响有多大？,有影响，但是不大。
5,通过今天的交流，感觉到公司很真诚，没有用套话来回复大家！这样的公司值得拥有！再次谢谢董秘和公司各位领导！希望公司重组成功，做大做强，以产业报国！以发展回报广大投资者！,谢谢你的评价，我们唯有做好公司的业绩才能对得起投资者的信任，我们一定会努力！
6,请问是否可以评价一下国内三元电池发现前景？,三元锂电池绝对是未来动力电池的主要发展方向。
7,请问是否可以评价一下方形、圆柱、和软包的各自特点？哪个会成为主流的方向？,方形和圆柱可能会成为主流。
8,问询函审核时间是多久？,您好！这个不好说，但我们会积极做好和交易所的沟通工作。谢谢！
9,预案上，比克利润12亿和12，5亿，增幅不大，怎么回复函的？,您好！问询函没有你说的这个问题，谢谢！
10,比克的18650pack价格1800感觉要比同行高啊？印象里面现在18650三元应该已经降到1600-17000了，公司未来会降价吗？,会根据市场情况而定。而不会现在就确定好未来会降价。
11,请问高总，比克在三元电池方面在国内的主要竞争对手为CATL和天津力神，那么相比这两家，比克的主要优势体现在哪方面？未来几年比克是否有赶超CATL或力神的决心和信心？公司并购完成比克后，将协助比克主要在哪些方面发力？谢谢！,如果重组成功，我们会利用比克和长信的优势，把比克的产能提高到国内前三位。在成本、产品质量等方面保持领先优势，同时会考虑到大力开拓国外客户、大力开拓锂电池的其他方面的应用。
12,对于长信和比克这样致力于先进制造业的企业，要实业有实业，要利润利润！通过兼并重组，做大做强，绝非所谓忽悠式重组，应是党和政府的产业政策支持对象！希望交易所和证监会对于这样的重组大力支持，这是股民之福，国家之幸！,我们也是有和你同样的看法，也是这样和监管部门沟通的。
13,请问对媒体报道的1、重组前突击入股？2、比克的利润疑云、3、规避借壳？这三大问题！公司是如何看待的？,您好！公司自上市以来一直合法守规，对于本次重大资产重组更是如此。谢谢！
14,圆柱形与方形各自特点及使用领域,没有本质区别，都可以使用在汽车上作为动力电池。
15,目前三元价格下降的比较快，比克的18650pack组目前的价格在多少钱/千瓦时？,1800左右。
16,请问深交所的问询函答复什么时候可以完成？,您好！公司问询函答复上周五已经提交深交所，谢谢！
17,再次对董秘专业和热情的回答表示感谢，作为机构专业投资者，我和客户将会再2-3年内长期持有长信，对管理层有信心！希望公司也不要辜负我们的希望。谢谢！,您好！感谢您对公司的认可，对管理层的信心，公司会以优异的业绩回报投资者。
18,企业一窝蜂投资电池，绝对会造成供大于求，请问董秘，会不会造成劣币驱良币的现象，比克是不是到时候还会陷入价格战中？另外，请问在国家打击骗补目前的大环境下，下游对电池的性能要求肯定是提高了，那么比克电池最近几个月的电池价格和利润率是提高了还是下降了？产销比是提高了还是下降了？,电池行业不会出现所谓得劣币驱良币情况。价格会下降、但比克的利润率下降不大。比克产销基本平衡。
19,请问比克动力有机会供货特斯拉吗？,有机会，但是不会是近期。
20,请问是否针对问询函对重组预案进行了相应调整？如果进行了调整，则是否大概率会有二次问询？,这个说不准。
21,请问，CATL三元主要是方形电池，比克主要为圆柱的18650，公司为什么把CATL看做主要的竞争对手？,做同样的产品，可以互相替代，怎么会不是竞争对手呢？何况公司也有计划做方形电池。
22,比克电池和长信的产品中，哪些是供不应求的？哪些是需要大力推广的？还是所有产品都存在产能不足的问题？,您好！目前比克和长信的产销两旺，订单充分。谢谢！
23,2016年石墨稀方面有什么新进展没有？,石墨烯作为电子材料有广泛的应用前景和优良的性能，公司非常重视新材料的研发，与上海师范大学物理系共建石墨稀实验室。但大规模应用还有很长的路要走。
24,您好：请问公司车载悬浮触控是否已经量产？奇点is6使用比克电池，中控屏是否是公司供货,您好！（1）、具备量产条件；（2）、奇点汽车用比克的电池，目前跟长信还没有关系，下一步我们会推销我们的中控屏。
25,怎样的独懂才算一个合格的独懂？谢谢！,您好，按照《关于在上市公司建立独立董事制度的指导意见》的规则，做到《深圳证券交易所独立董事备案办法》中规定的就是合格的。
26,比克电池在汽车上使用，对于电池的回收是百分之百还是取决于汽车商和使用者？有什么回收政策吗？回收改造使用和新造哪种效益好？还是说国家对这个有一个强制性的回收政策。,有回收，但不是百分之百，后续会把电池回收和再利用、储能等作为公司的发展方向之一。
27,根据交易所要求召开媒体说明会，公司准备何时召开？,您好！公司的问询函答复已经提交。根据深交所《创业板信息披露业务备忘录第23号：重大资产重组媒体说明会》的相关规定，公司将在回复本次问询函后、股票复牌前及时召开媒体说明会，对受到普遍关注的本次重大资产重组相关问题进行说明。请您关注公告，谢谢！
28,贵公司是否会考虑实施股票期权等规范股权激励方式稳定核心员工？,在考虑。
29,请问一个技术性的问题，比克电池在同行业中，抛开市场占率，技术上您认为属于第几梯队？还是说第一，目前很多公司在投资动力电池，预计会什么时候出现供大于求的局面吗,比克在三元锂电池领域，属于第一梯队。预计今年底或明年初会出现供过于求的局面，但一定是结构性的过剩，好的电池还是供不应求的。
30,做为贵司的一个中长期小投资者，对公司的新董秘必须点个赞！新董秘回复投资者问题很及时、很真诚！能够在不涉及泄密的情况下最大程度让中小投资者了解公司的具体情况，这是对我们投资者最大的尊重！希望新董秘继续发扬这种不忽悠、不打太极的回复问题的作风！谢谢！,淡如尘，您好！非常感谢您的褒奖和鼓励！我会继续努力！
31,请问2017年新投产的产能及项目是否能占到全年业务的50%,不到，大概20-30%。
32,比克、德普特全在经济发达的广东，公司总部是否考虑搬迁到广东？,目前没有把公司总部移到广东的计划，随着比克动力的并购，以后不排除在深圳建第二总部。
33,目前比克电池新的整车厂和新车型配套的有哪些？后续可能新增的客户销量大概有多少千瓦时,主要是江淮、云度、奇点等等。大概1.5GWH.
34,请问今年即将投产的3个项目，目前的外部市场环境和当时可行性报告里所说的有大的变化吗，或者换句话说，赢利预测和实际的可能存在大的变化吗,公司都是根据市场进行扩产的，一旦现成产能就会产生效益。
35,做为长信科技的忠诚投资者，感谢陈奇董事长领导的所有长信科技的员工团队的工作付出、努力。祝福长信能努力发展成长，成为他日比肩华为的屹立在世界顶端上的卓越企业。,谢谢你的鼓励，感谢！
36,整车出现电池问题后，交给车店后，电池是拆卸后运回比克厂修复么？车主需要多久可以拿到修复好的车？,这个问题应该问整车厂家。因为电池厂家会有现成的电池放在车厂。
37,请问公司产品的主要竞争对手都有谁？,您好！公司ITO、减薄及sensor均居于行业前列，最大的对手是自己。
