,Question,Answer
0,董事长对公司股价持续下跌有什么看法，机构在1月4日复盘后全部抛售，是不是机构对此次重组不看好,"您好，公司股价变动受诸多综合因素影响。
目前公司及交易对方、中介机构等正全力推进本次重大资产重组事项。2017年4月17日，公司召开第六届董事会第二次会议审议通过了《关于<长城影视股份有限公司发行股份及支付现金购买资产并募集配套资金暨关联交易报告书（草案）>及其摘要的议案》等事项，具体内容详见2017年4月19日刊登于巨潮资讯网的《长城影视股份有限公司发行股份及支付现金购买资产并募集配套资金暨关联交易报告书（草案）》等相关公告。鉴于公司本次交易报告书草案财务数据有效期即将过期，为了让广大股东更好的了解本次交易的相关财务数据，公司将在更新财务数据后再次召开董事会审议本次交易相关事项，并发出提请召开股东大会的通知。谢谢。"
1,赵总，贵公司官方网站长期无人更新，有时可以打开，有时无法打开，今日我点击时出现黄色图片，请贵公司及时更新官方网站，网站是公司的形象,您好，感谢您对公司的关注以及建议，公司会继续加强网站的管理，保持与投资者沟通的顺畅，谢谢。
2,做为高管你对公司的股价有何看法？股价的上扬能体现上市公司的潜质和气魄！希望管理层关心一下自己公司的股价！以提振二级市场的股东对公司的信心！！！谢谢,您好，公司股价的波动受到诸多因素的影响，公司管理层会全力保障公司经营管理的稳定，加快各业务板块的融合，提升公司的核心竞争力，同时，公司会继续做好与投资者的互动交流工作，使公司市值客观地反映出公司的价值。谢谢。
3,公司是否会进军新的细分市场和领域，以及扩大市场占有率？如果会，请问新的领域现在占公司营业收入比重是多少？未来打算提升到多少？多长时间能实现？,您好，2017年公司将积极寻求产业链的延伸拓展。在内容端，公司将利用自身在影视领域的积累和优势，拓展电影、网剧、微电影、综艺节目等新的内容形式。在渠道端，随着公司的发展壮大以及新媒体渠道的影响力的提升，公司将寻求与新媒体平台的多方位合作；并且计划战略布局高端影院领域，拓展公司的收入来源、提升盈利水平，增强公司在渠道的实力。谢谢。
4,能介绍一下公司现在各大区域的销售和占有率等基本情况吗?,"您好，公司面向全国市场开展各版块的业务，2016年大陆地区营业收入1,354,935,605.20元，港澳台及其他地区营业收入685,946.54元。谢谢。"
5,请问公司里是否有专人负责回答全景网投资者关系互动平台里股民的问题？股民的问题是否会传到公司的高层？,您好，公司设置专人负责回答各位投资者的提问，并及时将问题和建议反馈自公司管理层，谢谢！
6,董事长对公司股价持续下跌有什么看法,您好，我们将继续努力，保障公司业绩的持续稳定发展，使公司股价真实客观反映公司价值。
7,去年公司经营遇到的最大困难是什么?今年有望改善吗？,您好，公司面临的最大挑战是适时把握行业发展的趋势，做好公司各业务板块的融合、协同、发展，保障公司业绩持续稳定增长，不断提升公司在行业内的竞争力，巩固公司的行业地位。谢谢。 
8,公司目前面临的最大问题是什么？,您好，公司面临的最大挑战是适时把握行业发展的趋势，做好公司各业务板块的融合、协同、发展，保障公司业绩持续稳定增长，不断提升公司在行业内的竞争力，巩固公司的行业地位。谢谢。
9,除了在巨潮网上查看公司公告，还可以在哪里了解公司的日常经营情况？,您好，您可以关注公司官网http://www.chinaccys.com，或者关注相关媒体报道，谢谢。
10,请问净利润的增长率和销售收入增长同步吗？,您好，公司2016年度营业收入同比增长36.46%，归属于上市公司股东的净利润同比增长10.52%。谢谢。
11,请问今年预计主要产品的销售目标是多少？净利润是多少？,您好，公司全力保障公司经营的持续稳定发展，2017年全年业绩请关注公司届时发布的2017年度报告。谢谢。 
12,今年公司人力成本的大幅度上升？对公司产品价格影响有多大？,您好，公司人力成本没有大幅度上升，对公司产品价格无重大影响。谢谢。
13,请问公司明年净利润能做到多少？,您好，公司全力保障公司经营的持续稳定发展，2017年全年业绩请关注公司届时发布的2017年度报告。谢谢。
