,Question,Answer
0,请介绍一下公司目前的技术研发团队？,您好！在医药板块公司组建了研发团队，和国外企业/实验室展开技术合作，引进新技术、新产品，丰富目前的产品线；稳步推进在研项目，启动一致性评价工作；开展工艺研究，积蓄发展后劲。机械板块更是具备为客户提供电梯井道部件系统解决方案的能力，谢谢关注！
1,未来市场空间是否会持续增长？,您好！公司以海灵药业为主的医药板块，稳定发展、稳步上升，同时将剥离机械资产，使得公司成为完全意义上的大健康产业企业，此外加大转型力度，布局医疗服务产业，公司未来市场空间广阔！
2,请介绍下今年计划开发的新项目？,您好！公司根据相关规则进行信息披露，敬请留意公司公告！
3,在同行业中，公司与上下游的渠道关系怎样？,您好！公司与上下游关系和谐，有较为坚实的合作基础，谢谢关注！
4,中科纳新作为新华社印务纳米制版的唯一合作商，现在双方合作进展顺利吗？,您好！关于中科纳新，公司参股中科纳新但并未参与实际经营，谢谢关注！
5,公司所处的行业今年的国内形势如何？,您好！2018年，是全面贯彻党的十九大精神的开局之年，更是公司进一步深化转型发展、争取转型成果的关键之年。面对不断变化的新形势，公司将在抓好现有产业持续健康发展的基础上，深耕大健康产业，提升公司整体竞争力，提升公司价值。谢谢关注！
6,请问公司在市场方面的开拓有什么计划？,您好！2018年，公司将持续转型大健康产业，同时，公司将根据整体发展战略的需要，在适当时机，将传统产业剥离出上市公司体系，使得公司成为完全意义上的大健康产业企业，增加市场的认可度。谢谢关注！
7,长江润发2018-4-18收购郑州圣玛妇产医院，是否属实？,您好！公司按照相关规则进行信息披露工作，同时就此事，经询问公司控股股东长江润发集团有限公司，其全资子公司长江润发投资管理有限公司与郑州圣玛妇产医院实际控制人达成初步合作协议。谢谢关注！
8,公司未来是否有计划探索人工智能领域？,您好！公司2017年5月26日更名为“长江润发医药股份有限公司”，明确了大健康战略方向，谢谢关注！
9,公司的主要利润是够来自于海南海灵药业全资子公司。海南灵药目前扩长计划进行的如何？,您好！2018年第一季度海灵药业签订了框架协议收购湖南三清，获得青霉素的相关工艺及关键设备，丰富完善了海灵药业的产品结构、扩大产品覆盖领域，打开海灵药业的未来成长空间，将进一步提升海灵药业的综合竞争实力。谢谢关注！
10,公司今年在医药制造业务和机械制造领域的研发投入金额预计分别将达到多少，是否有新的研发产品或技术？,您好！积极响应高质量发展的方向，公司将加大研发力度，相关研发投入情况会在年度报告中予以披露，谢谢关注！
11,公司化31亿巨资收购了海南海灵医药，且公司更名为医药公司。是不是意味着公司主业将依托海南这家公司转型医药？,您好！公司已于2017年5月26日更名为“长江润发医药股份有限公司”，明确了大健康战略发展方向，谢谢关注！
12,中科纳新的绿色纳米印刷制版技术是对以往制版技术的革命性创新，请问市场前进如何？,您好！公司参股中科纳新但并未参与实际经营，谢谢关注！
13,公司所处行业的竞争较为激烈，如何脱颖而出？,您好！海灵药业要率先发展，认真研究国家政策，积极应对，落实举措，不遗余力跑市场、稳固老市场、开拓新市场，确保拳头产品的销售稳中有升，确保普药产品的销售大幅增长；其次要加大创新投入，加快募集资金建设的投入和使用、加快上海益威的发展步伐，在产品创新和生产规模上，都要实现新的突破，形成规模和产业链优势，积蓄发展后劲。传统产业要迎难而上，重点加大市场开拓的力度，通过总量带动经济效益的提升；其次要持续深化内部管理，控制成本、挖掘潜力；再次是要调整产品结构，积极开拓高附加值产品的开发和销售；全力以赴争取扭转局面。谢谢关注。
14,国家发布海南岛自由贸易岛规划，对公司发展是否有促进作用？,您好！公司会利用海南的特殊政策来发展医药和医疗产业，加快大健康转型步伐，谢谢！
15,公司近期在产品结构优化方面作出了哪些努力？,您好！为丰富完善产品结构，挖掘储备发展潜力，海灵药业于2018年3月签订了股权转让框架协议，收购湖南三清80%股权，获得青霉素的生产工艺、批件、专利和关键设备。本次投资丰富完善海灵药业的产品结构、扩大产品覆盖领域，打开海灵药业的未来成长空间，将进一步提升海灵药业的综合竞争实力。谢谢关注。
16,公司2017年度分红方案是什么？,"经公司第四届董事会第八次会议审议通过，2017年度公司利润分配预案为：以2017年12月31日深圳证券交易所收市后的总股本490,776,795股为基数，向全体股东每10股派发现金红利5.00元（含税），共计派发现金红利245,388,397.50元（含税）；同时，公司以公积金转增股本，向全体股东每10股转增7股,共计转增343,543,756股，转增后，公司总股本将增加至834,320,551股。此预案尚需提交公司2017年年度股东大会审议。"
17,请问独立董事对公司有关建议是否被采纳？,根据《独立董事制度》，全体独立董事认真勤勉的履行职责，积极参加董事会会议，认真审议各项议案，与公司经营层充分沟通，依据自己的专业知识和能力从各自专业角度提出的意见和建议，均被公司采纳。
18,请问公司会将人才培养作为日后工作的重点吗？,人才培养要全面跟上，服务于转型、服务于发展。2018年，公司将把人才梯队的培养和建设作为重点工作来抓，花大力气引进大健康领域的人员，充实到企业中去，为下一步的并购、整合和重组做好准备、打好基础。同时，公司将认真落实贯彻十九大精神，围绕经济抓党建，加强党员队伍建设，秉持将“党员培养成骨干、将骨干发展成党员”的原则，积极引导优秀人才向组织靠拢，增强公司人才队伍的凝聚力和战斗力，更好的服务于公司的转型升级发展。
19,请详细介绍公司在机械制造领域的产品体系？,公司以长江润发（张家港）机械有限公司为主的机械板块，专业从事电梯导轨系统部件的研发、生产、销售及服务，长期为三菱、奥的斯、通力以及蒂森等国际知名电梯制造商提供战略服务，为目前产品规格最齐全、规模最大的单体制造工厂，是国内优秀民族品牌，主要产品涉及T型导轨系列、空心导轨系列、扶梯导轨系列及电扶梯部件系列、导轨毛坯系列、电力角钢系列及集槽、铲槽钢系列等。
20,郁董，有医生背景的您，应该对抗生素的限制使用非常清楚，限抗，对公司未来业务的开展有没有影响？抗生素市场有多大？抗生素未来会否被其他药物替代？公司有无除抗生素以外的其他新药的研发并作为主要的的业绩来源之一打算？目前国家对海南开发比较支持，医疗大健康上面也有新的政策支持，公司会否在海南海灵的基础上在海南发展大健康产业？,国家政策的频繁出台，对医药领域带来了强烈的冲击，公司海灵药业产品较好，通过进口原材料、代理生产多年积累的优良工艺、严格的质量控制体系等保证了优秀的产品质量，产品市场认可度较高；基于医药行业首创、首仿药的先发优势，海灵药业良好的药效培养了用药习惯，客户稳定性较高；是经销商及终端医院认可度较高的医药产品；其主要产品拉氧头孢钠因技术壁垒较高，全国仅两家制药企业有制剂批件，等等。这些优势对公司来说限抗影响局限，同时公司继续丰富产品结构，并利用国家的地域政策优势，继续壮大大健康产业发展，谢谢关注！
21,公司2017年归属于母公司所有者的净利润为3.35亿元，较上年同期增108.99%，如何看待这一数据？,您好！报告期公司业绩实现较快发展，以海灵药业为主的医药板块持续发力，实现了业绩的稳健增长；传统机械板块，受市场环境多重因素影响，创立以来首度出现亏损；目前公司已把剥离机械资产纳入公司计划，未来将打造一个以医疗医药为核心的大健康企业！
22,公司有哪些技术上的优势？,您好！详见公司2017年度报告全文之核心竞争力分析章节，其中医药板块，产品质量优异所带来的高利润空间、稳定的销售体系所带来的抗风险能力、现有品种在市场上的领先地位、优秀的产品梯队所带来的持续增长动力、研发创新并积蓄后劲等都为公司未来发展打下了扎实的基础，谢谢关注！
23,在医药制造业务领域，公司今年有无开发新产品的计划？,您好！报告期，在抓好公司现有产品的基础上，公司持续加大创新的投入，积极开展技术改造和新产品开发，为公司下一步的发展储备了后劲。医药板块，组建了研发团队，和国外实验室展开技术合作，引进新技术、新产品，丰富目前的产品线；稳步推进奥美拉唑、辛伐他汀等在研项目，确定启动头孢泊肟酯、5mg辛伐他汀的一致性评价工作；顺利开展微球项目50g放大工艺研究、头孢唑兰小试工艺研究。谢谢关注！
