,Question,Answer
0,年报表示涂层毡、电子薄毡、装饰板材等开始批量生产销售以及海外市场拓展带动的出口的增长，请问涂层毡、电子薄毡、装饰板材与上年相比的增长各是多少,您好，暂没有此类数据。
1,请问杨总经理 公司去年定增项目 什么时候能出产能,您好，计划2018年1月达到预定可使用状态。
2,请问公司以后每年会用什么形式回馈股东？,您好，公司有股利支付政策，会依相关监管部门要求与公司政策执行。
3,公司对同行竞争对手有怎样的考量？你们的成本、管理、市场等优势体现在哪些方面？,您好，产业链完整、差异化、成本优先。
4,在做项目之前是否对项目进行严谨的可行性研究？,您好，当然有。
5,公司目前有哪些在建项目？建设进度如何？还需要多少资金？,您好，请参考2016年年度报告，在建工程章节。
6,请问1500万股减持有没有开始？谢谢,您好，还没有开始。
7,年报表示涂层毡、电子薄毡、装饰板材等开始批量生产销售以及海外市场拓展带动的出口的增长，请问涂层毡、电子薄毡、装饰板材与上年相比的增长各是多少,您好，公司有股利支付政策，会依相关监管部门要求与公司政策执行。
8,公司目前面临的最大问题是什么？,您好，暂没有此类数据。
9,热塑材料方面公司除了定增的项目外还有什么产品？,您好，有后备。
10,公司去年财务费用和管理费用怎样？同财务费用相比呢？今年有没有折旧？请问管理费用今年会能稳定吗？,您好，参考2016年年度报告吧，里面全有。
11,截至目前，公司的同比销售额有增长吗？,您好，有。
12,目前公司享有的国家优惠政策有哪些？,您好，目前没有特别的优惠政策。
13,请问公司2016年利润分配没有采用大比例送股方式是出于什么考虑？与股东1500万减持是否有关系？现在股东已开始减持了吗？谢谢！,您好，监管精神也是鼓励现金分红。
14,请问2016年利润分配没有采用大比例送股，公司是出于什么考虑？大股东减持1500万与送不送股是否有联系？现在开始减持了吗？谢谢,您好，监管精神也是鼓励现金分红。
15,请问具体联系证券代表的电话是多少？,0519-88712521
16,请问公司明年净利润能做到多少？,您好，2017年公司力争实现20%以上的增长，这只是一个预算，能否实现还要看最终市场情况而定。
17,公司领导怎么看现在公司的股价，对我们小散有什么忠告？谢谢,您好，对于市场行为我们不方便提出个人看法。
18,公司现在负债总额是多少？每年负债的利息是多少？谢谢。,您好，负债总额、利息相关数据请参阅2016年年度报。
19,请问公司今年是否有对外扩张的打算？今年公司在市场开拓方面有什么计划？能否详细谈谈？谢谢,您好，公司一直寻求外延的机会，但需要真正的好项目才行
20,请问公司股票上市时期价格多少，现在多少，还具有投资价值吗？,您好，不清楚你想问什么，投资是个人的眼光。
21,请问净利润的增长率和销售收入增长同步吗？,您好，从2016年年报中看净利润的增长率高于销售收入的增长率。
22,公司今年有新投资的项目吗？如果有，当年能否为公司贡献利润？如有利润贡献，公司预计能实现多少利润？,您好，公司计划今年完成四个募集资金投资项目。
23,将来公司的下属公司会有上市的打算吗?,您好，不排除。
24,请描述一下公司未来的发展前景，谢谢！,您好，请参考2016年年报。
25,请问四季度的经营活动产生的现金流量净额与之前三季度比为什么减少很多？,您好，有损益调整。
26,公司每次投资项目的可行性报告是否有详细说明公告？,您好，没有公告。
27,如果我想对贵公司长期投资，能给我一个长期持有的理由吗？,您好，作为管理者来说，业绩是对股东的最好回报。
28,公司有没有股权激励计划？,您好，目前没有。
29,你好，请问为什么年报的净利润与业绩快报的净利润相差有9%之多？,您好，2016年经审计后的年报与业绩快报并无较大差异。
30,子公司南海船艇目前有订单吗，2016年年报显示有收入，主要来源是什么产品，有调研说贵公司要交付3艘军用舰艇，目前生产情况如何，什么时候能交付,您好，2016年还未实现销售
31,公司预计2017年业绩较去年同期是上升还是下降？若上升，则增幅是多少？,您好，公司力争2017年实现20%的增幅。
32,2017年公司是否考虑对高管实行股权激励，如果有的话大概什么时候实行？,您好，请参考公司公告。
33,公司在税收方面有没有相关的优惠政策？具体税率是多少？,您好，目前公司高新技术企业享受所得税15%的优惠政策。
34,请问开完股东会后，如果送股通过几日内会送股？,您好，请参考2016年年报中的利润分配预案。
35,请问今年预计主要产品的销售目标是多少？净利润是多少？,您好，今年公司力争实现20%以上的增幅。
