,Question,Answer
0,请问，公司目前经营面临哪些困难？将如何应对业绩下滑？,公司经营面临的风险、困难及应对措施请参看公司2017年年报“第一节 重要提示、目录和释义”中的风险提示内容，谢谢！
1,汤国添是17年中报新进股东，不是17年二季度进入的吗？,请关注公司相关公告，谢谢！
2,请问2019年大概有哪些项目将建成并投产？,公司计划在今年和明年有多个项目建设和投产，包括正在申请的可转债项目中的七个募投项目。但实际操作过程中不排除有调整的可能，请关注公司公告。谢谢！
3,目前煤价比项目筹建时涨幅较多，如果近期投产，是否与相关用热企业商谈好了与当前煤价匹配的用热价格？,公司的燃煤热电项目通过与客户约定汽价联动机制，努力最大限度减少煤价波动影响。
4,公司十大流通股东汤国添是董秘张总的配偶吗？他去年二季度买入的，应该成本在10元~11元左右吧？,是的，去年二季度没有买入。谢谢！
5,今年来获批的生物质热电联产项目规模总共有多少？,截至目前，公司对外公告的获核准的新项目有两个项目，装机规棋合计60MW。未来如有新的项目获核准，公司将及时公告，谢谢！
6,请问公司2018年有哪些项目将建成并投产贡献利润？,公司争取更多在建项目在今年投产，并努力实现投产当年盈利。
7,请问贵公司这么多项目同时推广时，如果应对环保这一问题？,公司将按照国家环保法规以及当地环保要求，进行项目建设和运营，与项目多少无关。谢谢！
8,请问当前公司计划投资的四十余个项目，资金来源是否有保障，融资成本负担会不会过重？,"公司新项目的建设是依据本身的资金和财务承受能力按计划进行，目前待建项目的投入应在我们可以承受的能力范围内，谢谢！
"
9,公司是否有计划在雄安新区的容城县和安新县投资项目，是否与政府有沟通？,我司子公司雄县项目已于去年11月获得发改部门核准；未来如有新项目，公司将会按相关法规及时披露。谢谢！ 
10,请问贵公司去年有没有使用闲置资金购买银行理财产品?,没有，谢谢！
11,贵公司签订这么多项目，未来公司有足够的资金去建设及运转？,"公司新项目的建设是依据本身的资金和财务承受能力按计划进行，目前待建项目的投入应在我们可以承受的能力范围内，谢谢！
"
12,今年的业绩增长点会是什么？茂名热电联产项目今年能结束吗？,"公司争取更多项目在今年投产，并努力提升制造业务的盈利能力，以实现今年业绩增长。
茂名热电联产项目努力在今年投产。
谢谢。"
13,公司制造业几乎不赚钱了，为什么还坚持做呢，感觉空间不大啊,制造业务是公司传统优势业务，在新形势下如制造业务进行改革，仍有很大的发展空间。谢谢！
14,公司十大流通股东陈辉洪是董秘张总的配偶吗？他去年四季度买入的，应该成本在10元左右吧？,不是。谢谢！
15,公司是否考虑拓展其它领域，例如智能制造机器人高端装备之类,公司制造业务近几年一直致力于自动化改造，关于高端装备项目，欢迎推荐！谢谢！
16,天风证券近期是否有到公司调研？,天风证券近期没有到公司调研。谢谢。
17,请问贵公司40多个项目从前些年开始只有5个投产的，现在过了一两年了没有新增一个投产的项目吗？,公司签订的项目非同时投入建设，从排序上是哪个具备开工条件就先建设哪个。满城项目已接近以热电联产方式投产，而茂名项目、曲江项目的建设已近尾声，有望于2018年投产。谢谢！
18,感觉公司的名字不是很好，经常受到股民的嘲笑，青是绿的意思，不知道公司是否考虑更名呢？,有意思！谢谢！
19,公司股价目前这么低，怎么补进行员工持股呢,公司会有多种激励选项。员工持股仅仅是其中一种。谢谢！
