,Question,Answer
0,"请问彭总经理，公司为何不一点不在意，所谓的市值管理？公司的企业形象与市场上的估值定位，对公司的品牌形象打造，从虚拟经济到实体经济，是一个传导链。目前本行业的上市公司，伟星新材已经创出历史新高。
公司为何不发布业绩中期预报？提升市场信心。","您好，感谢您对公司的关注。公司一直坚持稳中求进的发展基调，坚持求真务实的工作作风，坚持自主创新的研发精神，紧跟国家发展战略，持续专注塑料管道领域做稳做强做大管材业务，致力于将公司建设成为新型塑料建材行业的现代化标杆企业；当前公司管理层仍将以提升企业综合竞争实力和可持续发展能力为第一要务，重点抓好企业内在价值的提升，同时采取积极的市值管理措施，更好地为股东与企业创造更大的价值。
"
1,江西雄塑和河南雄塑募投项目的分期投产情况计划是怎样的？能新增多少产能？,您好，目前江西雄塑和河南雄塑募投项目处于正常推进过程中，其中江西雄塑项目已开始正式运营，河南雄塑项目已开始试运营。公司将按照预定计划持续推进两项目的投资、建设，待两项目完全投入运作后，预计能有效增强公司的生产经营能力，募投项目进展情况请关注公司披露的《2018年第一季度报告》及后续相关公告。
2,请问目前公司业绩受哪方面影响较大？公司有什么应对计划？,您好。公司主营业务为塑料管道生产及销售，目前影响公司业绩的主要因素是原材料商品价格波动、塑料建材行业转型升级，加之国家对各行业的调控政策趋紧也对公司主要业务区域的经营业绩产生较大影响。为此公司积极采取一系列措施，通过进一步完善内部控制管理、提升管理绩效、创新挖潜、节能降耗，有效降低成本和费用，扩大公司经营规模，优化利润结构，有效应对外部环境对上市公司的影响。
3,请问公司近期有对外无股权投资计划,您好，公司一直支持稳中求进的发展基调，会根据对外投资战略目标，全面充分地利用资本平台强化资源整合，如有涉及重大股权投资计划会按法规要求进行及时信息披露。感谢您对公司的关注！
4,贵公司的研发投入比例，在同行中处于什么水平？,您好，感谢对公司的关注！公司研发投入逐步加大，力度不断增强，符合高新技术企业要求。谢谢！
5,年报中称“主要经营产品大多来自于自主研发的核心技术”，主要是什么技术？有什么作用？,你好，公司是高分子环保管道建材高新技术企业，核心技术主要来源于自主研发，包括新材料、新装备、新工艺的技术改进和应用，对进一步提升产品性能，控制加工成本及开发新产品均有积极影响。
6,请问公司今年业绩怎么样？业绩增长符合预期吗？,您好，公司今年经营稳定，经营情况详情敬请参阅公司一季报。
7,结构壁HDPE连续缠绕增强波纹管（B型管）这产品销量及销售情况如何？是否符合预期？,尊敬的投资者您好，感谢您对公司的关注。2017年度公司的营业收入较上年同期增长21.51%，各类产品的销售情况依市场环境、市场战略等因素的不同而有所差异。谢谢！
8,请介绍下公司主要客户情况，目前主要客户收入占公司营收比例是多少？,您好，感谢对公司的关注！公司主要客户情况请关注年报，前五大客户收入占公司营业收入比例为12.63%。谢谢！
9,贵公司主要的代理商主要有几家？主要销售的地区是哪里？,尊敬的投资者，您好！公司的销售模式为经销和直销。公司目前营销网点分布合理，在全国范围内拥有经销商，辐射华南、华中和华北等地区。谢谢！
10,近期有券商、公募、私募等机构到公司进行调研吗？,您好，公司2017年度报告及2018年第一季度报告披露窗口期刚结束，暂未接待过券商、公募及私募等机构到公司调研。
11,贵公司的产品，是属于中高端，能取得一定溢价的？还是低端产品，能只进行价格竞争？,尊敬的投资者您好，感谢您对公司的关注。公司为专业从事”环保、安全、卫生、高性能“塑料管道产品的研发、生产和销售的高新技术企业，产品种类齐全，用途范围较广，各种类产品的市场定位明确，具有合理的市场价格和毛利水平。谢谢！
12,请问贵公司管理原材料价格风险的手段主要有哪些？,尊敬的投资者您好，感谢您对公司的关注。为应对原材料价格波动风险给企业造成的成本压力，公司会根据原材料市场价格的变化，合理安排原材料采购的规模，从而达到节约成本、提高效益的目的；并积极采取一系列措施，通过进一步完善内部控制管理、提升管理绩效、创新挖潜、节能降耗，有效降低成本和费用。谢谢！
13,目前公司手头的订单是否充足？,尊敬的投资者您好，感谢您对公司的关注。截至目前，公司生产销售一切正常。谢谢！
14,贵公司为什么会选择在海南投资设厂？那边开厂有成本优势吗？选址开厂的标准是什么？,尊敬的投资者您好，感谢您对公司的关注。公司地处华南地区，进入海南省市场近二十年，已完成该区域的市场布局，公司在海南投资设厂将有利于充分利用海南省地理位置的特殊性与优越性，有效降低运营成本，进一步优化公司全国市场布局。谢谢！
15,请问公司是否有关联交易？有的话请介绍相关情况。,尊敬的投资者，您好！公司2017年度没有关联交易，谢谢！
16,公司认为目前公司股票的估值合理吗？股价是否被低估？,您好，二级市场的股价是由多重因素决定的，是交易双方基于公司基本面及其他因素各自给出的估值，我们相信市场会 对雄塑科技的股票给出合理的估值。感谢您对公司的关注！
17,贵公司橡胶和塑料制品销量才增长13.17%，可是营收却增长了21.24%，是贵公司产品提价了吗？后续价格是否还会调整？,尊敬的投资者，您好! 公司营业收入正常，公司产品种类较多，具体产品销售价格参照市场价格结合公司的实际进行定价。谢谢！
18,公司近期是否有签订重大项目合作？,尊敬的投资者，您好。关于公司重大合作项目，公司将按照相关法律法规的要求及时披露，请您关注公司相关公告。谢谢！
19,公司及管理层近期是否有增减持计划？,您好，感谢对公司的关注。公司目前暂未收到管理层关于增减持公司股票计划的通知。
