,Question,Answer
0,郑叔叔好，介绍一下动力电池,汽车、电动自行车等交通工具，用的电池，就是动力电池。
1,狼性竞争文化，对低端产业还行，对高技术行业是巨大的伤害，真正有本事的人才，你搞这东西，人才会跑的，当然你们只是想做一些低端加工，另当别论。,狼性文化对雄韬而言， 是指进攻文化， 不坐享其成的文化， 绝不是低价竞争、低档次扩张的文化。 谢谢！
2,请问公司锂动力电池进入国家目录了吗?什么时间能进入,"您好，感谢您的提问。
公司已经申报第五批动力电池目录，具体结果等国家工信部审批。
谢谢。"
3,未来运输工具电气化是趋势，以电池为主业的公司，公司对未来的规划和战略布局是什么,"1）产品实施差异化竞争， 比如快充电池、燃料电池。
2）用融资租赁的模式， 对动力电池梯次使用。
谢谢！"
4,请问公司人才结构如何，公司培养人才模式是什么，目前公司人才流失严重吗？,"您好，感谢您的提问。公司重视人才培养，注重员工的培训和职业规划。公司为员工提供了入职培训、晋升培训、技术培训、专业课程培训、技能培训等在内的一系列常规培训，以帮助员工熟悉公司环境、提升业务能力，并促进员工个人发展。同时，制定了有针对性的培训计划，通过多种方式开展互动、探讨、传递公司人才理念，进一步提升员工的专业技术和整体素质，培养德才兼备的复合型人才，促进员工和企业共同发展。 
公司人才流动在合理的范围内。
谢谢。"
5,请问公司的企业文化是什么？请介绍公司的企业文化建设情况？,"您好，感谢您的提问。
公司的愿景是：成为全球智慧储能解决方案的引领者；
公司的使命：智慧储能，服务世界。
公司的核心价值观：创新、顾客、团队、质量、分配、务实。
公司于2016年公司聘请世界顶级咨询公司合益集团对公司进行组织效率优化和管理咨询，对公司的企业文化做了补充诠释，准备把狼性竞争文化写入公司核心价值观，为公司未来实现快速增长做好组织保障，扫清管理障碍。
谢谢。
"
6,除了在巨潮网上查看公司公告，还可以在哪里了解公司的日常经营情况？中小投资者有哪些渠道可以客观的了解和跟踪公司服务在行业内的差异性和优异性？,除了在巨潮网上查看公司公告，如果您是股东，您还可来现场参加股东大会，与公司高层交流公司经营情况以及公司服务在行业内的差异性和优异性情况。
7,请问，未来十年预估市场规模多大。谢谢,如果把铅酸电池、锂电池加起来， 那就是个数以千亿级的市场规模。 谢谢！
8,请介绍一下公司的行业地位？,雄韬集团成立于1994年，目前是全球最大的密封免维护铅酸蓄电池企业之一。作为全球智慧储能解决方案引领者，雄韬始终致力于阀控密封铅酸电池、锂离子电池、锌电池和燃料电池等产品和解决方案的研发，以智慧储能、服务世界为使命，为客户提供高效、清洁能源解决方案。
9,近期有机构密集调研吗？,"您好，感谢您的提问。
因为前段时间公司处于年报披露窗口，所以近期未接受机构的调研，如您对公司感兴趣可以提前预约。
谢谢。"
10,今年一定加大广告宣传，提高销售额度。继续争取好成绩,谢谢鼓励！ 雄韬确实需要多推广。
11,有些上市公司在信息披露方面做不好，还经常披露虚假信息欺骗投资者，希望贵公司在这方面能做的尽可能规范！,保荐机构会持续督导公司在信息披露方面做到及时、准确、完整，保护中小投资者利益。
