,Question,Answer
0,请问公司目前的研发机构有哪些？公司未来产品的研发与创新将如何进行？,您好，公司的研发机构主要为上海张江研发创新中心、朴颐化学、颐辉生物。未来公司将在提升研发中心硬件实力的同时，保持公司在化学合成领域内的技术优势，并结合生物酶催化和公司在手性技术方面的研究成果，提升产品竞争力和盈利能力。
1,公司的负债比率有多少？,公司201年末资产负债率为44.51%
2,公司截至目前为止都有哪些子公司和参股公司？,请查阅公司年报“合并报表范围”和“主要控股参股公司分析”。
3,公司今年有新投资的项目吗？如果有，当年能否为公司贡献利润？如有利润贡献，公司预计能实现多少利润？,您好，公司如有新项目投资将按照相关规定及时披露，敬请留意。
4,请问公司上一季生产经营状况如何？与去年同期相比如何呢？,您好，随着农药市场的回暖，公司2017年一季度产销两旺，产能利用率较去年同期提升明显。
5,请问今年预计主要产品的销售目标是多少？净利润是多少？,您好，预计公司今年主要产品的销售收入和净利润较去年将实现较大幅度增长。
6,请问净利润的增长率和销售收入增长同步吗？,公司2016年收入较2015年略有增长，但公司农药中间体由于受国际农药市场的不景气和波动影响，导致利润有所下滑。随着农药市场逐步恢复正常，公司2017年第一季度收入和盈利均实现同比较大幅度增长。
7,公司的发展战略是什么， 和公司现有的主营业态一致吗？  能否详细讲解一下？ 谢谢！,2017年，公司将继续深化落实“井”字形战略，结合以三大研发中心、三大生产基地为依托的“3+3”布局，坚持发展“新农药、新医药”等生命科学领域相关的专用化学品业务，同时逐步向环保用化学品、生物酶、特殊新材料等领域进行延伸拓展，推动实现公司长期发展战略。
8,我对贵公司是长期投资的，请问预计今年一季度会盈利多少？,您好，公司2017年第一季度报告已于4月26日在巨潮资讯网披露，敬请查阅。
9,公司今年的财务费用会有多少？,公司2016年财务费用为219.32万，明细请查阅公司年报，谢谢！
10,公司在税收方面有没有相关的优惠政策？具体税率是多少？,公司目前主要享受的是所得税优惠政策，税率为15%。详见公司年报“税收优惠”部分，谢谢！
11,现在行业间的并购都比较频繁，你们今年有没有兼并收购计划？,您好，公司除了自生发展外，未来仍将持续对外开展投资并购，通过向产业链上下游的合理延伸和扩张，迅速提升公司主业规模和壮大公司的经营实力。
12,请问老总公司今年净利润同比增长多少？,您好，目前尚无法预测全年业绩，但预计同比将实现较大幅度增长。
13,公司预计2017年业绩较去年同期是上升还是下降？若上升，则增幅是多少？,公司2017年第一季度净利润较去年同期增长67.47%，预计全年将保持高速增长态势。
14,近一年来，贵公司高管考虑增持吗？,您好，公司董事长蔡彤先生已于今年2-3月份增持公司股份，其他高管不排除未来视情况增持股份的可能。
