,Question,Answer
0,公司在防雷领域目前拥有多少项发明专利？,您好！公司的业务和防雷没有关系，谢谢
1,今年以来参加了哪些展会？,您好！公司所处行业的展会基本从5月开始有，截至目前，公司今年还没有参加相关展会。谢谢
2,公司将保持军品市场的稳定增长，重点实现民用市场的拓展，那么有没有落地的计划，什么时候民用产品可以实现大规模应用？,民用业务正在积极拓展，目前占产值百分之十几，未来将有很大增长。
3,海外市场拓展情况如何？,您好！公司直接外销的有存储类产品。此外，公司还有部分产品随军贸公司应用于中东、非洲等地区。谢谢。
4,公司产品有进入政府采购吗？,"公司有大量的军用产品已经在军用的目录内，
目前部分产品正在进政府采购目录国产中。"
5,目前产能利用率情况如何？,您好!根据公司的业务特点，产能不是制约公司销售收入增长的主要因素，不存在传统的生产制造类企业的产能利用率的问题。谢谢
6,公司在芯片研发方面，处于国际什么位置，相关技术是否有出口？,"我们芯片主要用于自主可控的关键领域，很难与国外产品对标，目前在国内处于领先水平。
未来北斗导航的芯片和产品有出口的可能性。"
7,在雷达、卫星等诸多产品中，公司会将哪一类产品最先实现民用？,您好！公司目前雷达、导航、存储等产品都已经在个别民用领域实现了应用，下一阶段将会扩大推广力度。谢谢
8,除了二股东，还有其他股东会增持公司股份么？,公司目前尚未收到其他股东拟增持的材料。谢谢！
9,作为军工企业，公司有产品出口么，能披露一下相关数据么？,公司的安全存储产品有部分出口到香港。谢谢！
10,公司作为纯军工电子信息业务企业，是否有军转民相关技术应用？,目前公司布局了大量军转民业务活动，包括民用雷达，民用北斗，民用存储，民用遥感等等领域。
11,在海南、雄安这些地区是否有业务布局?,"公司会相应国家的京津冀协调发展，
2016年已经在天津布局。
目前公司重要股东北京理工大学已经在积极布局雄安校区建设。公司未来也有可能在雄安业务布局。"
12,中国中车是不是公司的客户？,之前接触过中车，目前还没有具体合作
13,雷科防务预计2018年半年度净利润同比变动0%至50%，变动幅度为何如此之大？,公司半年度的利润预测幅度符合相关规定，谢谢！
14,我国军费开支上升对公司经营有什么影响?,"会对我们业务有重要的积极的影响，
从去年底，已经开始感受到这个态势已经逐步形成。"
15,今年投入研发方面的预算大概是多少？,您好！公司极其重视新技术的研发工作。今年的研发投入将高于去年的研发投入，不低于5000万元。谢谢
16,公司拓展民用市场的原因是什么，是因为纯军工不好做了么？,"从市场规模来看，民用市场一定比军用市场大很多。
作为一个高科技军民融合企业，我们不仅要做好军工业务，服务好国防，还要把高科技黑科技服务更多的社会大众！"
17,公司大部分产品为军工涉密产品，那哪些产品是不涉密的？,您好！公司的不涉密产品主要集中在军转民用领域，比如安防监控雷达、商用卫星导航、商用存储等产品。
18,中美贸易摩擦对公司经营影响几何？,"影响不是很大。
而且会为我们自主可控信息系统的发展带来历史性机遇。"
19,公司是否有将闲置资金进行理财以获取更多的收益？,您好！公司将当前的闲置资金进行了理财，或获取一定的收益。谢谢
20,"首先请董事长介绍一下 雷科防务的存储芯片的系列,是否可以介绍?另外公司目前用的芯片都是自己公司生产的吗? 有没有DSP芯片,或者一些单片机芯片? 另外关于筹建自主可控安全存储公司的议案, 公司在这方面是没有一些具体的规划,比如5年的发展规划呢?","目前公司已经开始sata3接口I存储控制器和PCIe存储控制器2款芯片。其中sata3借口芯片已经用在了实际产品中。pcie芯片今年3季度开始测试。
我们目前只做针对应用的soc，不做同样dsp。
我们计划打造国内自主可控存储系统的第一品牌。"
