,Question,Answer
0,您好，请介绍一下公司2017年可能面临的重大风险。,您好！2016年，国家大力推进煤炭行业供给侧改革，通过“去产能”、打非治违等措施，助力煤炭行业脱困发展。在此过程中，公司享受到了政策红利，经济指标持续优化。但与此同时，公司在产能释放方面受到了很大制约。2017年，我国宏观经济全面步入新常态、经济增速放缓、“三去一降一补”五大任务继续推进，仍面临着政策压力。同时公司火电企业受经济增长乏力、产能过剩和环保减排及煤炭市场上行压力等影响，电力业务效益或将受到影响。谢谢！
1,您好，公司拥有霍林河矿区一号露天矿田和扎哈淖尔露天矿田的采矿权，有何优势？,您好！公司拥有的霍林河矿区一号露天矿田和扎哈淖尔露天矿田的采矿权，公司煤炭核准产能4600万吨，属于国内大型现代化露天煤矿。一是稳定的系统内用户为公司煤炭的销售提供了有力的支撑。二是公司经过近年来的发展，已经成为蒙东和东北地区褐煤龙头企业，品牌形象根深蒂固，形成了比较稳定的用户群和市场网络。三是公司一直以来与铁路保持着良好的合作关系，具有一定的运力优势。谢谢！
2,能说一下公司的其他综合收益是什么吗？,您好！其他综合收益是公司子公司霍林河露天煤業（香港）投資有限公司的外币报表的折算差额。谢谢！
3,能介绍一下公司其他业务构成嘛？,您好！本年其他业务主要包括材料、废旧物资销售、固定资产出租、灰渣处置、腐植酸销售等。谢谢！
4,您好，公司主要供应商构成情况如何？,您好！公司主要供应商包括内蒙古中油霍煤石油有限责任公司、国家电力投资集团公司物资装备分公司、大连汉顿工业有限公司、中电投远达环保工程有限公司、康明斯（中国）投资有限公司沈阳分公司。谢谢！
5,您好，公司主要供应商构成情况如何？,您好！公司主要供应商包括内蒙古中油霍煤石油有限责任公司、国家电力投资集团公司物资装备分公司、大连汉顿工业有限公司、中电投远达环保工程有限公司、康明斯（中国）投资有限公司沈阳分公司。谢谢！
6,公司的电厂安全隐患排查一般都采取啥形式？,您好。根据公司有关规定和季节性特点，隐患排查采取定期排查、专项排查、重点排查和其他方式进行。谢谢！
7,公司的核心竞争力是什么？,您好！公司核心竞争力为公司煤炭生产经营所需的采矿权资产。谢谢！
8,我想知道贵公司企业所得税优惠政策情况。,您好！本公司及控股子公司扎哈淖尔煤业和坑口发电公司均享受西部大开发企业所得税执行15%的优惠税率。谢谢！
9,公司主要业绩驱动因素是什么？,您好，报告期内，公司业绩主要来源于煤炭业务。煤炭利润源于原煤售价提高、产销量的增加及采煤成本和其他管理成本的控制。谢谢！
10,目前煤炭行业的竞争格局如何？,您好！2017年，是供给侧结构性改革和国有企业改革的深化年。2017年，国家推进供给侧结构性改革的决心不变、力度不减，煤炭供需关系将在国家政策的作用下寻求新的动态平衡。随着我国能源结构调整步伐加快、生态环境约束不断强化，煤炭产能大于需求的基本面短期内不会发生根本性改变，煤炭行业提质增效、转型升级的要求更加迫切，行业发展面临历史性拐点。谢谢！
11,我特别关注公司，衷心希望公司在管理层的带领下，更上一层楼！,您好！谢谢您的关注和支持，我们一定努力把公司经营好，加强公司治理，规范运作，打造优质的公司回馈广大投资者。谢谢！
12,您好，能否介绍一下公司2×600MW机组情况？,您好！通辽霍林河坑口发电有限责任公司的2×600MW机组是东北电网直调火电厂主力调峰机组。该2×600MW机组目前正处在良好的运营期间，此类型机组在东北电网是主力核心大机组。随着机组投产以来进行的综合升级改造、重要辅机变频器改造等，机组的能耗水平将大幅下降。谢谢！
13,公司2017年度预计经营计划情况？,"您好！2017年计划原煤生产收购4,170万吨，比上年4,281万吨减少111万吨，降低2.59%；计划发电量455,400万千瓦时，比上年485,867万千瓦时减少30,467万千瓦时，降低6.27%。2017年计划原煤销售4,170万吨，比上年4,278万吨减少108万吨，降低2.52%；计划售电量411,728万千瓦时，比上年439,129万千瓦时减少27,401万千瓦时，降低6.24%。2017年计划利润总额136,565万元， 其中：煤炭利润总额126,280万元；电力利润总额10,281万元。比上年95,420万元增加41,145万元，增幅43.12%。风险提示：上述经营计划并不代表公司对2017年度的业绩承诺和盈利预测，能否实现取决于市场状况变化、经营团队的努力程度等多种因素，存在很大的不确定性，请投资者特别注意。以上财务预算尚需公司股东大会审议通过。谢谢！"
