,Question,Answer
0,"请问曾总，公司营业收入811,205,143.98元，现金流流入是678,529,384.18原，现金流流入小于营业收入是原因导致",您好，感谢您的关注！营业收入与现金流入的主要差异原因：1.公司部分货款以承兑汇票方式接收，应收票据期末较期初有所增加 2.公司少部分客户同时是供应商，存在货款互抵事项. 3.汇率变动产生应收账款汇兑损失
1,你们好，请问公司在行业内处于什么样的地位？竞争对手都有哪些公司？,您好，公司合成樟脑产量连续多年位居全国第一，同时也是全球最大的合成樟脑生产商。
2,"如果公司业绩没有造假，请问公司营业收入811,205,143.98这个是不含税收入，销售收到现金流入667,154,520.48元，加上应收款不到一亿，销售回款在9亿才是正常的，为何仅收到6.6亿回款收入，请问不是造假，作如何解释，请正面回答。",您好，感谢您的关注！营业收入与现金流入的主要差异原因：1.公司部分货款以承兑汇票方式接收，应收票据期末较期初有所增加  2.公司少部分客户同时是供应商，存在货款互抵事项.  3.汇率变动产生应收账款汇兑损失
3,请问樟脑和冰片目前价格多少？以及未来一年价格变动趋势如何？是否存在产能不足的问题？,您好，我们无法准确预测产品价格趋势，谢谢您的关注。
4,请问樟脑和冰片目前价格多少？以及未来一年价格变动趋势如何？是否存在产能不足的问题？,您好，我们无法准确预测产品价格趋势，谢谢您的关注。
5,"公司应对原材料上涨没措施么？可是我看公司17年末原材料采购，大幅上升啊，是有原材料囤货的动作的
希望能与上游，锁定价格，应对成本上涨",谢谢您的建议。
6,请问樟脑和冰片目前价格多少？以及未来一年价格变动趋势如何？是否存在产能不足的问题？,您好，公司产品价格受多重因素影响，我们无法准确预测。谢谢您的关注。
7,"2017年合成樟脑和冰片系列产品销售收入分别为437,834,793.64元和63,439,024.56元，占营业收入比重为78.57%和11.38%。这是江总披露的数据，2017年年报披露合成樟脑和冰片系列产品销售收入分别为633,105,572.45元和93,352,661.4493,352,661.44元。数据不一致原因是什么？麻烦曾总给个答复","您好，公司2017年合成樟脑和冰片系列产品销售收入分别为633,105,572.45元和93,352,661.44元，占营业收入比重为78.05%和11.51%。2016年合成樟脑和冰片系列产品销售收入分别为437,834,793.64元和63,439,024.56元，占营业收入比重为78.57%和11.38%。谢谢！"
8,公司未来拟布局的新兴产业方向是那些？,您好，公司将积极布局、多元化探索！
9,公司17年冰片和樟脑的每吨成本是多少？18年预计是否会小幅上升？,2018年原料成本比2017年大幅上涨，生产成本预期亦有上升。谢谢关注。
10,"2017年合成樟脑和冰片系列产品销售收入分别为437,834,793.64元和63,439,024.56元，占营业收入比重为78.57%和11.38%。江总刚刚数据跟年报数据不一致，请问差异是什么原因导致？","您好，公司2017年合成樟脑和冰片系列产品销售收入分别为633,105,572.45元和93,352,661.44元，占营业收入比重为78.05%和11.51%。2016年合成樟脑和冰片系列产品销售收入分别为437,834,793.64元和63,439,024.56元，占营业收入比重为78.57%和11.38%。谢谢！"
11,江总前后数据不一致是公司业绩造假导致的么,请看更正回复。谢谢。
12,请问江总，18年樟脑生产10000多吨，是15000吨，还是12000吨左右，谢谢。,您好，目前公司樟脑产能约10000吨，樟脑自动化改造完成后约15000吨，因为没有尝试满负荷生产，因此无法准确预测。谢谢您的关注。
13,公司目前的市值偏低，与公司的业绩与行业地位不想称，请问公司如何做好市值管理与投资者关系管理？公司去年未接待机构投资者，原因？今年是否加强对公司战略的推介？,您好，公司将在巩固现有主营业务基础上，充分利用上市公司平台，择机布局新兴产业，积极探索新的利润增长点，为投资者争取最大的回报。
14,公司年产1.5万吨香料项目正式投产后，对公司将带来什么样的影响，合成樟脑系列产品和营业收入是否会大幅提高？,"您好，公司近年以来合成樟脑产量一直稳居全国第一，同时也是全球最大的合成樟脑生产企业，2014年据不完全统计，公司合成樟脑产量已占全国产量50%以上。2017年由于合成樟脑系列和冰片系列的毛利率较高，因此公司侧重于上述两个系列产品生产，2017年合成樟脑和冰片系列产品销售收入分别为633,105,572.45元和93,352,661.44元，占营业收入比重为78.05%和11.51%。公司今年的经营计划仍然是以生产合成樟脑和冰片系列产品为主。1.5万吨香料项目在正式投产后，公司将根据原材料价格、产品毛利、市场需求、销售能力等因素制定及调整相应的生产计划。"
15,如果经营性现金流负数是原材料上升导致的，但是贵公司销售额和利润都得到了大幅度的提升，且应收账款没有明显增加，这是否解释得通，谢谢！,您好，去年以来，原材料大幅上涨，公司为战略需要，对采购库存比例作了调整，加上原材料上涨，采购单价大幅上涨，采购金额对现金流造成了影响，导致公司现金流为负数。
16,公司目前产能情况如何,您好！公司樟脑产能10000吨，冰片1000吨，谢谢！
17,冰片生产系统部分设备的自动化改造，进入试生产阶段。自动化改造可以提升多少产能？,您好！冰片自动化改造系对原生产线设备的升级改造，谢谢！
18,江总，您好！随着产品价格上涨，公司的原料供应价格是否可以锁定合同价格？,您好！公司原材料价格采用随行就市，谢谢！
19,公司产品一二季度价格大幅上涨，成本是否也有所上升，毛利率上升快吗？,感谢你的关注！价格大幅上涨，成本相应有所增长，毛利率有所上升。
20,公司的两个原料基地是如何运营的？在保证供应与锁定价格上是否有优势？,您好！我们有稳定的供应商，价格采用随行就市，谢谢！
21,公司樟脑、冰片的产能、实际产量是多少？,您好！公司樟脑产能10000多吨，冰片1000吨，谢谢！
22,公司18年产能，樟脑和冰片分别是多少，请具体回答,您好！公司樟脑产能10000多吨，冰片1000吨，谢谢！
23,在康美中药网上的樟脑价格指数已经涨到2420点，较年初上涨60%，请问价格上涨的原因？涨价是否可以持续？,您好！樟脑价格上涨主要系原材料价格上涨影响所致，谢谢！
