,Question,Answer
0,在给用户提供增值服务方面，公司做了哪些工作以增强对原有客户的锁定、新客户的拓展？,你好，公司与客户共同成长，共享公司发展的成果。谢谢。
1,请问董事长目前市场上公司主要的竞争对手都有哪些公司？在细分行业公司处于行业处于什么排名？谢谢,您好，公司目前探索多元化发展之路，力争创造新的利润增长点。谢谢！
2,中勤万信2015年内控鉴证报告提到的子公司内控问题目前解决了吗？有没有有效、系统的方案？,您好，公司目前内部控制方面是有效的，也将在内部控制工作方面进一步完善。谢谢！
3,公司对同行竞争对手有怎样的考量？你们的成本、管理、市场等优势体现在哪些方面？,你好，请参见《2016年年度报告全文》。谢谢。
4,请问公司今年是否有对外扩张的打算？今年公司在市场开拓方面有什么计划？能否详细谈谈？谢谢,您好，公司在立足原有的业务的基础上，探索多元化发展之路。谢谢。
5,请描述一下公司未来的发展前景，谢谢！,您好，公司在稳定原有业务的基础上，探索多元化发展之路，力争取得更好的业绩。谢谢。
6,公司目前有哪些在建项目？建设进度如何？还需要多少资金？,你好，公司2012年上市募投项目已全部完工，结余资金已永久补充流动资金，并已履行相应的审批手续。详见公司于3月22日在巨潮资讯网披露的《2016年募集资金存放与使用情况的专项报告》。谢谢。
7,如果我想对贵公司长期投资，能给我一个长期持有的理由吗？,您好，公司保证生产经营情况正常，探索多元化发展之路，力争创造更好业绩回报股东。谢谢。
8,公司现在负债总额是多少？每年负债的利息是多少？谢谢。,您好！公司在确保正常生产经营和发展的基础上，争取将负债降到最低水平，减少银行融资，降低财务费用。谢谢您的关注！
9,业绩说明会本来应该是恳谈会，将企业目前的处境，面临的困难，预计的风险和相应应措施清晰告诉股东。,"您好，谢谢您的建议，公司正在认真回复投资者的提问。
谢谢。"
10,自从微博出现后，对于舆情的关注和扩散在一定程度上都有所放大，关于舆情的监控，公司有些什么样的手段？而在应对负面舆情的时候，又有什么样的应急措施？,您好，公司设有专人关注与公司有关的舆情。深圳证券交易所指定的媒体，如：《巨潮资讯网》、《中国证券报》、《证券时报》为公司信息披露的平台，请投资者参见上述媒体登载的公司公告。谢谢。
11,如若公司股价在走下坡路的情况下，是否会推出高股价股权激励计划？,您好，为促进上市公司建立、健全激励与约束机制，根据相关法律、法规制定的针对上市公司为标的，对公司管理人员及员工进行的长期性激励。谢谢。
12,请问公司以后每年会用什么形式回馈股东？,您好，公司自上市以来，每年都提出利润分配方案，并按照法律法规的要求实施。谢谢。
13,作为一家上市公司，为了更有利于与投资者交流，能不能在公司网站上设置交流互动功能？,您好，您的建议我们将向公司董事会报告。谢谢。
14,"国家要求实行经济节约型政策,公司具体是怎么做的?",您好，公司厉行节约，降本增效。谢谢。
15,请问董事长，您和总经理名下有没有未注入上市公司的其他资产（公司）呢？,您好，公司目前没有收到相关信息。谢谢！
16,请问公司如何看待市值管理的？近期管理层新出的增发新规对公司以后资本运作有何影响？,您好，管理层新出的增发新规就目前情况看，对公司不产生影响。谢谢。
17,公司的发展战略是什么， 和公司现有的主营业态一致吗？  能否详细讲解一下？ 谢谢！,您好，公司立足管道业务，同时发展越野赛事、文化旅游，探索多元化发展之路。谢谢。
18,对比大股东而言，中小投资者的合法权益有哪些特别之处？,您好，公司会依照法律法规保证每一位公司股东的合法权益。谢谢。
19,您好，目前公司的主营业务是什么？,你好，公司专业从事塑料管道的研发、生产和销售，主要产品有聚氯乙烯（PVC）系列管道、聚乙烯（PE）系列管道和聚丙烯（PP）系列管道等。内容详见于公司在巨潮资讯网发布的《2016年年度报告全文》的公司业务概要部分内容。谢谢。
20,公司管理层怎么看待去年的业绩，满意么？能说下今年有什么目标吗？,您好，公司的业绩还有增长的空间。公司今年的目标详见。2017年3月22日在巨潮资讯网披露的《2017年财务预算报告》。谢谢。
21,建议公司在做好业绩的同时也要积极邀请各家机构前来调研，让更多人关注。,您好，谢谢您的建议，公司会将您的建议向公司董事会进行报告。谢谢。
22,公司截至目前为止都有哪些子公司和参股公司？,您好，详见公司于2017年3月22日在巨潮资讯网披露的《2016年年度报告全文》。谢谢。
23,你怎么看公司的业绩和公司的股价和市值的？,"您好，公司股价是市场行为。公司力争创造更好的业绩回报股东。
谢谢。"
24,请问未来公司对稳定股价会做出哪些举措？,您好，公司将保证生产运营的正常运行，力争创造更好的业绩来回报股东。谢谢！
25,公司目前的股东结构是怎样的？是否有利于优化公司治理结构和企业长远发展？,您好，公司目前的股权结构符合法律法规的相关要求。公司依照法律法规的相关要求维护股东，尤其是中小股东的利益。谢谢！
26,公司的前5名供应商是什么，与公司存不存在关联关系？,你好，详见公司于2017年3月22日在巨潮资讯网披露的《2016年年度报告全文》的相关章节。谢谢。
27,您好，公司是什么时候上市的？,您好，公司是2012年8月正式在深圳证券交易所上市。谢谢。
28,我对贵公司是长期投资的，请问预计今年一季度会盈利多少？,你好，首先感谢你对公司的信任。2017年一季度盈利预计详见于公司于2017年3月22日在巨潮资讯网披露的《2016年年度报告摘要》。谢谢。
29,请问董事长平时与公司前十大流通股东有交流吗？,"您好，公司董事长欢迎公司股东与公司进行沟通。
谢谢。"
30,公司截止目前的股东总人数是多少？,"您好。截至2016年12月31日，公司股东人数为7854名，详见公司在巨潮资讯网上的《2016年年度报告全文》。
谢谢。"
31,请问公司有无通过发行公司债券等形式进行募资的计划？有无设立并购基金收购标的的计划？,你好，公司暂无发行公司债券计划。公司计划设立并购基金，见公司于2017年1月20日在巨潮资讯网披露的《关于拟发起设立并购基金的公告》（编号：2017-007）。谢谢。
