,Question,Answer
0,前10大股东持有的限售股什么时候解禁？,公司2015年的三年期定增按规定在5月底解禁，公司2017年的一年期定增在9月底解禁。
1,证金公司是公司的股东吗？,请关注公司的相关公告，按照规定，公司只能披露前10名股东情况。
2,公司今年有员工持股计划吗？,您好，公司目前正在详细研究各种对核心员工激励的方案，其中也包含员工持股计划，未来将根据公司发展需要和监管机构的要求来做决定。 谢谢！
3,请问中美贸易战对公司有影响吗？,无影响。
4,公司认为，影响到行业发展的有利因素有哪些？不利因素有哪些？,"空冷行业进入成熟期，未来会保持稳定，政策也会保持稳定。
光热发电行业处于启动阶段，国家政策正在大力扶持。
清洁供热业务按照国家规划，最近3-5年是改造的高峰期，政策也在大力扶持。"
5,请问公司有在雄安新区设立分子公司开展业务吗？,您好，已在雄安新区成立全资子公司首航雄安科技有限公司，目前该全资子公司正在积极筹建团队，在雄安新区推进相关业务的开展。谢谢！
6,拿到雄安新区“入场券”后，公司当前有无订单？,目前公司在雄安新区已经有订单，同时正在积极推进各类相关业务。
7,请问公司光热业务的竞争优势是什么？,公司是国内唯一一家覆盖设计、制造、EPC和运营全产业链覆盖的公司，可以更好的控制光热发电的成本；公司是国内少有的同时具备光热发电塔式和槽式技术和项目工程经验的公司。公司掌握光热发电核心的装备制造、系统调试以及丰富的工程经验。
8,大股东今年会增持公司股票吗？,您好，截止目前尚未收到大股东关于增持公司股票的意向和通知。如有增持股份发生公司将根据相关规定予以披露，请关注公司公告披露信息。谢谢！
9,请问公司空冷系统的年度研发费用是多少？,您好，公司每年投入的研发费用占收入比例为3-5%。
10,公司的电站空冷业务营收占比多大？其季节性影响能具体介绍下吗？,"感谢对我公司的关心。公司2017年电站空冷业务占营业收入比例为59.36%。公司空冷业务地域集中在华北东北西北地区，受天气状况和施工条件的限制，受季节性的影响。
"
11,请问敦煌的光热项目进展咋样了？,您好，吸热塔已于2017年11月4日土建施工到212.4米结构封顶；汽轮机发电机厂房已经完成封闭，已经全面进入安装，截止目前，12098面定日镜中已安装完成定日镜钢柱5000根，定日镜1220面；吸热塔内钢结构安装完成，目前正在安装212.4米塔顶到262米的吸热器；发电机定子、主变压器、厂用变压器已经就位；计划2018年5月底前厂用系统受电，8月底前完成化盐，12月31日前并网发电。谢谢！
12,"请问公司的定增项目进展如何？什么时候产品才能面世？
公司每年研发费用占总费用比例是多少？ 
公司与独角兽企业有合作吗？
调整反倾销税对公司利好大吗？",定增项目正在稳步推进，敦煌100MW项目预计在2018年年底 即可实现发电，请看年报中募集资金情况了解项目进展。研发费用一般占3%-5%。公司目前未与独角兽企业有合作。公司不受反倾销的影响。
13,公司连续几年亏损，具体是业务水平还是管理制度上存在缺陷？,公司一直在盈利，从未亏损过。
14,请问公司有在美业务吗？,目前没有。
15,公司有没有扩展业务需求的有投资或重组计划？,公司在积极寻找新的业务方向，会根据业务发展的需要和公司的具体情况来做决定。若有，公司会按照监管机构相关要求予以披露。
16,截至去年底公司员工有多少人？,您好，去年年底员工人数已在年报中披露，请查阅。谢谢！
17,公司光热业务受政策影响有多大？今年的政策环境对公司发展有无不利影响？,光热发电第一批示范项目正在顺利推进。行业处于国内刚刚启动的阶段，公司正在积极支持，目前未发现存在不利影响的政策。
18,公司今年会推进股权激励计划吗？,公司正在详细研究各种对核心员工激励的方案，会根据公司发展需要和监管机构的要求来做决定。
19,公司1季报表示光热发电业务还处在商谈阶段，2018的业绩支持是那块业务？,公司预计光热发电业务在2017年的基础上2018年应该会取得更大突破。
20,二季度业绩的增长点会体现在哪块？,感谢您对我公司的关心。二季度业绩主要来源于1、空冷业务的稳定发展。2、新光热业务值得期待。谢谢。
