,Question,Answer
0,费用高，收入不增，利润就上不去，股价就没表现，分红就没指望，投的钱就打水漂了，要是于董你，你什么心情呢？,您还，我们会尽力做好业务，回报股东的支持。
1,1）与中信银行战略和合作，今年中信相关业务是否可以大幅增长？2）上海睿民背靠民生，民生业务是否也可以相应增加 3）公司在兴业数金里面扮演着什么角色？,这个问题重复了，之前已回复。
2,1）去年与中信集团战略合作，是否预示着今年中信银行的相关业务可以大幅增长？2）收购上海睿民，背靠民生银行，民生银行今年的业务量是否也相应提升？3）和兴业银行成立兴业数金，公司的兴业数金里面扮演着什么角色？,中信的战略合作关系在去年已经确立。公司未来会加大与中信等战略合作伙伴的合作。兴业数据是我们的客户，也是我们的参股公司，更是我们在未来新兴业务方面的合作伙伴。
3,于董，信息量太大，晕圈了。我希望贵公司好，股价能涨就好，分的这点红，根本不够弥补股价跌的损失。多点利好，别再有什么动荡了。减持接着员工激励什么的影响股价的事件越少越好,如果股东们因为买了公司股票而亏钱，我很遗憾。我们要做好业务，希望股东们能有所获利。
4,长亮科技才是国家二级资质，跟高伟达不是一个等级，但是他们的总市值居然比高伟达还高一点，请问贵司与宇信科技，长亮科技，神州数码等贵司竞争的时候的优势是什么？,目前和几个同行业的公司相比，大家各自有自己的优势产品和优质客户，虽有竞争，但整体格局相对稳定。
5,希望您引入战略合作伙伴，把银联科技的股份给接下来。免得他们持续抛售，祸害中小股东,您好，公司对于股东没有决定权，您提出的要求，公司尽力而为。
6,于董，公司大股东大量减持，间接造成打压股价，造成公司股票在二级市场上的波动，公司对此有何举措呢？,公司上市前的PE股东，在公司投资的时间超过10年了。他们有减持的要求，作为股东这是他们的权力。公司无权要求他们不许减持。但是公司不断强调，希望他们能在不对二级市场造成重大影响的情况下，合理规划减持安排。
7,你好，于董，请问为什么在公司资金不宽裕，甚至要向您本公司贷款的情况下，也要用现金购买吗？发行股票购买资产，不是更能绑定核心团队的与公司的相关利益吗？麻烦帮我解疑这两个问题,您好，发行股票到期解禁，现金收购分阶段按照业绩完成的情况支付交易对价。这些手段并没有严格的优劣之分。收购前公司对未来的资金有过测算，也做了安排。
8,收入上不去为何还要加大该项费用的投入呢？,研发、市场、新的业务增长点，这些投入将保证公司未来的持续盈利的能力。相关领域的投入是必要的。
9,请问于董，贵公司新增董事是负责研发的，从业经历来看主要是风控方面，贵公司软件研发主要围绕风险控制管理的吗？,您好，公司是业内为数不多的金融信息综合服务商，主要业务不仅包括风险控制管理，还涵盖核心系统、信贷管理等多个方面，未来公司将继续增加研发投入，进一步提高金融信息服务能力，满足客户需求。
10,IT技术日新月异，竞争却愈趋激烈残酷，请问公司管理层有信心面对吗？,新的时期，公司面临新的机遇，也将面对新的挑战，公司管理层对此有信心。
11,请问贵公司目前有哪些正在进行的研发项目？主要围绕哪些方面研发的？,您好，公司已披露2016年度报告，在靠前的部分有对研发支出及相关项目的具体阐述，请您参考，谢谢！
12,公司目前有哪些在建项目？建设进度如何？还需要多少资金？,您好，您指的是否是“在建工程”，公司目前没有在建工程，谢谢！
13,虽然说公司的股价由二级市场决定，但股价是公司经营的一个表象，请问管理层对回报投资者持有怎样的态度？,积极的态度。
14,科蓝已经过会，宇信也即将上会，于董事长如何应对公司与它们在技术和业务发展上的差距？有何措施来力求缩小而不被拉大甚至被边缘化呢？,请具体“差距”的体现。
15,如果公司进行定增，那大股东及高管们会考虑参与、进行增持吗？,您好，去年公司发行股份购买资产配套融资中，公司控股股东认购绝大部分的新发行股份，体现了股东对于公司未来的信心。
16,公司的前三大客户是哪些公司？,您好，公司在2016年度报告及审计报告中，已披露公司收入占比相关信息，请查看相关公告，谢谢。
17,公司如何进行投资者关系管理，如何规划进行投资者回报的？,您好，公司将继续按照深交所相关要求进行信息披露，做到公平、公正、公开，同时在不违反深交所的规定前提下与投资者进行充分沟通，并合理规划投资者回报。
18,这个商誉资产占比是不是有点偏高？作为专业独董，有提醒公司注意财务风险吗？,是的，公司确需关注商誉，关注商誉减值的风险。随着公司的发展商誉的占比会将下降。但是不能只关注占比，就算占比不大，也是要关注形成商誉的资产本身的运营情况。
19,贵公司是否会考虑实施股票期权等规范股权激励方式，惠及更多员工？,截止目前，公司于2015年、2016年已实施两次股权激励计划，请查看公司已披露的相关公告。关于股票期权的激励方式，请以公司后续公告为准，谢谢。
20,请问公司如何看待上市公司的并购和市值管理？,并购的目的不是市值管理，市值管理和并购不构成因果关系。
21,公司在经营活动中主要对哪些环节进行质量控制？,立项、入场、实施、测试和验收，几乎每个缓解都需要质量控制。
22,能介绍一下公司现在各大区域的销售和占有率等基本情况吗?,您好，公司已披露2016年度报告，其中有对公司在各大区域销售情况的陈述，请您参考，谢谢！
