,Question,Answer
0,董秘：您好！近期是否还有对外并购的计划？,尊敬的投资者，您好！详见公司2017年年度报告，第四节-九、公司未来发展的展望-三、2018年经营计划-第五段，谢谢！
1,公司主营产品利润如何，面对竞争是否有利润不断下滑的趋势？,尊敬的投资者，您好！请关注我们2017年的年报中第四节经营情况讨论与分析。谢谢
2,请问公司现阶段筹划的发行股份购买资产事项面临的最大挑战是什么？,尊敬的投资者，您好！公司面临的主要有投资并购及管理风险，但投资并购本身就是一种风险较高的商业活动。随着发行股份购买资产事项项目的开展，公司与被投资并购的企业之间存在业务模式、管理制度、企业文化上的差异，异地管理带来的管控风险、团队的稳定性风险等因素都给公司管理带来新的挑战。本次公司在发行股份购买资产事项方面采取较为稳健的投资策略，审慎选择了投资标的，投前做好了充分的市场以及收购对象的尽职调查工作，后续我们将不断完善投资并购协议以减少法律风险，最大限度地降低可能的商誉减值风险。投后我们将充分发挥协同效应实现其价值，从而不断提升公司盈利能力和市场规模。同时，公司为了适应不断快速扩张的需求，应对其带来的管理风险，公司持续建设覆盖整个公司的财务信息系统，提高管理效率；加强对于并购企业的人员委派；加强公司组织文化建设，明确公司的使命，愿景、目标、核心价值观，执行共同的经营管理原则；这些不断建立与完善的管理架构、制度、系统与模式，确保公司在规模快速扩张，差异化程度不断扩大的情况下，保持持续、稳定和快速的发展。谢谢！
3,您好，请问整个2017年，公司高管一直在减持公司股票，你们都认为公司股价够高或者高估了吗？,尊敬的投资者，您好！股东减持是其自主行为，公司收到减持通知后，根据相关规定履行披露的义务。公司经营正常，管理层一直致力于公司整体价值的提升，力争为股东创造更大的价值。感谢您的关注！
4,董秘：您好！历年来公司的研发投入占营收比是多少？未来在这方面是否会加大投入？,尊敬的投资者，您好！公司2016及2017年度研发投入占营收比分别为3.11%、3.02%。未来公司将继续保持研发和创新的投入，高度重视高新技术成果产业化、产学研紧密结合，进一步增强公司的竞争能力和自主创新能力。谢谢！
5,董秘：你好！贵司的募投项目为什么延期？什么时候可以达产？,尊敬的投资者，您好！由于行业的发展，年产6万吨高品质润滑油剂项目原计划采购的设备达不到智能化生产设备的要求，部分智能化设备需根据车间的布局来设计，导致设备安装调试延后，使原预定达到可使用状态延后6个月。该项目预计在2018年6月份可以投产。谢谢！
6,您好，咱们公司有没有信心完成全年的经营目标，谢谢,尊敬的投资者，您好！详见公司的经营计划，谢谢！
7,请问公司高管、董事持股详细情况如何？今年还进行减持吗？,"尊敬的投资者，您好！董事长许汉祥先生持有公司3357.2万股，董事陈国荣先生持有公司3,970,400股，董事王招明先生持有公司3,798,850股，董事许志坚先生持有公司2,808,600股，其余高管未持有公司股份。董事长许汉祥先生近期没有减持的打算，其余持股的董事如确实需要减持，我们会认真履行信息披露规范要求，及时披露董事的减持计划与减持情况。谢谢！"
8,董秘：您好！公司产能利用率情况如何？是否存在产能不足或产能过剩的情况？,尊敬的投资者，您好！公司的产能利用率在80%左右，主要原因是公司的产品品种增多，产能不是一加一这么简单，产能是要根据产品的种类、生产量来取决的，我们年产6万吨高品质润滑油剂项目达产后，产能也不是就能在原产能的基础上加上现在的6万吨这么简单，我们还需要对原已不适合现代化生产的部分生产设备进行淘汰，且也要根据企业的销售产品品种来调整企业的生产，这样都将给产能带来不确定的因素。谢谢！
9,请问公司进行重大资产重组目的是什么？该企业的基本情况如何？,尊敬的投资者，您好！我们此次进行的重大资产重组，是对公司资源的进一步整合，是利用我公司现有产品的优势，延伸下游产品的运用，同时，也是为了进一步壮大企业经营规模，为投资者创造更多的财富，关于被收购企业的基本情况请关注我们发的停牌公告和后续进展公告。谢谢！
10,董秘：您好！去年营收平稳而利润率下滑，是什么原因造成的？,"尊敬的投资者，您好！2017年度，公司完成润滑油生产量7.73万吨、销量7.78万吨，较上年度分别下降了12.04%、11.20%；虽然公司润滑油产品平均销售价格比去年同期增长了11.12%，但公司的主营业务收入较上年度仅增长了3.88%；实现归属于上市公司股东的净利润 3,067.04万元，较上年度下降了9.85%，由于工业经济复苏仍需一定的时间，制造业仍趋于结构调整、转型升级和去剩余产能阶段，整体制造业仍趋于低迷阶段，特别是电网改造趋于平稳，在电网改造中所需的变压器油出现稳中有降，为争取市场，公司继续压缩部分产品利润空间，导致净利润降低。谢谢！"
11,许总您好，在去年上市的新股中，公司的市值只有不到20亿了，算是比较低的，我们知道公司结算都在年底，那么怎样才能实时了解公司的经营情况呢？,尊敬的投资者您好：公司将严格按《公司法》和上市规则等有关规定以年报、季报、半年报等定期报告以及重大事项的临时公告等合法信息披露方式让投资者及时了解公司的信息。谢谢！
12,董秘：您好！原油在不断涨价，你们怎么应对成本上升？,尊敬的投资者您好：公司通过大订单交易而获得锁定的大单交易的原材料价格，有效控制材料成本上升，并通过提升内部管理、推行精益化管理等多方面举措应对成本上升。谢谢。
13,请问公司的主要合作伙伴有哪些？,尊敬的投资者您好：工业用油方面公司变压器油的主要客户有天威五洲、钱江电气、卧龙东源、长城电器、申达电气等国内著名变压器生产企业；内燃机油、液压油、齿轮油等产品的客户有徐工集团、中联重科、华菱钢管、宝钢集团、沙钢集团、攀钢集团等国内著名的工业制造企业；特种溶剂的客户有瓦克化学、道康宁、南通迪爱生色料有限公司、上海DIC油墨有限公司等著名跨国企业。车用油方面，我们在国内地级市以上的城市基本设立了1~2个车用油销售的经销商，感谢您的关注。
14,"尊敬的董秘：
您好！最后再问你如下问题：公司2018年业绩发展有具体计划吗？如果有，能否保证业绩实现？你怎么看你公司上市至今在A股的表现？",尊敬的投资者您好：感谢您对公司的关注!公司对于未来发展充满信心，对业绩目标制定了详细的计划，请关注公司相关公告。管理层勤勉尽责，董事会分阶段考察目标的实现和计划的实施情况，并通过定期报告向广大投资人汇报。公司上市至今，运营状况良好，公司业务发展顺利，并开发了很多优质的客户。股票市场的表现受多种因素影响，我们会持续关注公司在二级市场的表现。谢谢！
15,请站在独立董事的角度评价一下这家公司。,投资者您好，从我的角度看，公司经营稳健，管理层高效务实，内控治理规范，公司所处行业前景乐观。谢谢！
16,董秘：您好！请问，公司会不会搞股权激励或者员工持股计划？,尊敬的投资者您好：公司会按照实际发展情况，来考虑是否通过股权激励的方式，激发员工积极性，提升公司业绩，并会在符合条件的时候严格按照相关规定进行公开信息披露。谢谢！
17,董秘：您好！制造业增值税税率将降到16%，对贵公司利润有哪些影响？,尊敬的投资者您好：增值税是价外税，如不含税售价及采购价格不因税率调整而变化的情况下，并不影响企业利润，谢谢！
18,您好，请问公司打算如何提高公众对公司的认知度,尊敬的投资者，您好！公司一直在通过各种方式提高公众对公司的认知度，具体包括：1.提升公司核心竞争力，做好、做强、做大公司主营业务，提升公司盈利能力，打造公司高科品牌商标；2.建立健全公司法人治理结构，提升公司管理水平；3.规范运作，确保公司信息披露及时、真实、准确、完整；4.做好公司投资者关系管理工作，维护公司股东特别是中小股东的合法权益，并承担相应的社会责任；5.加强与媒体沟通、合作，积极宣传公司，树立公司良好形象。谢谢！
19,请问公司管理费用是否过高？,尊敬的投资者您好：公司管理费用占营业收入的比例为5%左右，属正常范围之内，谢谢！
20,尊敬的董秘：您好！请问，贵公司做市值管理吗？,尊敬的投资者您好：公司目前主要是抓好公司自身的经营管理，创造公司内在的投资价值。随着资本市场成熟度的不断提高，今后公司将促进与投资者之间的沟通、了解和信任，充分揭示并实现公司的投资价值，最大限度地消除信息不对称，争取投资者对公司价值的认知和认同。谢谢！
21,尊敬的董秘先生：做大、做好市值管理是每个公司成长的必然追求，公司是如何进行市值管理的？,尊敬的投资者您好：公司一直认为最好的市值管理举措就是通过全体员工的不懈努力，做好本职经营工作，为股东创造长远价值。谢谢。
22,供给侧改革背景下，公司生产和经营发生哪些变化？,尊敬的投资者您好：目前，公司生产经营正常，无发生重大变化。谢谢！
23,公司毛利率在同行业中是什么样的水平？是否有进一步提升的空间？,尊敬的投资者，您好！公司平均毛利率在行业中处于中游水平。下一步我们将结合对原材料市场走势的分析、预判，择机采购，建立适度原材料战略库存，减缓对毛利率波动影响，提升公司的盈利水平。谢谢！
