,Question,Answer
0,公司有考虑往生态农业方向发展的业务吗？,公司将严格按照股东大会/董事会的决策推动各项业务发展，努力为公司股东创造更好的价值。
1,鸿达的机器视觉技术应用在哪些方面？前景如何？,"公司的主营产品及服务包括土壤调理剂、环保脱硫剂等环保产品，提供土壤治理、脱硫脱硝等环境修复工程服务；PVC、改性PVC、PVC生态屋、PVC医药包装材料等PVC新材料；稀土热稳定剂、稀土催化剂等稀土全产业链产品；提供塑料等大宗工业原材料电子交易、现代物流及信息技术等服务。目前公司拥有“环保、新材料和交易所”的完整产业体系，形成了完善的一体化循环经济产业链。同时，公司主动发挥自身产业链优势、区域优势及成本优势，并且不断整合全球领先的研发资源，通过持续的“技术创新、产品创新、服务创新和管理创新”，推动公司持续稳健发展。
"
2,盐湖镁钾17年1-3季度，净利润两千万的公司凭什么定价如此高（20-25亿）？,盐湖镁钾主要从事盐湖资源开发和综合利用业务，资产价值按照资源储量及矿产类资源定价方式来确定。
3,上市公司正在进行的盐湖镁钾公司收购事项，该公司17年利润大致3000万左右吧，承诺3年6个亿，是现在还未完全投产吗?请你说说如何实现承诺，谢谢。,公司与交易对方签署的《合作意向书》中所作的业绩承诺，是根据相关矿产资源的开发现状及未来开发利用计划初步测算得出的。
4,周董，来点干货吧，关注一下午了，谢谢。比如这次停牌收购等等,您好！感谢您对公司的关注。公司重要项目投资将按规定履行必要的决策程序和信息披露义务，具体情况请以公司公告为准。
5,你好，请问公司在公告可转债预案期间进行重大资产重组的考虑是什么，重大资产重组是否会影响可转债方案的推进？,原盐为公司氯碱生产的主要原材料，为了进一步完善公司的产业链，公司筹划了本次资产收购事项。
6,您好，请问公司在公告可转债预案后随即启动重大资产重组是出于什么样的考虑？重大资产重组工作是否会影响到可转债方案的推进？,原盐为公司氯碱生产的主要原材料，为了进一步完善公司的产业链，公司筹划了本次资产收购事项。
7,请问公司与美国农业管理有限责任公司合作进展如何？,公司正在积极推进与美国农业管理有限责任公司的合作事宜。
8,年报和快报比少了4千万净利润，是什么因素导致的？,属于正常的审计调整。
9,盐湖镁钾如何保证18-20年净利润合计6亿？,公司与交易对方签署的《合作意向书》中所作的业绩承诺，是根据相关矿产资源的开发现状及未来开发利用计划初步测算得出的。
10,公司股票什么时候能复牌？,公司及有关各方正在积极推挤本次重组的各项工作，待本次重组的具体方案确定后，公司董事会将审议并公告重大资产重组预案（或报告书），随后公司将按照深圳证券交易所的有关规定申请股票复牌。
11,"盐湖镁钾17年1-3季度，净利润两千万的公司为何定价如此高（20-25亿）？
盐湖镁钾如何保证18-20年净利润合计6亿？",盐湖镁钾主要从事盐湖资源开发和综合利用业务，资产价值按照资源储量及矿产类资源定价方式来确定。公司与交易对方签署的《合作意向书》中所作的业绩承诺，是根据相关矿产资源的开发现状及未来开发利用计划初步测算得出的。
12,请问你认为本次收购盐湖镁钾公司事项对上市公司股价是否有提振作用？,您好！感谢您对公司的关注。公司通过资产整合不断完善产业链，增强公司的综合竞争力和盈利能力。
13,请问2017年增发募资投资的pvc生态屋项目是否已投产？完成情况如何？,公司在募集资金到位后，按照使用计划加快了PVC生态屋项目建设，目前项目进展顺利。
14,目前公司大股东股票质押距离平仓线情况如何，是否存在被强制平仓的风险？在股票下跌过程中选择停牌进行重大资产重组的目的是否为避免股票质押平仓带来的风险？,公司控股股东的有关重要事项以公司公告为准。
15,公司今年会扩大产能吗？拟投资多少？,公司将在综合考虑发展战略、市场、资金等情况的前提下，在充分论证项目可行性及效益后，择机提高产能，以增强竞争力。公司重要项目投资将按规定履行必要的决策程序和信息披露义务，具体情况请以公司公告为准。
16,请问中美贸易战对公司和美国农业的合作有影响吗？,您好，感谢您对公司的关注，此事件对公司没有影响。
17,在国家加大农村建设支持力度背景下，公司在土壤调理剂、土壤修复等中是否加大投入，将如何布局？,公司将严格按照股东大会/董事会的决策推进各项事宜，努力为股东创造更好的价值。
18,本次收购资产采用何种收购方式？,公司拟以现金方式购买，目前公司及有关各方正在开展有关交易标的的尽职调查、审计、评估等工作。
19,公司2017年年报什么时候发布？,公司2017年年报于2018年3月31日披露。
