,Question,Answer
0,请问：公司产品有无旺、淡季之分。如有什么时候是旺季，什么时候是淡季？谢谢！,公司产品为汽车零部件产品，随汽车市场的销售变化而变化，根据历来的经验来看，一般情况下，三季度装车量较少，四季度的时候汽车各汽车厂为完成全年的任务指标冲量，增量较大。谢谢
1,请介绍一下公司的行业地位？,目前公司在中国橡胶工业协会的统计中排名行业第一名。
2,请问公司公司的核心竞争力是什么？,公司的研发团队可以研发出高性价比的满足国外最高标准的产品，公司营销团队向对待衣食父母一样服务客户的态度。这两项的综合就是公司的核心竞争力。
3,希望公司在本专业领域专注于做强做大做实，提升公司的行业地位，给投资者以回报！,您好，感谢您对公司的关注与支持。公司会继续努力提升公司业绩，提高公司的行业地位，创造更多的价值来回报广大投资者。谢谢！
4,对比大股东而言，中小投资者的合法权益有哪些特别之处？,"您好,中小投资者在资本市场中的主要角色是上市公司股东,上市公司应重点保障中小股东的知情权、表决权和分红权；其次，中小投资者在资本市场的另一个主要身份是证券期货经营机构的客户，享受机构提供的金融服务。上市公司应严格履行分红承诺，注重投资者的回报，积极与投资者沟通，让投资者充分了解公司经营情况，切实建立良好的投资平台，给予投资者判断公司风险和价值的平台，定期组织投资者到公司参观调研。谢谢！"
5,公司未来3年发展前景如何?,公司目前发展了九大系列产品，新发展的 尼龙管路 涡轮增压 PA 吹塑管路等都拿到了客户大量的项目，公司目前都在积极开发，这些项目都会在未来3年内量产增效。同时，公司制定了1345战略，未来会通过内生式增长继续扩大主营业务，同时也会通过外延式发展迅速做强做大公司，所以我认为公司未来3年的发展前景应该不错。
6,新三板的扩容，带来了新的投资机会，你们公司在这方面有什么打算吗？,您好！公司在推进实施内生和外延并重的战略过程中，会通过多种途径接触投资机会，新三板就是其中一个非常重要的项目储备资源池。感谢您的建议。
7,公司现阶段发展过程中有何不足？面临的最大挑战是什么？如果新客户在磨合期放弃与公司合作，公司有无应对措施？,"人才不够用，管理还须提高。汽车市场增速放缓，还要保持销售持续提升是公司面临的最大挑战。
一般来讲，在汽车零部件行业，汽车厂对选定供应商是有着非常严格程序的，要么不与公司合作，一旦通过汽车厂的严格审核与其合作，基本不存在磨合期放弃合作的情况。"
8,近一年来，贵公司高管考虑增持吗？,由于公司高管在股权激励期间，认购的资金大部分为借款，当前股权激励授予股份尚未完全解禁或具备减持条件，所以后续资金充足的情况下，会适时考虑增持公司股份。谢谢！
9,请问董事长目前市场上公司主要的竞争对手都有哪些公司？在细分行业公司处于行业处于什么排名？谢谢,公司目前依据中国橡胶工业协会的统计在胶管细分行业鹏翎股份排名第一名。目前公司在市场上的主要竞争对手为：德系康迪泰克胶管公司、欧系土耳其特克拉胶管公司、日系东海橡塑胶管公司、美系青岛固恩治胶管公司、法系武汉哈金森胶管公司等。
10,请问董事长，您名下有没有未注入上市公司的其他资产（公司）呢？,公司董事长名下没有未注入上市公司的其他资产；公司每年都会对公司控股股东、实际控制人及董监高人员关联关系进行核查，如果存在关联关系，公司也会及时履行信息披露的义务。
11,2017年有重组计划吗？,您好，截止目前，尚未接收到相关信息。后续，请您及时关注公司的公告。谢谢！
12,请问未来公司对稳定股价会做出哪些举措？,您好！公司未来将稳步实施“1345”战略，以坐实做强主营业务，关注汽车产业发展的最新趋势，通过内生外延并重的发展方式，努力提升公司业绩，力争股票价格充分体现公司的价值。
13,请问公司如何看待市值管理的？近期管理层新出的增发新规对公司以后资本运作有何影响？,"您好！
1.对于公司来讲，市值管理可以理解为：聚焦汽车产业零部件集团的战略目标，不断做实做强主营业务，通过公司内生外延同步推进的发展战略的稳步实施，以追求公司价值最大化、为股东创造价值为目标，通过与资本市场保持准确、及时的信息公开，搭建成为一个长效机制，使公司股票价格充分体现出公司的价值所在。
2.从当前来看，近期出台的非公开发行新规对公司目前尚在等待证监会批文的汽车涡轮增压PA吹塑项目没有影响，公司此次非公开项目本身执行的就是市价发行原则。今后如果公司继续通过非公开发行募集资金将会按照新规的要求执行。两次发行之间的间隔期对比之前将会延长。"
14,请问：总经理张宝新先生，公司股价3月17日放量下跌，是否意味着公司内部有什么隐藏利空？希望真诚回答，谢谢！,据我向董秘了解，公司所有重大信息都按规定及时的向投资者进行了披露，所以不存在有隐藏利空消息。3月17日的下跌，我作为一名股东个人认为是市场正常的反应，您应该看一下在3月17日之前公司股票价格一直攀升的。股市的股票本来就有涨有跌，并没有什么太奇怪的。
15,建议公司在做好业绩的同时也要积极邀请各家机构前来调研，让更多人关注。,"感谢投资者对公司的支持。
公司在努力做好业绩的同时积极接受机构投资者的调研。谢谢。"
16,公司管理层怎么看待去年的业绩，满意么？能说下今年有什么目标吗？,去年的业绩公司管理层还是基本满意的，达到了我们既定的目标，同时也基本达到了股权激励目标的设定。今年我们将继续提高我们的销售收入，严控成本。争取让利润的增长率高于销售的增长率。
17,张叔叔好，公司的主营业务是汽车胶管，什么是汽车胶管？,"你好! 汽车胶管是应用在汽车发动机及整车上起到连接作用的使用人工合成橡胶制造的管路。胶管因为使用到了炭黑，所以目前的公司的汽车胶管基本都是黑色的。汽车胶管可以形象的比拟成汽车的血管，起到传输汽车内各种介质的作用。例如平常说的汽车冷却液就是依靠冷却胶管进行传输的。
"
18,你怎么看公司的业绩和公司的股价和市值的？,我个人认为：公司的业绩和公司的股价是呈正比关系的，也是支撑股价和市值的基础。谢谢
19,我对贵公司是长期投资的，请问预计今年一季度会盈利多少？,你好，公司2017年一季度的业绩情况，请关注巨潮资讯网公司披露的一季度的业绩预告。谢谢
20,公司目前的股东结构是怎样的？是否有利于优化公司治理结构和企业长远发展？,您好！截止目前，公司董事长、实际控制人张洪起先生持股比例在35%左右；同时，公司的中高层管理人员以及核心技术和营销人员均为公司的股权激励对象，持有公司部分股份。总体来看，上述结构有利于保持决策层的相对稳定和公司经营战略和文化的延续，以实现公司的长远稳定发展。谢谢！
21,请问董事长平时与公司前十大流通股东有交流吗？,您好。据证券部门了解，平时不存在相关交流。谢谢！
22,请问公司有无通过发行公司债券等形式进行募资的计划？有无设立并购基金收购标的的计划？,您好！公司战略定位内生和外延并重的发展策略，在战略推进的过程中，会视需要推进多种的融资形式，具体还要依据公司的发展和相关项目的情况来确定。谢谢！ 
23,请问公司有无通过发行公司债券等形式进行募资的计划？有无设立并购基金收购标的的计划？,您好！公司战略定位内生和外延并重的发展策略，在战略推进的过程中，会视需要推进多种的融资形式，具体还要依据公司的发展和相关项目的情况来确定。谢谢！
24,公司现阶段发展过程中有何不足？面临的最大挑战是什么？,人才不够用，管理还须提高。汽车市场增速放缓，还要保持销售持续提升是公司面临的最大挑战。
25,你如何看待同行业其他公司的经营情况？你认为公司业绩增长的主要优势或障碍在哪里？,根据中国橡胶工业协会的排名，鹏翎股份排名胶管行业第一名。当然其他同行业的经营情况也是不错的。公司有广泛的客户基础，上千个项目的运作，优秀的团队，九大产品系列都是业绩增长的主要优势。谢谢！
26,贵公司员工一个月能挣多少？,我公司员工的薪酬按不同工种，不近相同，最高的工种可达到7000--8000元；最低工种3000---4000元。谢谢
27,公司的负债比率有多少？,截止2016年底公司的资产负债率近20%左右
