,Question,Answer
0,朱董事长你好，我是咱们公司的小股东，从2012年就坚持持有鼎龙，希望同鼎龙一道成长，收获也不错。想问一下，世纪开元挺好的行业和模式，建议考虑加大投入，提高!参股比例呢。公司有无这方面的考虑？谢谢,谢谢您的关注。目前，公司无重大投资计划。如有，请以上市公司在指定信息披露网站的公告。
1,你好我想问一下鼎龙股份朱董事长：截至4月30日，咱们公司鼎汇和时代立夫 分别获得了几家下游芯片厂家的CMP订单，以及可预期的半年内，还能分别获得几家CMP订单？谢谢了啊,感谢提问及关注。公司已经取得了相关厂商的CMP订单，鉴于签有保密协议，不便于透露。目前仍处于客户的全面送样和验证过程中，公司目前全力推进该进程。
2,你好我想问一下鼎龙股份朱董事长：截至4月30日，咱们公司鼎汇和时代立夫 分别获得了几家下游芯片厂家的CMP订单，以及可预期的半年内，还能分别获得几家CMP订单？谢谢了啊,感谢提问及关注。公司已经取得了相关厂商的CMP订单，鉴于签有保密协议，不便于透露。目前仍处于客户的全面送样和验证过程中，公司目前全力推进该进程。
3,公司负债率太低了，应该增加财务杠杆！继续加大对旗捷、鼎龙微电子、武汉鼎泽、柔显科技的资金投入。负债率至少应该在40%以上，抓住行业发展机会快速切入占领先发优势，巩固扩大战果！朱总还有什么雄心壮志分享下！谢谢！,谢谢您的提问，本问题已经回复不再累述。
4,公司负债率太低了，应该增加财务杠杆！继续加大对旗捷、鼎龙微电子、武汉鼎泽、柔显科技的投入，负债率至少应该在40%以上，抓住行业发展机会快速切入占领先发优势，巩固扩大战果！朱总在公司未来3-5年的战略规划方面简述一下，谢谢！,谢谢您的宝贵建议。公司现金流较为充沛、经营情况稳定，目前资产负债率较低。公司会在条件适宜时以新项目建设为契机逐步提高资产负债比率。
5,你好我想问一下鼎龙股份朱董事长：截至4月30日，咱们公司鼎汇和时代立夫 分别获得了几家下游芯片厂家的CMP订单，以及可预期的半年内，还能分别获得几家CMP订单？谢谢了啊,感谢提问及关注。公司已经取得了相关厂商的CMP订单，鉴于签有保密协议，不便于透露。目前仍处于客户的全面送样和验证过程中，公司目前全力推进该进程。
6,请问朱董，海外兼容彩色碳粉竞争格局，公司在海外的竞争对手有哪些，公司的核心竞争优势是什么，如何保障海外彩粉销售快速增长？,感谢您的提问，关于公司产品的核心竞争力以及相关工作进展，已经在近期的定期报告中详细披露，在此就不再累述了。
7,公司产品受哪些因素影响较大,感谢您的关注和提问。此问题已回答。
8,请问目前公司业绩受哪方面影响较大？,感谢您的提问。公司业绩受产品竞争力与成本变动、汇率变动、政府补助以及现金流变动等因素影响。
9,近期有券商、公募、私募等机构到公司进行调研吗？,感谢提问及关注。公司近期未发布调研纪要。
10,公司实控人年内还有增持计划吗？,感谢您的提问及关注。截至目前公司尚未收到实控人关于增减持等相关事项的通知。
11,请问梁总，CMP项目研发投入累计有多少，资本化与费用化各多少？,感谢您的关注和提问。具体数据请参考2017年年度报告。
12,公司认为目前公司股票的估值合理吗？股价是否被低估？,感谢提问及关注。公司股价受各种因素影响，公司对此不进行评价。另公司董事会通过了《关于回购公司股票的议案》，请参阅相关公告。
13,请问公司保留了大量的美元货币资金未结汇？导致一季度利润大幅下滑。当时保留巨额美元货币（年报有超5000万美元一季度），是赌人民币升值不可持续？还是在外汇管制背景下，公司采购新设备（抛光垫二期、柔显设备、碳粉扩产）均需进口和海外并购的需求？毕竟外汇管制导致很多公司的海外并购失败。合理情况下不应该这么大额的外币资产。,感谢您的关注和提问。公司的美元资产是公司正常经营留存部分，公司会根据公司的实际情况、经营状况并结合汇率走势进行妥善处置。
14,2017年公司业绩增速由放缓的 趋势，而18年一季度业绩下降的厉害，作为投资人，我内心很不安啊，一直期待公司业务发展能稳步增长，虽然公司业务范围上市来有很大的拓展，但是业绩却没有上升，作为投资人，很彷徨，不知道大股东和管理层如何看待这个问题。谢谢！,感谢提问及关注。公司近年来业绩一直都在稳步提升，管理层一直兢兢业业，努力完成董事会制定的经营目标，为股东创造效益。
15,公司认为中兴事件爆发后，对你们及整个行业有何影响？,感谢提问及关注。中兴事件从一定程度提醒和体现了半导体及芯片行业在整个国家产业中的重要性，国家近年来陆续出台了譬如《极大规模集成电路制造技术及成套工艺》项目等政策，也成立了国家大基金等支持企业发展。关于公司的cmp pad所处的材料领域，是国外公司相对垄断的行业，该事件后，客户对国产的支持力度明显加强。
16,请问CMP的收入确认原则，谢谢！,感谢您的关注和提问。请参阅2017年年度报告“第十一节财务报告”之“收入确认原则”。
17,请问朱董，公司在取得CMP相关专利时，为何不及时公告？这样对提振公司市值也有好处。 CMP相关信息公司披露的太少了，谢谢！,谢谢您的提问和关注。信息披露有很多外部监管规则和工作指引，只有达到信息披露标准，且对二级市场股价有重大影响的信息才能公开披露，而不能选择性披露。知识产权方面的工作进展，请您和广大投资者持续关注公司公开信息，尤其定期报告。谢谢。
18,公司在防范汇率风险方面是否建立了长效机制？请简述，谢谢！,感谢您的关注和提问。因公司出口业务占比较高，公司高度关注汇率走势，并授权公司经营管理层在合适的情况下开展金融衍生品交易业务。
19,公司产品的核心竞争力在哪里？,感谢您的提问和关注。公司以激光打印快印通用耗材产业、集成电路芯片及制程工艺材料产业为核心业务，以进口替代类化学新材料应用为拓展方向，目前核心产品彩色聚合碳粉是国内兼容彩粉的唯一供应商，芯片产品处于国内领先的水平，同时，是国内唯一掌握硒鼓上游核心关键技术优势和供应优势的企业，也是国内规模最大、产品最齐备的硒鼓供应商。除上述外，公司集成电路抛光垫产品也是突破了国外垄断，已经取得了部分下游芯片厂商客户的订单并持续提升市场份额中。
