,Question,Answer
0,公司去年产品涨价了三次，为何不发公告？不给我们中小投资者及时的知情权，我们却只能在行业资讯上看到。公司如此遮遮掩掩到底有何目的？为什么纸业同行涨价都公告，你们却不安常规出牌？,感谢您对齐峰新材的关注，公司产品品种较多，每种产品的成本构成相差较大，为应对原材料价格和市场变化，产品价格变化的频次较多，当部分产品价格变化产生不了重大影响时，公司没有公告，谢谢。
1,2018年业绩增长5%目标，为什么还扩产？增产不增利把我们股东的钱投出去的依据何在？,您好，感谢您关注齐峰新材，公司制定5%的业绩目标是综合考虑市场及公司的实际情况做出的决定。
2,为什么不回答我的问题？公司多营收13个亿 利润不及夏王一半 上市七年 这就是你们交出的成绩单,您好，感谢您对齐峰新材的关注，公司一直致力于特种纸行业的发展。
3,公司近期有 产品涨价计划吗？,感谢您对齐峰新材的关注，公司近期产品价格稳定。 
4,请问公司17年增加了相当数量的应收票据，虽大部分是银行承兑汇票，但也说明公司销售压力很大。请问公司对于经销商是款到发货还是有账期，一般多久？谢谢！,"您好，感谢您关注齐峰新材，公司对每个客户进行信用评级，根据评级不同，制定不同的回款政策。谢谢！
"
5,董秘好：年前几高层买入自家股票是否是公司要求发的年薪必须增持股份，而不是自愿的？,感谢您对齐峰新材的关注，公司高管增持股票是基于对公司未来发展的信心和长期投资价值的认同，增强广大投资者信心，切实维护投资者权益和资本市场的稳定，特使用自有资金增持公司的股票。谢谢。
6,请通过我所有问题，为什么你们选择性审核通过，给个解释？！！！,感谢您对齐峰新材的关注，投资者问题较多，在回答其他问题时没有及时将新提问的问题送出，我们正在回复问题，谢谢理解。
7,公司董事长近期接受采访，提出2018年利润增长半成的目标，即5%的目标，还没有GDP增速高，为什么目标订的这么低？既然目标这么低，产能为什么却投这么多？,您好，感谢您关注齐峰新材，公司制定5%的的利润增长目标是根据市场及公司的具体情况制定的。2017年公司增加产能比较多，市场需要有个消化的过程。
8,请问李总：董事长在春节前职工总结表彰奖励会上说：2018年利润比2017年增半成，半成的意思是5%还是50%？公司2017年末原材料库存中，钛白粉和木浆库存数量分别是多少吨？,"您好，欢迎关注齐峰新材，库存钛白粉数量为14928吨，库存纸浆数量为14908吨；利润增半成是增长5%。
"
9,请问董秘先生，为啥您的太太减持公司股票，谢谢！,感谢您对齐峰新材的关注！当时减持股份，是依据自己家庭的财务状况而做出的安排，并非不看好公司未来的发展。2018年的1月份，我本人从二级市场增持10万股，谢谢。
10,请问李总：今年增加外汇对冲交易，出于什么考虑？出口销售并不很多，是不是公司会大力加强国外销售？另：一代一路对公司有何影响？谢谢！,您好，欢迎关注齐峰新材，公司对金融衍生品的交易计划是对公司进出口业务的全面考虑后作出的决定。公司一直积极开拓国外市场。
11,请问今年一季度有提价吗，如有请说说具体金额是多少,感谢您对齐峰新材的关注，公司近期产品价格稳定。
12,"公司近期有产品涨价计划吗,为什么不回答？",感谢您对齐峰新材的关注，公司近期产品价格稳定。
13,公司在2018年有哪些具体的措施来增加销售额、降低成本？钛白粉占成本较重，如何应对钛白粉的涨价势头？,您好，感谢您关注齐峰新材，公司将继续通过降低消耗、增加产量、调整产品结构、提高品质和售价等措施保障公司持续稳定发展。
14,请问李总：公司是否有回购计划？管理层是否还会继续增持？谢谢！,感谢您对齐峰新材的关注，公司目前没有回购计划，公司管理层增持公司股份的情况均进行了公告，如果后续有增持或回购计划，公司将根据要求及时发布公告。谢谢。
15,问题1，公司在今年一季度有提高售价吗，如果原材料一整年还是一直居高不下，公司如何应对？问题2，17年出口的金额是多少？那个国家是销量是最大的，谢谢,感谢您对齐峰新材的关注，公司第一季度产品价格相对稳定，公司将继续通过降低消耗、增加产量、调整产品结构、提高品质和售价等措施保障公司持续稳定发展。2017年公司出口金额为1.96亿元，出口销量最大的国家是印度。
16,请问公司管理层薪水多少？特别创始人家族,"感谢您对齐峰新材的关注，公司管理层薪酬已披露在2017年度报告中。
"
17,2016年，奇峰在并不缺钱的情况下，启动了只针对大股东的5亿元定向增发，在2017年4月证监会批准了定增，可是你们磨磨蹭蹭到最后一刻，以贵司董事长孙子违规买卖1000股的拙劣理由，自己主动放弃了定增。搞了一年多的定增，付出了巨大的时间/资金成本。能否解释一下这期间的道理？为何公司资本运作看起来跟小孩子过家家一样随意，能否给我们一个解释？后面有何打算，能否不要蔑视资本市场法律法规？,"感谢您对齐峰新材的关注，鉴于再融资政策法规、资本市场环境、融资时机等因素发生了诸多变化，及部分认购人出现了不符合监管政策规定的相关情形，公司综合考虑内外部各种因素，为维护全体股东的利益，公司第四届董事会第四次会议决定终止非公开发行股票事项。
终止非公开发行股票事项没有对公司的生产经营情况与持续稳定发展造成重大影响。计划为募投项目的年产3万吨无纺布壁纸原纸项目也已用自有资金建成投产。
"
18,请问公司为何不能在互动易回答股东数这个大多数董秘都能回答的问题，谢谢！,感谢您对齐峰新材的关注，上市公司月度股东人数不属于法定披露信息范围，故不在互动平台上披露股东人数信息。公司会在定期报告（季度报告、半年度及年度报告）中按照证监会、深交所相关要求对相应的股东数目进行披露。敬请关注公司定期报告的相关数据内容。谢谢!
19,公司今年利润增长目标多少？,您好，欢迎关注齐峰新材，今年的利润增长目标为5%。
20,请问2017年度新品销售额是多少？,"您好，欢迎关注齐峰新材，2017年度的新产品销售额为21亿左右。
"
21,员工涨工资的逻辑在哪？明明业绩这么差,"感谢您对齐峰新材的关注，2017年，公司主要原材料钛白粉和木浆价格大幅上涨、环保治理严重影响下游客户生产、同行业竞争加剧等众多不利因素叠加的情况下，公司全体职工积极作为，通过降低消耗、增加产量、调整结构、提高品质、提高价格、降低应收货款等措施，全年完成产量37.7万吨，同比增长8.35%；完成销量38万吨，同比增长10.6%；实现销售收入35.73亿元, 比去年同期增长31.94%；实现净利润1.6亿元，比去年同期增长13.09%。薪酬的增加是对全体员工努力付出的认可和回报。谢谢。"
22,截止2017年12月末，库存原材料太白粉、木浆数量分别为多少吨？李学峰董事长在春节前职工联欢总结会上说2018年利润目标为增长半成，怎么理解？是5%还是50%？,您好，欢迎关注齐峰新材，库存钛白粉数量为14928吨，库存纸浆数量为14908吨；利润增半成是增长5%。
23,公司截止2017年末库存原材料钛白粉、木浆数量分别为多少吨？,"您好，2017年末库存钛白粉库存为14928吨，木浆数量为14908吨。
"
24,请问，2017年的研发费用增加，能具体说说有什么研发项目吗，新材料说了几年，又没有进展？另外，公司会不会考虑往上延伸业务，例如为了抵御原材料上涨，收购或者入股一家钛白粉企业？谢谢,感谢您对齐峰新材的关注，公司研发费用主要用于新产品和新工艺的研发，例如，新增装饰原纸品种、无纺布壁纸系列和镭射纸系列产品。公司目前没有延伸业务的规划。谢谢。
25,请问公司2017年为何管理费用增加近6000万，业绩增长10%几的情况下，为何大幅提高管理费用，理由在哪？,您好，管理费用增长主要是本年度研发费用增长3436万元；职工薪酬增加1774万元，主要是人员增加和工资上涨所致。
