,Question,Answer
0,如若公司股价在走下坡路的情况下，是否会推出高股价股权激励计划？,公司现有的股权激励计划还在进行中。
1,作为一家上市公司，为了更有利于与投资者交流，能不能在公司网站上设置交流互动功能？,感谢您的建议。
2,公司是否具备长期投资的价值？你是怎么看的？ 如果有机会，你会增持吗？,公司管理层始终坚信公司是一家优秀的上市公司，并将为之奋斗。公司高管已经进行了一次增持，在财务安排和规则允许的范围内，可以考虑。
3,募投项目资金使用情况如何？,募集资金投资项目正在稳健进行。 
4,业绩说明会本来应该是恳谈会，将企业目前的处境，面临的困难，预计的风险和相应应措施清晰告诉股东。,您好。公司2016年度报告已披露在指定媒体，您所说几点在年报中均有披露，请您查看。
5,贵公司是否会考虑实施股票期权等规范股权激励方式，惠及更多员工？,您好。人才是公司发展的源动力，公司已实施2016年限制性股票激励计划。
6,请问，今年会否考虑请问，今年会否考虑收购一些公司或者扩展新的领域?收购一些公司或者扩展新的领域?,如公司进行收购或拓展新的业务，一定会按照证监会和交易所的规定进行公告。
7,请问公司如何看待市值管理的？近期管理层新出的增发新规对公司以后资本运作有何影响？,做好企业，为股东创造价值是最好的市值管理。如未来有资本运作，公司也一定会在证监会规则范围内进行。
8,请问董事长目前市场上公司主要的竞争对手都有哪些公司？在细分行业公司处于行业处于什么排名？谢谢,您好。行业的主要竞争对手有双汇、金锣、得利斯和喜旺。由于行业中一些大企业不是公众公司，所以排名不太好说。
9,公司管理层怎么看待去年的业绩，满意么？能说下今年有什么目标吗？,您好。公司管理层勤勉尽责，努力做好经营，以取得更好的业绩回报广大投资者。
10,建议公司在做好业绩的同时也要积极邀请各家机构前来调研，让更多人关注。,您好。谢谢您的建议。
11,我对贵公司是长期投资的，请问预计今年一季度会盈利多少？,您好。公司2017年第一季度实现营业收入14.76亿元，比上年同期增长22.91%。具体请您查看公司已披露的2017年第一季度报告。
12,2017年有重组计划吗？,您好。请以公司公告为准。感谢您的关注。
13,贵公司员工一个月能挣多少？,不同岗位的员工是不一样的
14,公司如何规避各种风险，如产品质量、资金、管理等，减少各种负面事件？,您好。公司在生产过程中，严格按照HACCP、ISO9001质量控制体系的要求组织生产。感谢您的关注。
15,在给用户提供增值服务方面，公司做了哪些工作以增强对原有客户的锁定、新客户的拓展？,您好。公司努力做好生产经营，高品质的产品就是最有竞争力的服务。
16,请问公司上一季生产经营状况如何？与去年同期相比如何呢？,您好。公司2017年一季度实现营业收入14.76亿元，比上年同期增长22.91%。具体请查看公司已披露的2017年第一季度报告。
17,公司未来3年发展前景如何?,未来公司将在全体员工的共同努力下，持续稳定发展。
18,现在行业间的并购都比较频繁，你们今年有没有兼并收购计划？,您好。感谢您的关注。公司严格遵守相关规则，请以公司公告为准。
19,公司是否在考虑开拓新的领域？取得初步进展没有？,公司对业务发展持开放态度。
20,自从微博出现后，对于舆情的关注和扩散在一定程度上都有所放大，关于舆情的监控，公司有些什么样的手段？而在应对负面舆情的时候，又有什么样的应急措施？,我们积极关注各种新媒体和新社交网络平台的发展。
21,"同行业内有哪些主要竞争对手？公司采取了什么样的应对措施,在保持稳定增长的前提下不断做大做强?",行业的主要竞争对手有双汇、金锣、得利斯和喜旺企业，公司的竞争策略主要还是做好自己，为消费者提供更优秀的产品和服务。
22,请问公司有无通过发行公司债券等形式进行募资的计划？有无设立并购基金收购标的的计划？,您好！感谢关注，请以公司公告为准。
23,公司募集资金投向项目进展如何，是否顺利?预计多久可以收回投资?,募集资金投资项目正在稳健进行，已经完成的项目回报非常好！
24,股价升等于做免费广告，有助于公司产品销量升、业绩升，形成良性循环。建议公司配合将股价做上去。,感谢您对公司的关注。
25,虽然说公司的股价由二级市场决定，但股价是公司经营的一个表象，请问管理层对回报投资者持有怎样的态度？,管理层将以更好的经营业绩回报投资者。
26,"公司的持续良性发展是投资者投资信心的有力保证,愿公司的发展能为投资者带来良好的回报!请问公司领导对今年有信心吗？",今年公司高管团队将继续努力，争取以更好的业绩回报投资者。
27,最近公司财务状况如何？,公司一季报已经公告，对半年的情况也做出了预计，请查看公告。
28,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？公司有没有一个具体可行的持续增长计划？,您好。公司2017年一季度实现营业收入14.76亿元，比上年同期增长22.91%。公司努力做好经营，以更好的业绩回报投资者。
29,请问公司在财务结构上有什么不足，打算采取哪些举措。,公司财务结构良好，我们也会合理规划资产负债结构，合理进行资金效益最大化。
30,新三板的扩容，带来了新的投资机会，你们公司在这方面有什么打算吗？,我们积极关注。
31,今年人工费用是否还会出现阶段性上涨？,随着国家居民收入的提高以及公司产量的增加，人工费用是要出现上涨的
32,你如何看待同行业其他公司的经营情况？在同行业竞争中，公司排名第几？你认为公司业绩增长的主要优势或障碍在哪里？,行业的其他企业都有值得我们学习的地方，由于行业中一些大企业不是公众公司，所以排名的名称不太好说。公司业绩增长的主要优势是全产业链。
33,公司的负债比率有多少？,"截止2016.12.31,公司负债比率为19.65%"
34,近一年来，贵公司高管考虑增持吗？,您好。2016年度，公司高管股份变动情况请查看公司已披露的2016年年报。公司严格遵守各种规则，并及时做信息披露工作。
35,在企业文化方面，公司有什么特色吗？,您好。人才是公司发展的源动力，公司一直秉承事业留人、待遇留人、感情留人、机制留人的人才战略。
36,公司现阶段发展过程中有何不足？面临的最大挑战是什么？如果新客户在磨合期放弃与公司合作，公司有无应对措施？,公司现在还面临着产品结构不合理等问题，未来最大的挑战是新项目、新产品上市后不能适应市场的需求。新客户放弃合作情况发生时，公司会从自身找原因，以防将来再出现以上问题。
