,Question,Answer
0,我现在持有龙洲的股票，能参与这次分红吗？,您好！公司将于5月10日召开股东大会，审议利润分配议案。如该事项审议通过，公司将确定分红的股权登记日，在此股权登记日这一天收盘时持有龙洲股份股票的投资者，可以参与此次分红，请持续关注公司后续发布公告。谢谢！
1,公司股价差不多到股灾后新低，公司有没有提升股价计划，谢谢！,您好！股票价格受多种因素影响，从长期来看，公司的价值是股票价格的基础，对价格起决定作用；未来公司将不断夯实公司基本面，严格控制经营风险，提升公司的价值，力争创造优秀业绩回馈广大股东，同时也将进一步加强与投资者的沟通。谢谢！
2,请问现在国家队的持股有变化吗？,"您好！关于前十大股东的持股情况，公司会在定期报告中予以披露，最新股东情况请留意公司2018年一季报。谢谢！

"
3,近几年公司收购多个项目后，业绩增长稳定，请问2018年在加强股东回报上有没有一些新的举措,您好！公司自上市以来，每年坚持实施现金分红，并适时实施资本公积转增股本，积极落实股东回报。未来，公司将严格按照法律法规及公司章程的规定，继续着眼于长远和可持续发展，结合公司实际情况和发展战略，强化对投资者持续、稳定、科学的回报机制。谢谢！
4,公司目前从事的业务较多，公司是如何管理内部进行有效的协调的？,您好，在产业管理方面，公司目前主要是按产业设立产业部进行管理，同时加强集团对产业部的指导和管理。谢谢！
5,公司2017年净利大幅增长，请问18年能否继续保持增长。,您好！2018年，是公司推进升级转型持续发力的关健之年，公司董事会将抓住机遇，始终保持战略定力，坚持稳中求进、进中求好、好中求快的工作总基调，坚持以提增效益、提高质量、提升实力为中心，以大市场、大格局实施升级转型战略，为实现更优异的经营业绩继续努力。谢谢！
6,未来公司是否会继续开展收购兼并，在资本运作方面有什么样的计划,您好！公司将根据业务发展需要，在以股东利益最大化为原则的前提下，本着推进公司做强做大做优的目标，在实现内生性健康稳步发展的同时，继续寻求外延式发展机会，坚持产业与资本双轮驱动，不断扩大企业规模。谢谢！
7,汽车业务板块公司的业务现状和发展规划是怎样的？,您好，汽车制造、销售及服务业务是公司产业链上的一项重要业务，公司将保持该项业务的发展。谢谢！
8,请问目前公司有无参与“一带一路”建设,您好!公司已在新疆地区和巴基斯坦设立沥青供应链子公司，将积极需求“一带一路”战略实施促进公路交通基础设施大幅增长带来的业务机会。谢谢！
9,沥青业务的全国市场需求情况分布是什么样的？；公司占有率情况如何？,您好，沥青业务是充分竞争行业，整体较为分散，兆华领先是我国北方领先的沥青供应企业。谢谢！
10,国企改革的幅度加大，对公司有什么影响？,您好！国有企业改革是国家全面深化改革进程中的顶层设计，近年经过重组整合，龙岩地区国有企业已形成集团化建设的格局，并且加快完善法人治理结构建设；公司会持续关注国企改革的最新形势。谢谢！
11,货运物流业务收入能否实现持续高增长？公司是如何规划这块业务的,您好，现代物流服务业务是公司未来发展的核心业务，公司将聚集优势，加快现代物流服务产业的发展。一是借助国家“一带一路”战略以及大力推动道路交通建设与维护带来的发展机遇，加大沥青特种集装箱的研发和投放力度，加快在北方优势区域之外的其他国内外市场的网络覆盖，推动公司沥青供应链产业规模、效益的快速提升。二是加快中桩长江港口多式联运物流服务项目、龙岩公路港项目、武平闽粤赣边农村电商产业园项目的建设和营运，完善物流服务节点。三是紧抓无车承运人试点的契机，加快完善信息平台功能，大力提升车、货匹配服务能力，构建大物流服务体系。谢谢！
12,一季度，公司联营企业东莞中汽宏远投资损失1323万元，原因是什么?,您好！联营企业东莞中汽宏远业务订单一般在下半年，2018年第一季度暂没有销售而亏损，公司按权益法对其确认了投资损失。谢谢！
13,请问公司近期有何战略规划和发展目标？,您好，公司将坚持以“道路运输产业持续领导者、现代服务产业价值创新商”为目标，一是聚集优势，加快现代物流服务产业的发展；二是深度梳理，有退有进，持续优化产业结构升级。谢谢！
14,兆华领先沥青产业链全覆盖，主要的利润来源与那个领域,您好！兆华领先的盈利主要通过沥青产品的仓储、加工、物流、销售实现收入；同时，由于兆华领先特有的沥青集装箱运输在物流环节具备竞争优势，在物流环节同样能够以第三方物流服务商的角色为客户提供专业物流服务，实现服务收入。物流环节的独特优势能够为兆华领先在沥青产品贸易方面实现突破，以优质优价的特点获取更多客户，同时也为自身整体沥青贸易业务链条服务，降低综合运营成本。物流与贸易相辅相成，互相促进，形成了兆华领先的盈利模式。谢谢！
15,公司如何看待沥青需求下降的风险？,您好，随着国家“西部大开发”“一带一路”等国家战略实施带来的新增投资以外，由于超载或使用保养不当，现有公路存在大量大修或者品质提升的需要，都将进一步刺激下游沥青需求，沥青市场前景广阔。谢谢！
16,公司如何看待铁路运费上调的风险？,您好，兆华领先与铁路运输部门建立了长期合作关系，铁路运输部门在运费方面有给与其一定的优惠，其沥青集装箱符合铁路运输的要求并取得了铁路运输所批准的箱号，具有特殊的竞争优势。另：即使铁路运费上调，其也可以将部分成本较好传导给下游客户。谢谢！
17,公司的竞争力主要体现在哪些方面？订单获取能力主要体现在什么方面？,您好！公司核心竞争优势有：在整体经营方面具有特许经营优势和产业链延伸优势，在具体业务方面具有沥青供应链业务的运输模式优势、汽车客运及站务服务的经营区域的行业地位优势。谢谢！
18,请问公司有没有收购资产获得外延式增长？,您好！公司成立以来，收购兼并一直是公司实现发展的重要手段；未来，公司将结合自身情况，积极寻找合适的收购兼并机会。谢谢！
19,公司如何处理业务多元化管理的风险？,"您好！公司将坚持以“道路运输产业持续领导者、现代服务产业价值创新商”为目标，着力推进升级转型，大力优化产业结构，坚持产业与资本双轮驱动，持续拓展市场布局，强化企业内部管理，发挥资源整合效应，从整体上促进公司盈利能力的进一步提升。谢谢！
"
20,雄安已经开始大建设，建设公路历程也较多，请介绍一下公司雄安方面的发展计划。谢谢！,您好！子公司兆华领先在天津设有沥青库区，雄安地区是其业务覆盖区域，北方地区还是其传统优势区域；公司高度关注雄安新区 建设发展，争取为新区发展贡献力量；兆华领先将根据业务发展情况及实际需要，积极寻求雄安新区建设过程中的业务机会，分享新区发展释放的红利。谢谢！
21,各地高铁开通对传统汽车客运业的影响如何？,您好，公司汽车客运主要经营区域在福建省龙岩市和南平市，区域内高铁、动车的开通将分流汽车客运市场，影响汽车客运业绩。近年来，随着公司现代物流产业和汽车制造、销售及服务产业的发展，公司汽车客运业务在公司营业收入占比逐年下降，2017年仅占公司总营收的11.16%，因此汽车客运业务业绩变动对公司的影响也趋降低。谢谢！
22,请介绍一下沥青业务在华北、西北市场的竞争情况？,您好，沥青业务是个充分竞争行业，整体较为分散，子公司兆华领先是我国北方地区领先的沥青供应企业。谢谢！
23,原油是沥青的上游原料，那么原油价格波动会对沥青供应链业务产生怎样的影响？,您好！沥青作为炼油副产品，价格与原油价格波动有直接的联系；兆华领先作为行业领先的沥青全产业链服务商，会努力利用其沥青全产业链服务能力和丰富经验，通过将沥青价格的波动较好的传导到下游客户，以最大程度实现买卖差价的绝对值不会因沥青价格波动而变化，从而避免风险，甚至实现毛利提升。谢谢！
24,请问公司的业绩是否具有季节性？,您好！业务季节性特征方面主要是公司全资子公司兆华领先沥青供应链业务目前主要客户区域在北方地区，受气候因素及春节长假的影响，冬季道路施工基本处于停滞状太，季节性因素影响明显。谢谢！
25,油价波动对汽车客运业务业绩的影响？,您好，燃料消耗是公司汽车客运业务的主要成本之一，油价波动会对汽车客运业务成本造成影响，从而影响汽车客运业务业绩。谢谢！
26,公司沥青供应链的毛利率如何？,您好！2017年，公司沥青供应链业务毛利率为13.28%。谢谢！
27,公司对赌债务如何收回，有何措施,您好！公司会按照与各交易对方签署的相关协议，督促其履行相应业绩承诺；鉴于天津龙洲天和能源2016年度、2017年度业绩承诺期连续亏损，公司已于2017年8月起诉交易对方要求其履行业绩承诺补偿责任。谢谢！
28,公司如何看待原油波动？,您好！燃料消耗是公司汽车客运、货物运输业务的主要成本之一；成品油及天然气销售业务须向上游采购成品油和天然气；而兆华领先的沥青业务以石油为原料。因此，原油、成品油及天然气价格走势的不确定性和价格波动，将会给相关业务业绩的稳定性带来一定影响。谢谢！
29,公司一季度业绩下滑的原因是什么？,"您好！2018年一季度，公司营业收入比上年同期增加24,710.06万元，增幅44.48%，实现归属于上市公司股东净利润1,908.93万元，同比增幅为48.83%。扣除非经常性损益后归属于上市公司股东的净利润比上年同期减少1,301.05万元，下降170.71%，主要是（1）因联营企业东莞中汽宏远汽车有限公司报告期亏损按权益法确认了投资损失；（2）因应收账款、其他应收款账龄递增，按会计政策要求，增加计提了坏账准备；（3）兆华领先每年第一季度因北方气候条件影响处于亏损状态。谢谢！"
30,兆华领先是否有计划向华南地区扩展业务？,您好！兆华领先已成立福建中物振华沥青科技有限公司承接东南区域业务，未来在保持传统区域优势的同时，将继续开拓东南、西南等地区业务。谢谢！
