ศีฦฺ,นษฦฑด๚ย๋,ร๛ณฦ,สีลฬผÛ,ื๎ธ฿ผÛ,ื๎ตอผÛ,ฟชลฬผÛ,วฐสีลฬ,ีวต๘ถ๎,ีวต๘ท๙,ปปสึยส,ณษฝปมฟ,ณษฝปฝ๐ถ๎,ืÜสะึต,ม๗อจสะึต
2018-04-13,'002623,ัวย๊ถู,18.99,19.06,18.66,18.83,18.64,0.35,1.8777,0.7206,1152914,21811091.47,3038400000.0,3038400000.0
2018-04-12,'002623,ัวย๊ถู,18.64,18.85,18.57,18.75,18.79,-0.15,-0.7983,0.4005,640722,11979823.18,2982400000.0,2982400000.0
2018-04-11,'002623,ัวย๊ถู,18.79,18.88,18.71,18.73,18.75,0.04,0.2133,0.5662,905856,17031516.82,3006400000.0,3006400000.0
2018-04-10,'002623,ัวย๊ถู,18.75,18.86,18.43,18.64,18.76,-0.01,-0.0533,0.7282,1165173,21671608.28,3000000000.0,3000000000.0
2018-04-09,'002623,ัวย๊ถู,18.76,19.18,18.53,18.97,19.18,-0.42,-2.1898,0.6712,1073860,20172518.16,3001600000.0,3001600000.0
2018-04-04,'002623,ัวย๊ถู,19.18,19.62,19.15,19.44,19.53,-0.35,-1.7921,0.8666,1386618,26884614.46,3068800000.0,3068800000.0
2018-04-03,'002623,ัวย๊ถู,19.53,19.9,19.11,19.9,20.36,-0.83,-4.0766,1.4216,2274535,44333176.68,3124800000.0,3124800000.0
2018-04-02,'002623,ัวย๊ถู,20.36,21.12,20.09,21.0,19.75,0.61,3.0886,3.818,6108857,125518711.72,3257600000.0,3257600000.0
2018-03-30,'002623,ัวย๊ถู,19.75,19.8,19.47,19.69,19.65,0.1,0.5089,0.8639,1382207,27091882.26,3160000000.0,3160000000.0
2018-03-29,'002623,ัวย๊ถู,19.65,19.7,19.02,19.1,19.07,0.58,3.0414,0.8771,1403383,27190865.14,3144000000.0,3144000000.0
2018-03-28,'002623,ัวย๊ถู,19.07,19.09,18.35,18.79,18.8,0.27,1.4362,0.5634,901411,16989541.66,3051200000.0,3051200000.0
2018-03-27,'002623,ัวย๊ถู,18.8,19.01,18.01,18.01,17.92,0.88,4.9107,0.9002,1440339,26852444.74,3008000000.0,3008000000.0
2018-03-26,'002623,ัวย๊ถู,17.92,17.93,16.53,17.65,17.76,0.16,0.9009,0.4897,783478,13652649.66,2867200000.0,2867200000.0
2018-03-23,'002623,ัวย๊ถู,17.76,19.0,17.45,19.0,19.39,-1.63,-8.4064,0.8977,1436364,26387741.77,2841600000.0,2841600000.0
2018-03-22,'002623,ัวย๊ถู,19.39,19.47,19.2,19.47,19.49,-0.1,-0.5131,0.5866,938569,18118285.92,3102400000.0,3102400000.0
2018-03-21,'002623,ัวย๊ถู,19.49,19.84,19.12,19.2,19.1,0.39,2.0419,1.184,1894432,36967673.88,3118400000.0,3118400000.0
2018-03-20,'002623,ัวย๊ถู,19.1,19.17,18.92,19.12,19.08,0.02,0.1048,0.3107,497070,9457316.35,3056000000.0,3056000000.0
2018-03-19,'002623,ัวย๊ถู,19.08,19.22,19.01,19.1,18.99,0.09,0.4739,0.3764,602302,11519553.44,3052800000.0,3052800000.0
2018-03-16,'002623,ัวย๊ถู,18.99,19.2,18.62,18.62,18.76,0.23,1.226,0.3672,587522,11165462.78,3038400000.0,3038400000.0
2018-03-15,'002623,ัวย๊ถู,18.76,19.06,18.52,18.84,19.1,-0.34,-1.7801,0.3889,622220,11681324.2,3001600000.0,3001600000.0
2018-03-14,'002623,ัวย๊ถู,19.1,19.4,19.02,19.3,19.39,-0.29,-1.4956,0.39,624042,11987747.66,3056000000.0,3056000000.0
2018-03-13,'002623,ัวย๊ถู,19.39,19.59,19.33,19.59,19.55,-0.16,-0.8184,0.5608,897286,17415561.4,3102400000.0,3102400000.0
2018-03-12,'002623,ัวย๊ถู,19.55,19.61,19.11,19.11,19.15,0.4,2.0888,0.637,1019136,19816989.57,3128000000.0,3128000000.0
2018-03-09,'002623,ัวย๊ถู,19.15,19.18,18.77,18.77,18.77,0.38,2.0245,0.587,939228,17887166.8,3064000000.0,3064000000.0
2018-03-08,'002623,ัวย๊ถู,18.77,18.9,18.49,18.9,18.83,-0.06,-0.3186,0.4545,727245,13606966.05,3003200000.0,3003200000.0
2018-03-07,'002623,ัวย๊ถู,18.83,18.96,18.71,18.84,18.83,0.0,0.0,0.4426,708232,13326703.0,3012800000.0,3012800000.0
2018-03-06,'002623,ัวย๊ถู,18.83,18.92,18.64,18.83,18.72,0.11,0.5876,0.4074,651800,12222110.0,3012800000.0,3012800000.0
2018-03-05,'002623,ัวย๊ถู,18.72,18.73,18.4,18.56,18.6,0.12,0.6452,0.3975,636032,11835224.0,2995200000.0,2995200000.0
2018-03-02,'002623,ัวย๊ถู,18.6,19.35,18.32,18.32,18.45,0.15,0.813,0.536,857564,16193222.77,2976000000.0,2976000000.0
2018-03-01,'002623,ัวย๊ถู,18.45,18.52,18.23,18.28,18.14,0.31,1.7089,0.3624,579762,10674334.8,2952000000.0,2952000000.0
2018-02-28,'002623,ัวย๊ถู,18.14,18.43,18.02,18.31,18.43,-0.29,-1.5735,0.3711,593822,10816788.38,2902400000.0,2902400000.0
2018-02-27,'002623,ัวย๊ถู,18.43,18.49,18.16,18.35,18.31,0.12,0.6554,0.459,734402,13474272.78,2948800000.0,2948800000.0
2018-02-26,'002623,ัวย๊ถู,18.31,18.45,17.74,17.88,17.71,0.6,3.3879,0.3994,639010,11570190.7,2929600000.0,2929600000.0
2018-02-23,'002623,ัวย๊ถู,17.71,17.86,17.61,17.71,17.71,0.0,0.0,0.3101,496205,8796684.5,2833600000.0,2833600000.0
2018-02-22,'002623,ัวย๊ถู,17.71,17.76,17.52,17.58,17.45,0.26,1.49,0.2407,385154,6806115.38,2833600000.0,2833600000.0
