»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2018-04-13,'002761,∂‡œ≤∞Æ,37.79,38.3,37.68,37.9,38.0,-0.21,-0.5526,0.7238,426900,16157084.0,4534800000.0,2228932425.3
2018-04-12,'002761,∂‡œ≤∞Æ,38.0,38.5,37.7,37.72,37.75,0.25,0.6623,2.4999,1474499,56408066.7,4560000000.0,2241318660.0
2018-04-11,'002761,∂‡œ≤∞Æ,37.75,38.58,37.6,37.7,37.76,-0.01,-0.0265,0.9495,560058,21272274.05,4530000000.0,2226573142.5
2018-04-10,'002761,∂‡œ≤∞Æ,37.76,38.05,37.31,38.01,38.01,-0.25,-0.6577,1.6571,977417,36902494.16,4531200000.0,2227162963.2
2018-04-09,'002761,∂‡œ≤∞Æ,38.01,39.5,37.97,37.99,37.97,0.04,0.1053,1.7923,1057156,40840372.03,4561200000.0,2241908480.7
2018-04-04,'002761,∂‡œ≤∞Æ,37.97,38.0,37.35,37.6,37.3,0.67,1.7962,1.1826,697500,26355313.11,4556400000.0,2239549197.9
2018-04-03,'002761,∂‡œ≤∞Æ,37.3,37.3,36.26,36.9,37.0,0.3,0.8108,0.6787,400299,14802007.28,4476000000.0,2200031211.0
2018-04-02,'002761,∂‡œ≤∞Æ,37.0,37.22,36.7,36.77,36.79,0.21,0.5708,0.7655,451510,16707648.7,4440000000.0,2182336590.0
2018-03-30,'002761,∂‡œ≤∞Æ,36.79,37.6,36.67,36.95,36.87,-0.08,-0.217,0.5442,321000,11875272.0,4414800000.0,2169950355.3
2018-03-29,'002761,∂‡œ≤∞Æ,36.87,37.28,36.77,36.77,36.77,0.1,0.272,0.5809,342600,12660367.0,4424400000.0,2174668920.9
2018-03-28,'002761,∂‡œ≤∞Æ,36.77,37.5,36.3,36.4,36.88,-0.11,-0.2983,0.5842,344600,12742125.0,4412400000.0,2168770713.9
2018-03-27,'002761,∂‡œ≤∞Æ,36.88,37.0,35.92,35.92,35.91,0.97,2.7012,1.81,1067600,39111277.0,4425600000.0,2175258741.6
2018-03-26,'002761,∂‡œ≤∞Æ,35.91,36.08,35.17,36.08,36.13,-0.22,-0.6089,0.3918,231101,8242344.91,4309200000.0,2118046133.7
2018-03-23,'002761,∂‡œ≤∞Æ,36.13,37.0,34.01,37.0,37.27,-1.14,-3.0588,1.7477,1030848,37002115.13,4335600000.0,2131022189.1
2018-03-22,'002761,∂‡œ≤∞Æ,37.27,37.49,36.63,37.18,37.4,-0.13,-0.3476,2.0277,1196000,44389758.0,4472400000.0,2198261748.9
2018-03-21,'002761,∂‡œ≤∞Æ,37.4,38.34,37.0,37.7,37.76,-0.36,-0.9534,2.3287,1373500,51465187.56,4488000000.0,2205929418.0
2018-03-20,'002761,∂‡œ≤∞Æ,37.76,38.39,37.19,38.19,38.35,-0.59,-1.5385,0.7835,462100,17464860.0,4531200000.0,2227162963.2
2018-03-19,'002761,∂‡œ≤∞Æ,38.35,40.88,37.31,37.31,37.24,1.11,2.9807,1.9911,1174400,45526951.92,4602000000.0,2261962384.5
2018-03-16,'002761,∂‡œ≤∞Æ,37.24,37.37,36.62,36.99,37.0,0.24,0.6486,0.5897,347800,12920438.33,4468800000.0,2196492286.8
2018-03-15,'002761,∂‡œ≤∞Æ,37.0,37.49,36.6,37.44,37.44,-0.44,-1.1752,0.7661,451850,16688741.0,4440000000.0,2182336590.0
2018-03-14,'002761,∂‡œ≤∞Æ,37.44,37.89,37.0,37.61,37.6,-0.16,-0.4255,1.3569,800354,29795834.0,4492800000.0,2208288700.8
