日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2018-04-13,'002780,三夫户外,19.1,19.21,18.85,19.03,19.02,0.08,0.4206,1.0148,732625,13958430.71,2145874762.4,1378937755.4
2018-04-12,'002780,三夫户外,19.02,19.19,18.84,18.84,18.99,0.03,0.158,1.1112,802264,15271641.75,2136886805.28,1373162099.88
2018-04-11,'002780,三夫户外,18.99,19.28,18.68,18.8,18.8,0.19,1.0106,2.0375,1470992,27956097.49,2133516321.36,1370996229.06
2018-04-10,'002780,三夫户外,18.8,19.0,18.49,19.0,18.95,-0.15,-0.7916,1.8359,1325456,24745324.46,2112169923.2,1357279047.2
2018-04-09,'002780,三夫户外,18.95,19.2,18.66,18.85,19.06,-0.11,-0.5771,1.3056,942611,17842372.87,2129022342.8,1368108401.3
2018-04-04,'002780,三夫户外,19.06,19.97,18.8,19.97,19.1,-0.04,-0.2094,1.6418,1185344,22727014.92,2141380783.84,1376049927.64
2018-04-03,'002780,三夫户外,19.1,19.3,18.78,19.3,19.57,-0.47,-2.4016,2.7879,2012730,38365357.59,2145874762.4,1378937755.4
2018-04-02,'002780,三夫户外,19.57,20.53,19.43,20.53,20.49,-0.92,-4.49,5.6028,4044973,80097406.45,2198679010.48,1412869731.58
2018-03-30,'002780,三夫户外,20.49,20.63,18.76,18.92,18.75,1.74,9.28,7.6879,5550357,111779295.4,2302040517.36,1479289770.06
2018-03-29,'002780,三夫户外,18.75,18.98,18.08,18.34,18.34,0.41,2.2356,2.29,1653315,30707192.55,2106552450.0,1353669262.5
2018-03-28,'002780,三夫户外,18.34,18.58,17.61,17.64,17.96,0.38,2.1158,2.1316,1538957,28111250.2,2060489169.76,1324069027.96
2018-03-27,'002780,三夫户外,17.96,18.0,17.3,17.76,17.2,0.76,4.4186,1.6713,1206578,21423271.14,2017796373.44,1296634664.24
2018-03-26,'002780,三夫户外,17.2,17.26,16.56,16.91,17.11,0.09,0.526,1.3415,968536,16451388.04,1932410780.8,1241765936.8
2018-03-23,'002780,三夫户外,17.11,18.07,16.88,18.0,18.45,-1.34,-7.2629,2.6882,1940757,33959876.93,1922299329.04,1235268324.34
2018-03-22,'002780,三夫户外,18.45,18.82,18.05,18.06,18.17,0.28,1.541,2.318,1673496,30709242.99,2072847610.8,1332010554.3
2018-03-21,'002780,三夫户外,18.17,19.75,18.17,18.19,18.18,-0.01,-0.055,3.4886,2518654,47267812.41,2041389760.88,1311795759.98
2018-03-20,'002780,三夫户外,18.18,18.33,17.53,17.69,17.88,0.3,1.6779,1.4546,1050165,18979977.88,2042513255.52,1312517716.92
2018-03-19,'002780,三夫户外,17.88,18.05,17.54,17.73,17.72,0.16,0.9029,2.197,1586152,28193883.1,2008808416.32,1290859008.72
2018-03-16,'002780,三夫户外,17.72,18.27,17.72,18.02,18.03,-0.31,-1.7194,1.9996,1443597,25910543.78,1990832502.08,1279307697.68
2018-03-15,'002780,三夫户外,18.03,18.59,17.97,18.59,18.75,-0.72,-3.84,1.607,1160154,21148326.44,2025660835.92,1301688362.82
