�梪�,嘖き測鎢,靡備,彶攫歎,郔詢歎,郔腴歎,羲攫歎,ヶ彶攫,梀視塗,梀視盟,遙忒薹,傖蝠講,傖蝠踢塗,軞庈硉,霜籵庈硉
2018-04-13,'300246,惘應杻,19.81,20.66,19.57,20.38,19.92,-0.11,-0.5522,3.8541,5630390,113341908.36,2894003280.0,2894003280.0
2018-04-12,'300246,惘應杻,19.92,20.26,19.05,19.21,19.14,0.78,4.0752,4.0689,5944200,117622774.57,2910072960.0,2910072960.0
2018-04-11,'300246,惘應杻,19.14,19.53,19.09,19.5,19.36,-0.22,-1.1364,1.6158,2360500,45485193.0,2796124320.0,2796124320.0
2018-04-10,'300246,惘應杻,19.36,19.44,18.81,19.03,18.84,0.52,2.7601,2.1196,3096441,59264455.5,2828263680.0,2828263680.0
2018-04-09,'300246,惘應杻,18.84,19.2,18.53,18.98,18.95,-0.11,-0.5805,1.3836,2021296,38128946.7,2752297920.0,2752297920.0
2018-04-04,'300246,惘應杻,18.95,19.9,18.9,19.38,19.35,-0.4,-2.0672,2.091,3054735,59344272.11,2768367600.0,2768367600.0
2018-04-03,'300246,惘應杻,19.35,20.0,19.1,19.68,20.02,-0.67,-3.3467,2.8984,4234248,82495577.7,2826802800.0,2826802800.0
2018-04-02,'300246,惘應杻,20.02,20.03,19.01,19.15,19.24,0.78,4.0541,4.3049,6288994,122639857.86,2924681760.0,2924681760.0
2018-03-30,'300246,惘應杻,19.24,19.67,18.16,18.31,18.28,0.96,5.2516,3.5923,5247909,98911113.56,2810733120.0,2810733120.0
2018-03-29,'300246,惘應杻,18.28,18.58,18.0,18.49,18.37,-0.09,-0.4899,1.8403,2688504,49135376.63,2670488640.0,2670488640.0
2018-03-28,'300246,惘應杻,18.37,18.62,18.0,18.12,18.34,0.03,0.1636,2.5116,3669200,67479734.0,2683636560.0,2683636560.0
2018-03-27,'300246,惘應杻,18.34,18.5,17.97,17.97,17.95,0.39,2.1727,2.5576,3736400,68281255.57,2679253920.0,2679253920.0
2018-03-26,'300246,惘應杻,17.95,18.0,16.66,16.9,17.46,0.49,2.8064,1.482,2164970,37718596.4,2622279600.0,2622279600.0
2018-03-23,'300246,惘應杻,17.46,18.55,17.36,18.0,19.27,-1.81,-9.3928,3.5432,5176203,93139412.07,2550696480.0,2550696480.0
2018-03-22,'300246,惘應杻,19.27,19.67,19.2,19.52,19.5,-0.23,-1.1795,1.2562,1835110,35643617.7,2815115760.0,2815115760.0
2018-03-21,'300246,惘應杻,19.5,20.48,19.47,20.05,20.17,-0.67,-3.3218,2.3293,3402900,67532864.1,2848716000.0,2848716000.0
2018-03-20,'300246,惘應杻,20.17,20.55,19.27,19.27,19.6,0.57,2.9082,3.7108,5421106,108591433.2,2946594960.0,2946594960.0
2018-03-19,'300246,惘應杻,19.6,19.88,18.25,18.48,18.9,0.7,3.7037,3.3713,4925018,94744804.03,2863324800.0,2863324800.0
2018-03-16,'300246,惘應杻,18.9,19.93,18.3,18.5,18.12,0.78,4.3046,3.673,5365845,103052847.88,2761063200.0,2761063200.0
2018-03-15,'300246,惘應杻,18.12,18.13,17.26,17.72,17.67,0.45,2.5467,1.4999,2191131,38779272.98,2647114560.0,2647114560.0
2018-03-14,'300246,惘應杻,17.67,18.77,17.62,18.34,18.47,-0.8,-4.3313,1.3501,1972307,35415895.63,2581374960.0,2581374960.0
2018-03-13,'300246,惘應杻,18.47,18.75,18.3,18.4,18.47,0.0,0.0,1.1414,1667452,30887852.7,2698245360.0,2698245360.0
2018-03-12,'300246,惘應杻,18.47,18.89,18.41,18.46,18.49,-0.02,-0.1082,1.3449,1964707,36547331.6,2698245360.0,2698245360.0
2018-03-09,'300246,惘應杻,18.49,18.67,18.12,18.37,18.28,0.21,1.1488,1.2636,1846016,34038519.66,2701167120.0,2701167120.0
2018-03-08,'300246,惘應杻,18.28,18.29,17.9,18.07,18.02,0.26,1.4428,0.8793,1284571,23307363.33,2670488640.0,2670488640.0
2018-03-07,'300246,惘應杻,18.02,18.31,17.85,18.23,18.27,-0.25,-1.3684,1.0672,1559000,28109121.0,2632505760.0,2632505760.0
2018-03-06,'300246,惘應杻,18.27,18.49,17.25,17.38,17.45,0.82,4.6991,2.0594,3008601,54134529.44,2669027760.0,2669027760.0
2018-03-05,'300246,惘應杻,17.45,17.5,17.01,17.22,17.27,0.18,1.0423,0.8952,1307844,22586456.76,2549235600.0,2549235600.0
2018-03-02,'300246,惘應杻,17.27,17.71,17.17,17.44,17.55,-0.28,-1.5954,0.9498,1387503,24115868.87,2522939760.0,2522939760.0
2018-03-01,'300246,惘應杻,17.55,17.59,16.86,16.86,17.07,0.48,2.812,1.0926,1596199,27587630.53,2563844400.0,2563844400.0
2018-02-28,'300246,惘應杻,17.07,17.1,16.64,16.89,17.2,-0.13,-0.7558,0.8405,1227811,20719450.4,2493722160.0,2493722160.0
2018-02-27,'300246,惘應杻,17.2,17.48,17.12,17.26,17.27,-0.07,-0.4053,0.714,1043001,17999064.33,2512713600.0,2512713600.0
2018-02-26,'300246,惘應杻,17.27,17.37,16.84,16.89,16.89,0.38,2.2499,0.8755,1278942,21895544.42,2522939760.0,2522939760.0
2018-02-23,'300246,惘應杻,16.89,17.08,16.75,17.08,17.08,-0.19,-1.1124,0.6632,968902,16347917.72,2467426320.0,2467426320.0
