ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2018-04-13,'300351,ÓÀ¹óµçÆ÷,14.77,14.93,14.37,14.37,14.39,0.38,2.6407,1.3172,4850200,71424425.69,5680636705.24,5438750778.44
2018-04-12,'300351,ÓÀ¹óµçÆ÷,14.39,14.63,14.3,14.46,14.39,0.0,0.0,0.9403,3462577,50159602.59,5534486268.68,5298823541.08
2018-04-11,'300351,ÓÀ¹óµçÆ÷,14.39,14.7,14.26,14.49,14.39,0.0,0.0,1.3249,4878825,70465213.15,5534486268.68,5298823541.08
2018-04-10,'300351,ÓÀ¹óµçÆ÷,14.39,15.41,14.17,15.4,15.39,-1.0,-6.4977,2.7011,9946091,145127647.65,5534486268.68,5298823541.08
2018-04-09,'300351,ÓÀ¹óµçÆ÷,15.39,15.81,15.0,15.65,15.65,-0.26,-1.6613,1.031,3796387,58366149.85,5919092680.68,5667053113.08
2018-04-04,'300351,ÓÀ¹óµçÆ÷,15.65,16.17,15.65,15.84,15.78,-0.13,-0.8238,0.804,2960507,47067189.5,6019090347.8,5762792801.8
2018-04-03,'300351,ÓÀ¹óµçÆ÷,15.78,15.99,15.57,15.81,16.07,-0.29,-1.8046,1.0333,3804914,59875952.24,6069089181.36,5810662646.16
2018-04-02,'300351,ÓÀ¹óµçÆ÷,16.07,16.45,15.81,16.2,16.18,-0.11,-0.6799,1.4532,5350933,86014470.63,6180625040.84,5917449222.04
2018-03-30,'300351,ÓÀ¹óµçÆ÷,16.18,16.39,15.3,15.3,15.25,0.93,6.0984,2.2626,8331582,133070808.02,6222931746.16,5957954474.96
2018-03-29,'300351,ÓÀ¹óµçÆ÷,15.25,15.6,15.08,15.23,15.05,0.2,1.3289,1.1393,4195358,64467608.39,5865247783.0,5615500973.0
2018-03-28,'300351,ÓÀ¹óµçÆ÷,15.05,15.44,14.95,15.16,15.51,-0.46,-2.9658,1.2638,4653623,70666740.43,5788326500.6,5541855058.6
2018-03-27,'300351,ÓÀ¹óµçÆ÷,15.51,15.56,15.03,15.18,15.18,0.33,2.1739,1.9428,7153907,109514174.63,5965245450.12,5711240661.72
2018-03-26,'300351,ÓÀ¹óµçÆ÷,15.18,15.28,13.63,14.25,14.26,0.92,6.4516,1.6509,6079274,88828962.24,5838325334.16,5589724902.96
2018-03-23,'300351,ÓÀ¹óµçÆ÷,14.26,14.6,13.89,14.1,14.88,-0.62,-4.1667,1.7046,6276688,89296990.76,5484487435.12,5250953696.72
2018-03-22,'300351,ÓÀ¹óµçÆ÷,14.88,14.96,14.37,14.55,14.55,0.33,2.268,1.3311,4901331,71938417.34,5722943410.56,5479256031.36
2018-03-21,'300351,ÓÀ¹óµçÆ÷,14.55,15.34,14.55,14.82,14.71,-0.16,-1.0877,2.2395,8246350,124215385.4,5596023294.6,5357740272.6
2018-03-20,'300351,ÓÀ¹óµçÆ÷,14.71,14.75,14.38,14.7,14.84,-0.13,-0.876,1.2106,4457699,64898321.84,5657560320.52,5416657004.12
2018-03-19,'300351,ÓÀ¹óµçÆ÷,14.84,15.26,14.5,14.58,14.55,0.29,1.9931,2.6959,9927236,148976046.06,5707559154.08,5464526848.48
2018-03-16,'300351,ÓÀ¹óµçÆ÷,14.55,14.63,14.16,14.16,14.12,0.43,3.0453,2.1487,7912120,114409836.82,5596023294.6,5357740272.6
2018-03-15,'300351,ÓÀ¹óµçÆ÷,14.12,14.15,13.42,13.45,13.59,0.53,3.8999,1.9826,7300542,101826362.46,5430642537.44,5199401556.64
2018-03-14,'300351,ÓÀ¹óµçÆ÷,13.59,13.82,13.4,13.71,13.71,-0.12,-0.8753,0.969,3568189,48466641.19,5226801139.08,5004239883.48
2018-03-13,'300351,ÓÀ¹óµçÆ÷,13.71,13.99,13.35,13.42,13.42,0.29,2.161,1.6093,5925934,81840672.23,5272953908.52,5048427432.12
2018-03-12,'300351,ÓÀ¹óµçÆ÷,13.42,13.58,13.2,13.3,13.13,0.29,2.2087,1.2116,4461511,60009168.93,5161418049.04,4941640856.24
2018-03-09,'300351,ÓÀ¹óµçÆ÷,13.13,13.25,12.68,12.68,12.66,0.47,3.7125,1.1935,4394686,57070937.77,5049882189.56,4834854280.36
2018-03-08,'300351,ÓÀ¹óµçÆ÷,12.66,12.73,12.46,12.46,12.51,0.15,1.199,0.6375,2347584,29688142.17,4869117175.92,4661786381.52
2018-03-07,'300351,ÓÀ¹óµçÆ÷,12.51,12.75,12.51,12.6,12.75,-0.24,-1.8824,0.5797,2134750,26906613.85,4811426214.12,4606551945.72
2018-03-06,'300351,ÓÀ¹óµçÆ÷,12.75,12.84,12.65,12.83,12.62,0.13,1.0301,0.4962,1827331,23274012.81,4903731753.0,4694927043.0
2018-03-05,'300351,ÓÀ¹óµçÆ÷,12.62,12.76,12.53,12.76,12.68,-0.06,-0.4732,0.5411,1992547,25124237.75,4853732919.44,4647057198.64
2018-03-02,'300351,ÓÀ¹óµçÆ÷,12.68,12.96,12.55,12.7,12.82,-0.14,-1.092,0.7831,2883475,36844236.0,4876809304.16,4669150972.96
2018-03-01,'300351,ÓÀ¹óµçÆ÷,12.82,12.88,12.3,12.39,12.45,0.37,2.9719,0.8584,3161020,40004074.34,4930654201.84,4720703113.04
2018-02-28,'300351,ÓÀ¹óµçÆ÷,12.45,12.68,12.16,12.3,12.39,0.06,0.4843,0.6324,2328762,29055865.85,4788349829.4,4584458171.4
2018-02-27,'300351,ÓÀ¹óµçÆ÷,12.39,12.58,12.27,12.38,12.3,0.09,0.7317,0.6528,2403788,29923421.11,4765273444.68,4562364397.08
2018-02-26,'300351,ÓÀ¹óµçÆ÷,12.3,12.35,12.05,12.08,11.97,0.33,2.7569,0.6478,2385238,29111817.7,4730658867.6,4529223735.6
2018-02-23,'300351,ÓÀ¹óµçÆ÷,11.97,12.03,11.89,11.91,12.03,-0.06,-0.4988,0.281,1034800,12371997.0,4603738751.64,4407707976.84
2018-02-22,'300351,ÓÀ¹óµçÆ÷,12.03,12.07,11.84,11.85,11.81,0.22,1.8628,0.4047,1490400,17841516.0,4626815136.36,4429801751.16
2018-02-14,'300351,ÓÀ¹óµçÆ÷,11.81,11.86,11.71,11.85,11.79,0.02,0.1696,0.2033,748440,8826129.4,4542201725.72,4348791245.32
2018-02-13,'300351,ÓÀ¹óµçÆ÷,11.79,11.96,11.74,11.8,11.79,0.0,0.0,0.3879,1428181,16907669.51,4534509597.48,4341426653.88
2018-02-12,'300351,ÓÀ¹óµçÆ÷,11.79,11.89,11.52,11.6,11.46,0.33,2.8796,0.5231,1926375,22581440.65,4534509597.48,4341426653.88
2018-02-09,'300351,ÓÀ¹óµçÆ÷,11.46,11.66,11.25,11.41,11.74,-0.28,-2.385,0.6402,2357407,27007675.27,4407589481.52,4219910895.12
2018-02-08,'300351,ÓÀ¹óµçÆ÷,11.74,11.81,11.39,11.4,11.51,0.23,1.9983,0.477,1756318,20560735.21,4515279276.88,4323015175.28
2018-02-07,'300351,ÓÀ¹óµçÆ÷,11.51,11.78,11.11,11.62,11.41,0.1,0.8764,0.7177,2642706,30357227.73,4426819802.12,4238322373.72
2018-02-06,'300351,ÓÀ¹óµçÆ÷,11.41,12.27,11.41,12.05,12.38,-0.97,-7.8352,0.7827,2882183,34445166.47,4388359160.92,4201499416.52
2018-02-05,'300351,ÓÀ¹óµçÆ÷,12.38,12.64,12.2,12.33,12.57,-0.19,-1.5115,0.5195,1912878,23704832.87,4761427380.56,4558682101.36
